"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"VT",0,1,1,2870,2780.10432182211,2846.11296120519,2904.91843825002,2948.75873587667,2996.33814269099,3006.2645502819,3003.02343182511,3013.50305938223,2995.9566103629,2937.53041531097,2893.77728555849,2874.30938355091,2841.45149979858,2808.0111025437,2774.45701527344,2722.49323578811,2673.75991922496,2639.49570842289,2601.50328137079,2563.93112054224,2527.42298182946,2480.4318796611,2429.23896524783,2390.07991424188,2356.82509021324,2323.09785197204,2292.01322846366,2271.20126423139,2254.15746401662,2242.11346146215,2228.86230058987,2209.49011987721,2189.95603838626,2174.85359485375,2160.72091911163,2145.73813419292,2128.77645882936,2109.40598755337,2088.77778460622,2069.25366619791,2047.6641631747,2023.81683574089,1999.6680099545,1974.36730972648,1948.17694424062,1921.87042766312,1894.80860351167,1867.26786591097,1840.54168267417,1814.72553474775,1790.03405174595,1767.13557753659,1745.60471486305,1724.81601354706,1705.12867927158,1686.77558961315,1669.46492901574,1653.00016266929,1637.17142558102,1621.73208105714,1606.78629949694,1592.34854560118,1577.95590183922,1563.27508736402,1548.31126892382,1533.07863584155,1517.60229265902,1501.80611144083,1485.53498287386,1468.7752760505,1451.68539329772,1434.38219381953,1416.92260034343,1399.4128834594,1381.96173133989,1364.67469269145,1347.67460258707,1331.0317849101,1314.78354687086,1298.98445470365,1283.67080454719,1268.84529941468,1254.52257011454,1240.70342795844,1227.33587530336,1214.35984316697,1201.72491749809,1189.37362761956,1177.25242436557,1165.304914976
"VT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",1,1,1,3220,2862.05289642442,2772.40614168398,2838.2320014524,2896.87464462376,2940.59354734238,2988.04120555949,2997.9401266733,2994.70798295661,3005.15859215636,2987.66072970419,2929.39631828418,2885.76434206965,2866.35034718181,2833.58344775193,2800.23564781434,2766.77447267192,2714.95458222414,2666.35620946388,2632.18687713992,2594.29965209231,2556.83152954029,2520.42448279953,2473.56350019775,2422.51234027687,2383.46172168705,2350.29898111867,2316.66513446478,2285.66658507579,2264.91224970601,2247.91564421098,2235.90499180834,2222.69052374023,2203.37198509259,2183.89199397406,2168.83136949486,2154.73782749418,2139.796530291,2122.88182224135,2103.56498829692,2082.99390537255,2063.52384974863,2041.99412861277,2018.21283503997,1994.13087797127,1968.90023603079,1942.78239233838,1916.54871917968,1889.56182991306,1862.09735332081,1835.44517557055,1809.70051321957,1785.07740156719,1762.24233381994,1740.77109065711,1720.03995378801,1700.40713424584,1682.10486476318,1664.84213782874,1648.4229628424,1632.63805593291,1617.24146334982,1602.33706704191,1587.93929165682,1573.58650149441,1558.94633857085,1544.02395532752,1528.83350179677,1513.40001300526,1497.64757181781,1481.42149842297,1464.70819965746,1447.66563922814,1430.41035275289,1412.99910533872,1395.53787330963,1378.13504387772,1360.89587348246,1343.9428570634,1327.34612377523,1311.14287752367,1295.3875334477,1280.1162871811,1265.33183425237,1251.04876495684,1237.26788835964,1223.93735080056,1210.9972496298,1198.39731039401,1186.0802215538,1173.99258222235
"VT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",2,1,1,3190,3219.10517069573,2861.25753965359,2771.63569750419,2837.44326444395,2896.06961098313,2939.77636433676,2987.21083697778,2997.10700720815,2993.87576169547,3004.32346669914,2986.83046685569,2928.58224695827,2884.9623959521,2865.55379616101,2832.796002564,2799.45746988995,2766.00559351774,2714.20010367757,2665.61523627386,2631.45539951508,2593.57870322499,2556.12099296305,2519.72406364226,2472.87610358099,2421.83913063959,2382.79936411121,2349.64583937888,2316.02133948015,2285.03140450432,2264.2828367083,2247.29095452403,2235.28363984926,2222.07284404614,2202.75967396821,2183.28509628662,2168.22865711429,2154.13903167087,2139.20188661384,2122.29187911587,2102.98041326742,2082.41504699145,2062.95040204341,2041.42666395891,2017.65197914337,1993.57671438551,1968.35308397228,1942.2424983581,1916.01611546633,1889.03672578336,1861.57988149499,1834.93511031295,1809.19760233411,1784.58133337796,1761.75261143438,1740.28733507204,1719.56195932988,1699.93459569525,1681.63741236385,1664.3794826946,1647.96487055265,1632.18435022616,1616.79203631458,1601.89178189815,1587.49800761596,1573.14920605517,1558.51311159335,1543.59487524003,1528.40864309529,1512.97944322863,1497.23137960206,1481.00981538919,1464.30116120427,1447.26333685647,1430.01284557874,1412.60643670321,1395.15005710334,1377.75206387073,1360.51768419437,1343.56937897279,1326.97725787198,1310.77851445879,1295.02754875039,1279.76054632189,1264.98020195271,1250.70110188356,1236.92405495475,1223.59722191606,1210.66071676447,1198.06427901777,1185.75061306328
"VT",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",3,1,1,3490,3189.40650184379,3218.50625753477,2860.72520389364,2771.12003585022,2836.91535931987,2895.53079845198,2939.22942018255,2986.65506765992,2996.54939671199,2993.31875237117,3003.76451358373,2986.27476830553,2928.03738546489,2884.42564991362,2865.02066108435,2832.26896206104,2798.93663200694,2765.49097934224,2713.69512789164,2665.11929968204,2630.96581834649,2593.0961689998,2555.64542772907,2519.25527004165,2472.41602602362,2421.38854848953,2382.35604529327,2349.20868876025,2315.59044468556,2284.60627537408,2263.86156784035,2246.87284698861,2234.86776626968,2221.65942832955,2202.34985145878,2182.87889701416,2167.825259086,2153.73825501145,2138.80388900397,2121.89702760578,2102.58915464741,2082.02761454917,2062.56659099012,2041.04685738803,2017.27659584259,1993.20581027759,1967.98687271018,1941.88114495945,1915.65964147517,1888.68527129628,1861.23353534223,1834.59372140864,1808.86100188232,1784.24931277264,1761.42483810316,1739.96355534644,1719.24203555171,1699.61832357981,1681.32454443167,1664.06982559297,1647.65826738269,1631.88068301536,1616.49123283729,1601.59375060693,1587.20265428037,1572.85652230807,1558.22315088546,1543.30769006373,1528.12428331108,1512.69795404056,1496.95282033459,1480.73427413691,1464.02872859007,1446.99407412231,1429.74679229121,1412.34362187072,1394.89049002292,1377.49573367962,1360.26456045234,1343.31940845581,1326.73037431214,1310.53464466834,1294.78660942048,1279.52244741134,1264.74485291901,1250.46840947041,1236.69392575538,1223.36957216836,1210.43547384811,1197.84137966334
"VT",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",4,1,1,3370,3489.50171645071,3188.95113542777,3218.04673641115,2860.31676483686,2770.72439014048,2836.51031970546,2895.11739003841,2938.8097727133,2986.22864901017,2996.12156540281,2992.89138231613,3003.33565213873,2985.84840395289,2927.61933593455,2884.01382703382,2864.61160874515,2831.8645858344,2798.53701479226,2765.09613731911,2713.30768100338,2664.73878819094,2630.59018310694,2592.7259405864,2555.28054633238,2518.8955842372,2472.06302767612,2421.04283557258,2382.01590522854,2348.87328129794,2315.25983705648,2284.28009149912,2263.53834578387,2246.5520504909,2234.54868379323,2221.34223166901,2202.03541171644,2182.56723723064,2167.51574858045,2153.43075577307,2138.49852201455,2121.59407448768,2102.28895820424,2081.73035377281,2062.27210875471,2040.75544762517,2016.98857987064,1992.92123100377,1967.7058940615,1941.60389354707,1915.38613382892,1888.41561490646,1860.96779836456,1834.33178792124,1808.6027423751,1783.99456719087,1761.1733512779,1739.71513264845,1718.99657136158,1699.3756611584,1681.08449389828,1663.83223859613,1647.42302354043,1631.64769181228,1616.26043885767,1601.3650836102,1586.97604196747,1572.63195825923,1558.00067611119,1543.08734483924,1527.90610589227,1512.48197911061,1496.73909341068,1480.52286281036,1463.81970239203,1446.7874800412,1429.54266068483,1412.14197499601,1394.69133501311,1377.29906220016,1360.07034914771,1343.12761648942,1326.5409508394,1310.34753353533,1294.60174670778,1279.33976403413,1264.56427940776,1250.28987427346,1236.51735720561,1223.19490599858,1210.26265433977
"VT",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
