"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"CT",0,1,1,18220,19352.0067650038,19461.6971617142,19568.2199763382,19672.3560677419,19758.5826638483,19841.0412436636,19908.4175665357,19959.3748906024,19997.2060324376,20017.5224886396,20023.9580590276,20007.9448845758,19951.4938599854,19860.286177662,19735.0063680916,19582.1608272912,19397.5844583179,19179.2586235996,18959.9340378487,18754.553539566,18549.2393296098,18337.1185697817,18153.1938751998,17999.6840763115,17851.851115356,17716.8280975985,17591.7689457176,17489.5762537863,17408.4064667838,17320.4821511813,17253.8286311735,17208.6677993103,17161.3410851989,17130.8480526511,17106.9048499717,17070.1120996189,17029.1656723158,16983.062476314,16929.0184040413,16867.8779273824,16796.1149349078,16713.6996016209,16622.4737248694,16522.9880819605,16416.0447701344,16303.5774638214,16187.5227193455,16069.1117672076,15950.1940781177,15833.1810379281,15719.232762411,15609.1002158722,15503.9425839,15404.7219660723,15311.6970459025,15224.6778984713,15143.4947178987,15067.6347112635,14996.240576669,14928.4650202416,14863.4890969998,14800.5307353155,14738.5210947678,14676.459091416,14613.8070647106,14549.8313128699,14483.8463190023,14415.5927454245,14344.7927123574,14271.3545120387,14195.4688558545,14117.3217298967,14037.2233707594,13955.5953789443,13872.8701916511,13789.5707709501,13706.2462009182,13623.3806072626,13541.4123755586,13460.7406080699,13381.6879288192,13304.4775805173,13229.2486835458,13156.0578325165,13084.8691056732,13015.5704746724,12947.9909561828,12881.9086143523,12817.0608616051,12753.1613984958
"CT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",1,1,1,18850,18173.5734652154,19302.6957542888,19412.1066479796,19518.3580309263,19622.2287722822,19708.2356536761,19790.4841200927,19857.6887607915,19908.5162400734,19946.2509840589,19966.5156717285,19972.9348435856,19956.9624724379,19900.6552911766,19809.6800159134,19684.7194328763,19532.2633590801,19348.1573107003,19130.3877938722,18911.6220709375,18706.7649044247,18501.9738573285,18290.3936041874,18106.937569662,17953.8189303795,17806.3626638315,17671.6836993577,17546.9432117504,17445.0109178744,17364.0479602868,17276.3476853702,17209.8640057556,17164.8182485869,17117.6121280726,17087.1967950766,17063.3146022728,17026.6156038357,16985.7735124674,16939.7877924059,16885.881430287,16824.8967461893,16753.3166135976,16671.1112835126,16580.1178601825,16480.8857174746,16374.2149087982,16262.0341813715,16146.2751569632,16028.1659287653,15909.5512548362,15792.8363765555,15679.1784535948,15569.3265367213,15464.4368577929,15365.4690648536,15272.681182263,15185.8837690509,15104.9074520216,15029.2407449054,14958.0285303039,14890.4256733403,14825.6153157933,14762.8173788383,14700.9657455757,14639.061882935,14576.5695003843,14512.7567656934,14446.9399087419,14378.8602526673,14308.2406257582,14234.9895539335,14159.2972626262,14081.3492640153,14001.4550041786,13920.035009334,13837.5206147842,13754.4334500356,13671.3212000393,13588.6667568978,13506.9073891323,13426.4411820509,13347.589937595,13270.5763296291,13195.5391240408,13122.5347712328,13051.5274409813,12982.4053904032,12914.9980718514,12849.0841149902,12784.4016013456
"CT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",2,1,1,20820,18845.1872157807,18168.9333862986,19297.7673877363,19407.1503466248,19513.3746014559,19617.2188225219,19703.2037446287,19785.4312113572,19852.6186933592,19903.4331953631,19941.1583049093,19961.4178185965,19967.8353515098,19951.8670584298,19895.5742535247,19804.6222060795,19679.6935279931,19527.2763792997,19343.2173368979,19125.5034210085,18906.7935533638,18701.9886910069,18497.249931185,18285.723698739,18102.31450423,17949.2349592165,17801.8163412198,17667.1717629951,17542.4631241438,17440.556855633,17359.6145695173,17271.9366862452,17205.4699812515,17160.4357251708,17113.2416573287,17082.8340899792,17058.9579947796,17022.2683663351,16981.4367027744,16935.4627237924,16881.5701250522,16820.6010115712,16749.0391548274,16666.854813417,16575.8846225385,16476.6778157929,16370.0342423199,16257.8821568897,16142.1526880892,16024.0736155533,15905.4892263368,15788.8041477125,15675.1752439061,15565.351374437,15460.4884759537,15361.545951483,15268.7817595054,15182.0065074192,15101.0508652726,15025.403477389,14954.2094446985,14886.6238481043,14821.8300379454,14759.0481345671,14697.2122932708,14635.3242359316,14572.8478089433,14509.0513669273,14443.2513143436,14375.1890403747,14304.5874440771,14231.3550747247,14155.6821091821,14077.7540122634,13997.8801510385,13916.4809443565,13833.9876173917,13750.9216664678,13667.830636701,13585.1972969016,13503.4588039475,13423.0131415075,13344.1820293607,13267.1880845182,13192.1700374382,13119.18432411,13048.1951234585,12979.0907211305,12911.7006130232,12845.8034853213
"CT",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",3,1,1,20400,20816.386874795,18841.9168017115,18165.7803300467,19294.4184324169,19403.782408869,19509.9882294287,19613.8144292568,19699.7844294477,19781.9976263331,19849.1734485472,19899.9791321477,19937.6976948378,19957.9536926672,19964.370111875,19948.4045899497,19892.1215541586,19801.1852906295,19676.2782928004,19523.887594743,19339.8604941454,19122.1843605633,18903.5124480644,18698.7431277638,18494.0398985265,18282.5503745705,18099.1730090905,17946.1200296659,17798.7269948549,17664.1057829952,17539.4187862153,17437.530202628,17356.6019633237,17268.9392957658,17202.4841254757,17157.4576846882,17110.2718069555,17079.8695165679,17055.9975648516,17019.3143035647,16978.4897259748,16932.5237253666,16878.6404792059,16817.6819463706,16746.1325085484,16663.962429497,16573.0080256833,16473.8184353937,16367.1933689612,16255.0607465246,16139.3513615406,16021.2927805741,15902.7289706201,15786.06414165,15672.4549571258,15562.6501466091,15457.8054461461,15358.8800922675,15266.1319986877,15179.3718056721,15098.4302126548,15022.7959527003,14951.6142750989,14884.0404073817,14819.2578416104,14756.4868334712,14694.6617232333,14632.7844060142,14570.3188212523,14506.5334505395,14440.7448169677,14372.6943545991,14302.1050105784,14228.8853500502,14153.2255168755,14075.3109436826,13995.4509438535,13914.0658632775,13831.5868522935,13748.535316724,13665.4587066639,13582.8397071433,13501.1153991752,13420.6836973621,13341.8662656513,13264.8856824208,13189.8806540534,13116.9076067445,13045.9307256352,12976.8383157596,12909.4599026042
"CT",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT",4,1,1,20710,20397.2884128187,20813.6199410788,18839.4123164139,18163.3657174447,19291.8538001772,19401.2032398667,19507.3949434488,19611.2073426008,19697.1659155784,19779.3681846084,19846.5350777491,19897.3340082104,19935.0475573136,19955.3008626967,19961.716429028,19945.753029255,19889.4774746579,19798.5532984625,19673.6629033889,19521.2924612464,19337.2898217041,19119.6426218383,18900.9997754156,18696.2576732456,18491.581653354,18280.1202407844,18096.7672499962,17943.7346145176,17796.3611713273,17661.7578534457,17537.0874301786,17435.2123897177,17354.2949074711,17266.6438921174,17200.1975551109,17155.1770992803,17107.9974935388,17077.5992442523,17053.7304656182,17017.0520803049,16976.2329291562,16930.2730383921,16876.3969544432,16815.4465242733,16743.9065968697,16661.7474399424,16570.8051258736,16471.6287199577,16365.0178262292,16252.9001085663,16137.2061037825,16019.1632152736,15900.6151649326,15783.9658431613,15670.3717596767,15560.5815445187,15455.7507801119,15356.8385754844,15264.1028100683,15177.3541492991,15096.4233151145,15020.7991085369,14949.626892471,14882.0620067359,14817.2880519242,14754.5253873664,14692.7084949803,14630.8394025524,14568.3821207747,14504.6052284734,14438.8253395886,14370.7839225514,14300.2039613328,14226.9940332307,14151.3442568321,14073.4400401176,13993.5906553548,13912.2163925602,13829.7483447638,13746.7078484826,13663.6422810436,13581.034263318,13499.3208182218,13418.8998074661,13340.0928522425,13263.1225013435,13188.127442715,13115.1640950521,13044.1966482566,12975.1134222091
"CT",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
