region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
DE,840-10,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.005904071,0.007495072,0.005904071,0.007495072,NA,NA
DE,840-10,1,99412.67523,99255.40357,99412.67523,99255.40357,NA,NA,0.000408593,0.000653565,0.000408593,0.000653565,NA,NA
DE,840-10,2,99372.06373,99190.55432,99372.06373,99190.55432,NA,NA,0.000261149,0.000481317,0.000261149,0.000481317,NA,NA
DE,840-10,3,99346.11625,99142.82452,99346.11625,99142.82452,NA,NA,0.000190795,0.000373169,0.000190795,0.000373169,NA,NA
DE,840-10,4,99327.16327,99105.83475,99327.16327,99105.83475,NA,NA,0.000157747,0.000336709,0.000157747,0.000336709,NA,NA
DE,840-10,5,99311.49583,99072.47052,99311.49583,99072.47052,NA,NA,1.47E-04,0.000299691,1.47E-04,0.000299691,NA,NA
DE,840-10,6,99296.88919,99042.78384,99296.88919,99042.78384,NA,NA,1.30E-04,0.00027027,1.30E-04,0.00027027,NA,NA
DE,840-10,7,99283.93472,99016.01912,99283.93472,99016.01912,NA,NA,1.19E-04,0.000245406,1.19E-04,0.000245406,NA,NA
DE,840-10,8,99272.16367,98991.72279,99272.16367,98991.72279,NA,NA,1.09E-04,2.18E-04,1.09E-04,2.18E-04,NA,NA
DE,840-10,9,99261.34145,98970.09628,99261.34145,98970.09628,NA,NA,1.03E-04,1.96E-04,1.03E-04,1.96E-04,NA,NA
DE,840-10,10,99251.11357,98950.67258,99251.11357,98950.67258,NA,NA,1.02E-04,1.86E-04,1.02E-04,1.86E-04,NA,NA
DE,840-10,11,99241.00547,98932.27865,99241.00547,98932.27865,NA,NA,1.08E-04,2.03E-04,1.08E-04,2.03E-04,NA,NA
DE,840-10,12,99230.30519,98912.18275,99230.30519,98912.18275,NA,NA,1.25E-04,0.00026202,1.25E-04,0.00026202,NA,NA
DE,840-10,13,99217.94959,98886.26918,99217.94959,98886.26918,NA,NA,1.52E-04,0.00036844,1.52E-04,0.00036844,NA,NA
DE,840-10,14,99202.88654,98849.84228,99202.88654,98849.84228,NA,NA,0.00018962,0.000510045,0.00018962,0.000510045,NA,NA
DE,840-10,15,99184.07769,98799.43682,99184.07769,98799.43682,NA,NA,0.000230729,0.00065502,0.000230729,0.00065502,NA,NA
DE,840-10,16,99161.19555,98734.74181,99161.19555,98734.74181,NA,NA,0.000273992,0.000799863,0.000273992,0.000799863,NA,NA
DE,840-10,17,99134.03008,98655.79974,99134.03008,98655.79974,NA,NA,0.000319403,0.000965948,0.000319403,0.000965948,NA,NA
DE,840-10,18,99102.37165,98560.55014,99102.37165,98560.55014,NA,NA,3.62E-04,0.001150999,0.000362331,0.001150999,NA,NA
DE,840-10,19,99066.47029,98447.17225,99066.47029,98447.17225,NA,NA,0.000403977,0.001337246,0.000403977,0.001337246,NA,NA
DE,840-10,20,99026.45776,98315.6121,99026.45776,98315.6121,NA,NA,0.000445518,0.001521225,0.000445518,0.001521225,NA,NA
DE,840-10,21,98982.34981,98166.16561,98982.34981,98166.16561,NA,NA,0.000485808,0.001684307,0.000485808,0.001684307,NA,NA
DE,840-10,22,98934.27536,98000.96282,98934.27536,98000.96282,NA,NA,0.00052142,0.001802322,0.00052142,0.001802322,NA,NA
DE,840-10,23,98882.70248,97824.49126,98882.70248,97824.49126,NA,NA,0.000552386,0.001869103,0.000552386,0.001869103,NA,NA
DE,840-10,24,98828.09579,97641.81663,98828.09579,97641.81663,NA,NA,0.000582167,0.001901769,0.000582167,0.001901769,NA,NA
DE,840-10,25,98770.57771,97456.30223,98770.57771,97456.30223,NA,NA,0.000613064,0.001921802,0.000613064,0.001921802,NA,NA
DE,840-10,26,98710.0443,97269.19036,98710.0443,97269.19036,NA,NA,0.000646191,0.001948069,0.000646191,0.001948069,NA,NA
DE,840-10,27,98646.27973,97079.88768,98646.27973,97079.88768,NA,NA,0.000680423,0.001979275,0.000680423,0.001979275,NA,NA
DE,840-10,28,98579.18211,96887.92984,98579.18211,96887.92984,NA,NA,0.000715743,0.002019105,0.000715743,0.002019105,NA,NA
DE,840-10,29,98508.65037,96692.4988,98508.65037,96692.4988,NA,NA,0.000751019,0.002066279,0.000751019,0.002066279,NA,NA
DE,840-10,30,98434.69623,96492.90986,98434.69623,96492.90986,NA,NA,0.000789671,0.002115805,0.000789671,0.002115805,NA,NA
DE,840-10,31,98356.99635,96288.96685,98356.99635,96288.96685,NA,NA,0.000832809,0.002163894,0.000832809,0.002163894,NA,NA
DE,840-10,32,98275.11834,96080.8329,98275.11834,96080.8329,NA,NA,0.00087928,0.002210623,0.00087928,0.002210623,NA,NA
DE,840-10,33,98188.74446,95868.66895,98188.74446,95868.66895,NA,NA,0.000933619,0.002255973,0.000933619,0.002255973,NA,NA
DE,840-10,34,98097.11579,95652.63392,98097.11579,95652.63392,NA,NA,0.000995798,0.002304909,0.000995798,0.002304909,NA,NA
DE,840-10,35,97999.48004,95432.41863,97999.48004,95432.41863,NA,NA,0.001069146,0.002369452,0.001069146,0.002369452,NA,NA
DE,840-10,36,97894.76085,95206.56202,97894.76085,95206.56202,NA,NA,0.001153618,0.002450791,0.001153618,0.002450791,NA,NA
