region,region_code,age,net_male,net_female,net_all
GA,840-13,0,0.001398909,0.006778622,NA
GA,840-13,1,0.001398909,0.006778622,NA
GA,840-13,2,0.001398909,0.006778622,NA
GA,840-13,3,0.001398909,0.006778622,NA
GA,840-13,4,0.001398909,0.006778622,NA
GA,840-13,5,0.007610195,0.004781077,NA
GA,840-13,6,0.007610195,0.004781077,NA
GA,840-13,7,0.007610195,0.004781077,NA
GA,840-13,8,0.007610195,0.004781077,NA
GA,840-13,9,0.007610195,0.004781077,NA
GA,840-13,10,0.005742869,0.004557756,NA
GA,840-13,11,0.005742869,0.004557756,NA
GA,840-13,12,0.005742869,0.004557756,NA
GA,840-13,13,0.005742869,0.004557756,NA
GA,840-13,14,0.005742869,0.004557756,NA
GA,840-13,15,0.003304627,0.001746363,NA
GA,840-13,16,0.003304627,0.001746363,NA
GA,840-13,17,0.003304627,0.001746363,NA
GA,840-13,18,0.003304627,0.001746363,NA
GA,840-13,19,0.003304627,0.001746363,NA
GA,840-13,20,0.007720933,0.00334021,NA
GA,840-13,21,0.007720933,0.00334021,NA
GA,840-13,22,0.007720933,0.00334021,NA
GA,840-13,23,0.007720933,0.00334021,NA
GA,840-13,24,0.007720933,0.00334021,NA
GA,840-13,25,0.000187773,0.000900736,NA
GA,840-13,26,0.000187773,0.000900736,NA
GA,840-13,27,0.000187773,0.000900736,NA
GA,840-13,28,0.000187773,0.000900736,NA
GA,840-13,29,0.000187773,0.000900736,NA
GA,840-13,30,0.003004759,0.004190902,NA
GA,840-13,31,0.003004759,0.004190902,NA
GA,840-13,32,0.003004759,0.004190902,NA
GA,840-13,33,0.003004759,0.004190902,NA
GA,840-13,34,0.003004759,0.004190902,NA
GA,840-13,35,0.004864979,0.005807263,NA
GA,840-13,36,0.004864979,0.005807263,NA
GA,840-13,37,0.004864979,0.005807263,NA
GA,840-13,38,0.004864979,0.005807263,NA
GA,840-13,39,0.004864979,0.005807263,NA
GA,840-13,40,0.001706553,0.003901373,NA
GA,840-13,41,0.001706553,0.003901373,NA
GA,840-13,42,0.001706553,0.003901373,NA
GA,840-13,43,0.001706553,0.003901373,NA
GA,840-13,44,0.001706553,0.003901373,NA
GA,840-13,45,0.001368409,0.002848543,NA
GA,840-13,46,0.001368409,0.002848543,NA
GA,840-13,47,0.001368409,0.002848543,NA
GA,840-13,48,0.001368409,0.002848543,NA
GA,840-13,49,0.001368409,0.002848543,NA
GA,840-13,50,0.001885049,0.002252367,NA
GA,840-13,51,0.001885049,0.002252367,NA
GA,840-13,52,0.001885049,0.002252367,NA
GA,840-13,53,0.001885049,0.002252367,NA
GA,840-13,54,0.001885049,0.002252367,NA
GA,840-13,55,-0.000178955,0.003207644,NA
GA,840-13,56,-0.000178955,0.003207644,NA
GA,840-13,57,-0.000178955,0.003207644,NA
GA,840-13,58,-0.000178955,0.003207644,NA
GA,840-13,59,-0.000178955,0.003207644,NA
GA,840-13,60,0.001992182,0.003824121,NA
GA,840-13,61,0.001992182,0.003824121,NA
GA,840-13,62,0.001992182,0.003824121,NA
GA,840-13,63,0.001992182,0.003824121,NA
GA,840-13,64,0.001992182,0.003824121,NA
GA,840-13,65,0.005046511,0.002806547,NA
GA,840-13,66,0.005046511,0.002806547,NA
GA,840-13,67,0.005046511,0.002806547,NA
GA,840-13,68,0.005046511,0.002806547,NA
GA,840-13,69,0.005046511,0.002806547,NA
GA,840-13,70,0.002994717,0.005681335,NA
GA,840-13,71,0.002994717,0.005681335,NA
GA,840-13,72,0.002994717,0.005681335,NA
GA,840-13,73,0.002994717,0.005681335,NA
GA,840-13,74,0.002994717,0.005681335,NA
GA,840-13,75,0.003174583,0.006316252,NA
GA,840-13,76,0.003174583,0.006316252,NA
GA,840-13,77,0.003174583,0.006316252,NA
GA,840-13,78,0.003174583,0.006316252,NA
GA,840-13,79,0.003174583,0.006316252,NA
GA,840-13,80,0.004249953,0.004589903,NA
GA,840-13,81,0.004249953,0.004589903,NA
GA,840-13,82,0.004249953,0.004589903,NA
GA,840-13,83,0.004249953,0.004589903,NA
GA,840-13,84,0.004249953,0.004589903,NA
GA,840-13,85,0.010076729,0.006859072,NA
GA,840-13,86,0.010076729,0.006859072,NA
GA,840-13,87,0.010076729,0.006859072,NA
GA,840-13,88,0.010076729,0.006859072,NA
GA,840-13,89,0.010076729,0.006859072,NA
GA,840-13,90,0.006609385,0.009613243,NA
GA,840-13,91,0.006609385,0.009613243,NA
GA,840-13,92,0.006609385,0.009613243,NA
GA,840-13,93,0.006609385,0.009613243,NA
GA,840-13,94,0.006609385,0.009613243,NA
GA,840-13,95,0,0,NA
GA,840-13,96,0,0,NA
GA,840-13,97,0,0,NA
GA,840-13,98,0,0,NA
GA,840-13,99,0,0,NA
GA,840-13,100,0,0,NA
