region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
ID,840-16,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.005514208,0.006032975,0.005514208,0.006032975,NA,NA
ID,840-16,1,99451.26882,99399.88832,99451.26882,99399.88832,NA,NA,0.000360396,0.000368125,0.000360396,0.000368125,NA,NA
ID,840-16,2,99415.43302,99363.30333,99415.43302,99363.30333,NA,NA,0.000228142,0.000259238,0.000228142,0.000259238,NA,NA
ID,840-16,3,99392.75477,99337.54815,99392.75477,99337.54815,NA,NA,0.000165562,0.000193648,0.000165562,0.000193648,NA,NA
ID,840-16,4,99376.30044,99318.31354,99376.30044,99318.31354,NA,NA,0.000136328,0.000172123,0.000136328,0.000172123,NA,NA
ID,840-16,5,99362.75357,99301.22006,99362.75357,99301.22006,NA,NA,1.27E-04,0.000150613,1.27E-04,0.000150613,NA,NA
ID,840-16,6,99350.14259,99286.26512,99350.14259,99286.26512,NA,NA,1.12E-04,0.000133791,1.12E-04,0.000133791,NA,NA
ID,840-16,7,99338.98658,99272.98236,99338.98658,99272.98236,NA,NA,1.02E-04,0.000119782,1.02E-04,0.000119782,NA,NA
ID,840-16,8,99328.87028,99261.09193,99328.87028,99261.09193,NA,NA,9.35E-05,1.05E-04,9.35E-05,1.05E-04,NA,NA
ID,840-16,9,99319.58601,99250.68504,99319.58601,99250.68504,NA,NA,8.82E-05,9.27E-05,8.82E-05,9.27E-05,NA,NA
ID,840-16,10,99310.82209,99241.48248,99310.82209,99241.48248,NA,NA,8.72E-05,8.71E-05,8.72E-05,8.71E-05,NA,NA
ID,840-16,11,99302.16284,99232.8358,99302.16284,99232.8358,NA,NA,9.24E-05,9.65E-05,9.24E-05,9.65E-05,NA,NA
ID,840-16,12,99292.98493,99223.26482,99292.98493,99223.26482,NA,NA,1.07E-04,0.000129121,1.07E-04,0.000129121,NA,NA
ID,840-16,13,99282.35427,99210.45387,99282.35427,99210.45387,NA,NA,1.31E-04,0.000190839,1.31E-04,0.000190839,NA,NA
ID,840-16,14,99269.33867,99191.52243,99269.33867,99191.52243,NA,NA,0.00016452,0.000277054,0.00016452,0.000277054,NA,NA
ID,840-16,15,99253.00837,99164.04467,99253.00837,99164.04467,NA,NA,0.000201033,0.000369064,0.000201033,0.000369064,NA,NA
ID,840-16,16,99233.05718,99127.45334,99233.05718,99127.45334,NA,NA,0.000239608,0.000464037,0.000239608,0.000464037,NA,NA
ID,840-16,17,99209.28308,99081.46546,99209.28308,99081.46546,NA,NA,0.000280241,0.000576079,0.000280241,0.000576079,NA,NA
ID,840-16,18,99181.48457,99024.40345,99181.48457,99024.40345,NA,NA,3.19E-04,0.000704285,0.000318768,0.000704285,NA,NA
ID,840-16,19,99149.87373,98954.68656,99149.87373,98954.68656,NA,NA,0.000356238,0.000836418,0.000356238,0.000836418,NA,NA
ID,840-16,20,99114.5591,98871.95365,99114.5591,98871.95365,NA,NA,0.000393695,0.00096963,0.000393695,0.00096963,NA,NA
ID,840-16,21,99075.54608,98776.13088,99075.54608,98776.13088,NA,NA,0.000430097,0.001089718,0.000430097,0.001089718,NA,NA
ID,840-16,22,99032.94337,98668.55133,99032.94337,98668.55133,NA,NA,0.000462327,0.001177708,0.000462327,0.001177708,NA,NA
ID,840-16,23,98987.16835,98552.41642,98987.16835,98552.41642,NA,NA,0.000490391,0.001227876,0.000490391,0.001227876,NA,NA
ID,840-16,24,98938.63757,98431.47998,98938.63757,98431.47998,NA,NA,0.000517412,0.001252503,0.000517412,0.001252503,NA,NA
ID,840-16,25,98887.45846,98308.27198,98887.45846,98308.27198,NA,NA,0.000545476,0.001267647,0.000545476,0.001267647,NA,NA
ID,840-16,26,98833.53296,98183.73071,98833.53296,98183.73071,NA,NA,0.000575602,0.001287533,0.000575602,0.001287533,NA,NA
ID,840-16,27,98776.66088,98057.39722,98776.66088,98057.39722,NA,NA,0.000606766,0.00131121,0.000606766,0.00131121,NA,NA
ID,840-16,28,98716.74537,97928.90763,98716.74537,97928.90763,NA,NA,0.000638957,0.001341514,0.000638957,0.001341514,NA,NA
ID,840-16,29,98653.69011,97797.62207,98653.69011,97797.62207,NA,NA,0.000671142,0.001377514,0.000671142,0.001377514,NA,NA
ID,840-16,30,98587.50171,97662.99659,98587.50171,97662.99659,NA,NA,0.000706443,0.001415429,0.000706443,0.001415429,NA,NA
ID,840-16,31,98517.88027,97524.86001,98517.88027,97524.86001,NA,NA,0.000745885,0.001452383,0.000745885,0.001452383,NA,NA
ID,840-16,32,98444.42501,97383.31936,98444.42501,97383.31936,NA,NA,0.000788426,0.001488403,0.000788426,0.001488403,NA,NA
ID,840-16,33,98366.83905,97238.48156,98366.83905,97238.48156,NA,NA,0.000838229,0.001523473,0.000838229,0.001523473,NA,NA
ID,840-16,34,98284.41923,97090.45339,98284.41923,97090.45339,NA,NA,0.000895293,0.001561417,0.000895293,0.001561417,NA,NA
ID,840-16,35,98196.46575,96938.97375,98196.46575,96938.97375,NA,NA,0.000962706,0.001611667,0.000962706,0.001611667,NA,NA
ID,840-16,36,98101.97741,96782.86549,98101.97741,96782.86549,NA,NA,0.001040467,0.00167525,0.001040467,0.00167525,NA,NA
