"from","to","gender","age","mrate"
"AL","IA","m","0","0.000182525"
"AL","IA","m","1","0.000182525"
"AL","IA","m","2","0.000182525"
"AL","IA","m","3","0.000182525"
"AL","IA","m","4","0.000182525"
"AL","IA","m","5","0.000141111"
"AL","IA","m","6","0.000141111"
"AL","IA","m","7","0.000141111"
"AL","IA","m","8","0.000141111"
"AL","IA","m","9","0.000141111"
"AL","IA","m","10","0.000108115"
"AL","IA","m","11","0.000108115"
"AL","IA","m","12","0.000108115"
"AL","IA","m","13","0.000108115"
"AL","IA","m","14","0.000108115"
"AL","IA","m","15","0.00012986"
"AL","IA","m","16","0.00012986"
"AL","IA","m","17","0.00012986"
"AL","IA","m","18","0.00012986"
"AL","IA","m","19","0.00012986"
"AL","IA","m","20","0.000234381"
"AL","IA","m","21","0.000234381"
"AL","IA","m","22","0.000234381"
"AL","IA","m","23","0.000234381"
"AL","IA","m","24","0.000234381"
"AL","IA","m","25","0.000302268"
"AL","IA","m","26","0.000302268"
"AL","IA","m","27","0.000302268"
"AL","IA","m","28","0.000302268"
"AL","IA","m","29","0.000302268"
"AL","IA","m","30","0.000286072"
"AL","IA","m","31","0.000286072"
"AL","IA","m","32","0.000286072"
"AL","IA","m","33","0.000286072"
"AL","IA","m","34","0.000286072"
"AL","IA","m","35","0.000162123"
"AL","IA","m","36","0.000162123"
"AL","IA","m","37","0.000162123"
"AL","IA","m","38","0.000162123"
"AL","IA","m","39","0.000162123"
"AL","IA","m","40","6.55155e-05"
"AL","IA","m","41","6.55155e-05"
"AL","IA","m","42","6.55155e-05"
"AL","IA","m","43","6.55155e-05"
"AL","IA","m","44","6.55155e-05"
"AL","IA","m","45","8.58273e-05"
"AL","IA","m","46","8.58273e-05"
"AL","IA","m","47","8.58273e-05"
"AL","IA","m","48","8.58273e-05"
"AL","IA","m","49","8.58273e-05"
"AL","IA","m","50","8.58273e-05"
"AL","IA","m","51","8.58273e-05"
"AL","IA","m","52","8.58273e-05"
"AL","IA","m","53","8.58273e-05"
"AL","IA","m","54","8.58273e-05"
"AL","IA","m","55","9.36596e-05"
"AL","IA","m","56","9.36596e-05"
"AL","IA","m","57","9.36596e-05"
"AL","IA","m","58","9.36596e-05"
"AL","IA","m","59","9.36596e-05"
"AL","IA","m","60","3.04257e-05"
"AL","IA","m","61","3.04257e-05"
"AL","IA","m","62","3.04257e-05"
"AL","IA","m","63","3.04257e-05"
"AL","IA","m","64","3.04257e-05"
"AL","IA","m","65","3.04257e-05"
"AL","IA","m","66","3.04257e-05"
"AL","IA","m","67","3.04257e-05"
"AL","IA","m","68","3.04257e-05"
"AL","IA","m","69","3.04257e-05"
"AL","IA","m","70","0"
"AL","IA","m","71","0"
"AL","IA","m","72","0"
"AL","IA","m","73","0"
"AL","IA","m","74","0"
"AL","IA","m","75","0"
"AL","IA","m","76","0"
"AL","IA","m","77","0"
"AL","IA","m","78","0"
"AL","IA","m","79","0"
"AL","IA","m","80","0"
"AL","IA","m","81","0"
"AL","IA","m","82","0"
"AL","IA","m","83","0"
"AL","IA","m","84","0"
"AL","IA","m","85","0"
"AL","IA","m","86","0"
"AL","IA","m","87","0"
"AL","IA","m","88","0"
"AL","IA","m","89","0"
"AL","IA","m","90","0"
"AL","IA","m","91","0"
"AL","IA","m","92","0"
"AL","IA","m","93","0"
"AL","IA","m","94","0"
"AL","IA","m","95","0"
