region,region_code,age,net_male,net_female,net_all
IA,840-19,0,0.004916537,0.0061248,NA
IA,840-19,1,0.004916537,0.0061248,NA
IA,840-19,2,0.004916537,0.0061248,NA
IA,840-19,3,0.004916537,0.0061248,NA
IA,840-19,4,0.004916537,0.0061248,NA
IA,840-19,5,0.004729336,0.005404258,NA
IA,840-19,6,0.004729336,0.005404258,NA
IA,840-19,7,0.004729336,0.005404258,NA
IA,840-19,8,0.004729336,0.005404258,NA
IA,840-19,9,0.004729336,0.005404258,NA
IA,840-19,10,0.006976023,-0.000596701,NA
IA,840-19,11,0.006976023,-0.000596701,NA
IA,840-19,12,0.006976023,-0.000596701,NA
IA,840-19,13,0.006976023,-0.000596701,NA
IA,840-19,14,0.006976023,-0.000596701,NA
IA,840-19,15,0.02276375,0.024581127,NA
IA,840-19,16,0.02276375,0.024581127,NA
IA,840-19,17,0.02276375,0.024581127,NA
IA,840-19,18,0.02276375,0.024581127,NA
IA,840-19,19,0.02276375,0.024581127,NA
IA,840-19,20,-0.005718233,-0.003895878,NA
IA,840-19,21,-0.005718233,-0.003895878,NA
IA,840-19,22,-0.005718233,-0.003895878,NA
IA,840-19,23,-0.005718233,-0.003895878,NA
IA,840-19,24,-0.005718233,-0.003895878,NA
IA,840-19,25,0.000491471,-0.002112432,NA
IA,840-19,26,0.000491471,-0.002112432,NA
IA,840-19,27,0.000491471,-0.002112432,NA
IA,840-19,28,0.000491471,-0.002112432,NA
IA,840-19,29,0.000491471,-0.002112432,NA
IA,840-19,30,0.001841842,0.004144866,NA
IA,840-19,31,0.001841842,0.004144866,NA
IA,840-19,32,0.001841842,0.004144866,NA
IA,840-19,33,0.001841842,0.004144866,NA
IA,840-19,34,0.001841842,0.004144866,NA
IA,840-19,35,0.006923179,0.005701197,NA
IA,840-19,36,0.006923179,0.005701197,NA
IA,840-19,37,0.006923179,0.005701197,NA
IA,840-19,38,0.006923179,0.005701197,NA
IA,840-19,39,0.006923179,0.005701197,NA
IA,840-19,40,-0.000267469,-0.000573203,NA
IA,840-19,41,-0.000267469,-0.000573203,NA
IA,840-19,42,-0.000267469,-0.000573203,NA
IA,840-19,43,-0.000267469,-0.000573203,NA
IA,840-19,44,-0.000267469,-0.000573203,NA
IA,840-19,45,-0.001071286,0.003571205,NA
IA,840-19,46,-0.001071286,0.003571205,NA
IA,840-19,47,-0.001071286,0.003571205,NA
IA,840-19,48,-0.001071286,0.003571205,NA
IA,840-19,49,-0.001071286,0.003571205,NA
IA,840-19,50,-0.001164113,-0.000381962,NA
IA,840-19,51,-0.001164113,-0.000381962,NA
IA,840-19,52,-0.001164113,-0.000381962,NA
IA,840-19,53,-0.001164113,-0.000381962,NA
IA,840-19,54,-0.001164113,-0.000381962,NA
IA,840-19,55,-0.003851683,-0.003575119,NA
IA,840-19,56,-0.003851683,-0.003575119,NA
IA,840-19,57,-0.003851683,-0.003575119,NA
IA,840-19,58,-0.003851683,-0.003575119,NA
IA,840-19,59,-0.003851683,-0.003575119,NA
IA,840-19,60,0.001977201,-0.002115603,NA
IA,840-19,61,0.001977201,-0.002115603,NA
IA,840-19,62,0.001977201,-0.002115603,NA
IA,840-19,63,0.001977201,-0.002115603,NA
IA,840-19,64,0.001977201,-0.002115603,NA
IA,840-19,65,-0.004394622,-0.003057613,NA
IA,840-19,66,-0.004394622,-0.003057613,NA
IA,840-19,67,-0.004394622,-0.003057613,NA
IA,840-19,68,-0.004394622,-0.003057613,NA
IA,840-19,69,-0.004394622,-0.003057613,NA
IA,840-19,70,-0.002206894,0.001943082,NA
IA,840-19,71,-0.002206894,0.001943082,NA
IA,840-19,72,-0.002206894,0.001943082,NA
IA,840-19,73,-0.002206894,0.001943082,NA
IA,840-19,74,-0.002206894,0.001943082,NA
IA,840-19,75,0.002387311,-0.000278058,NA
IA,840-19,76,0.002387311,-0.000278058,NA
IA,840-19,77,0.002387311,-0.000278058,NA
IA,840-19,78,0.002387311,-0.000278058,NA
IA,840-19,79,0.002387311,-0.000278058,NA
IA,840-19,80,0.000756566,-0.004100741,NA
IA,840-19,81,0.000756566,-0.004100741,NA
IA,840-19,82,0.000756566,-0.004100741,NA
IA,840-19,83,0.000756566,-0.004100741,NA
IA,840-19,84,0.000756566,-0.004100741,NA
IA,840-19,85,-0.003805842,-0.001739974,NA
IA,840-19,86,-0.003805842,-0.001739974,NA
IA,840-19,87,-0.003805842,-0.001739974,NA
IA,840-19,88,-0.003805842,-0.001739974,NA
IA,840-19,89,-0.003805842,-0.001739974,NA
IA,840-19,90,-0.008955224,-0.020948834,NA
IA,840-19,91,-0.008955224,-0.020948834,NA
IA,840-19,92,-0.008955224,-0.020948834,NA
IA,840-19,93,-0.008955224,-0.020948834,NA
IA,840-19,94,-0.008955224,-0.020948834,NA
IA,840-19,95,0.001671542,0.007334148,NA
IA,840-19,96,0.001671542,0.007334148,NA
IA,840-19,97,0.001671542,0.007334148,NA
IA,840-19,98,0.001671542,0.007334148,NA
IA,840-19,99,0.001671542,0.007334148,NA
IA,840-19,100,0.001671542,0.007334148,NA
