region,region_code,age,net_male,net_female,net_all
MA,840-25,0,-0.000859286,-0.000311787,NA
MA,840-25,1,-0.000859286,-0.000311787,NA
MA,840-25,2,-0.000859286,-0.000311787,NA
MA,840-25,3,-0.000859286,-0.000311787,NA
MA,840-25,4,-0.000859286,-0.000311787,NA
MA,840-25,5,-0.000376565,-0.000283593,NA
MA,840-25,6,-0.000376565,-0.000283593,NA
MA,840-25,7,-0.000376565,-0.000283593,NA
MA,840-25,8,-0.000376565,-0.000283593,NA
MA,840-25,9,-0.000376565,-0.000283593,NA
MA,840-25,10,-0.000203942,-2.27538E-05,NA
MA,840-25,11,-0.000203942,-2.27538E-05,NA
MA,840-25,12,-0.000203942,-2.27538E-05,NA
MA,840-25,13,-0.000203942,-2.27538E-05,NA
MA,840-25,14,-0.000203942,-2.27538E-05,NA
MA,840-25,15,-0.000487014,0.001086815,NA
MA,840-25,16,-0.000487014,0.001086815,NA
MA,840-25,17,-0.000487014,0.001086815,NA
MA,840-25,18,-0.000487014,0.001086815,NA
MA,840-25,19,-0.000487014,0.001086815,NA
MA,840-25,20,-0.000686891,-9.96376E-05,NA
MA,840-25,21,-0.000686891,-9.96376E-05,NA
MA,840-25,22,-0.000686891,-9.96376E-05,NA
MA,840-25,23,-0.000686891,-9.96376E-05,NA
MA,840-25,24,-0.000686891,-9.96376E-05,NA
MA,840-25,25,-0.001890916,-0.001006406,NA
MA,840-25,26,-0.001890916,-0.001006406,NA
MA,840-25,27,-0.001890916,-0.001006406,NA
MA,840-25,28,-0.001890916,-0.001006406,NA
MA,840-25,29,-0.001890916,-0.001006406,NA
MA,840-25,30,-0.00177999,-0.000277323,NA
MA,840-25,31,-0.00177999,-0.000277323,NA
MA,840-25,32,-0.00177999,-0.000277323,NA
MA,840-25,33,-0.00177999,-0.000277323,NA
MA,840-25,34,-0.00177999,-0.000277323,NA
MA,840-25,35,-0.000337603,-0.00031572,NA
MA,840-25,36,-0.000337603,-0.00031572,NA
MA,840-25,37,-0.000337603,-0.00031572,NA
MA,840-25,38,-0.000337603,-0.00031572,NA
MA,840-25,39,-0.000337603,-0.00031572,NA
MA,840-25,40,-0.001432618,-0.000139424,NA
MA,840-25,41,-0.001432618,-0.000139424,NA
MA,840-25,42,-0.001432618,-0.000139424,NA
MA,840-25,43,-0.001432618,-0.000139424,NA
MA,840-25,44,-0.001432618,-0.000139424,NA
MA,840-25,45,-0.000766462,-0.000387202,NA
MA,840-25,46,-0.000766462,-0.000387202,NA
MA,840-25,47,-0.000766462,-0.000387202,NA
MA,840-25,48,-0.000766462,-0.000387202,NA
MA,840-25,49,-0.000766462,-0.000387202,NA
MA,840-25,50,-0.000434394,-5.64841E-05,NA
MA,840-25,51,-0.000434394,-5.64841E-05,NA
MA,840-25,52,-0.000434394,-5.64841E-05,NA
MA,840-25,53,-0.000434394,-5.64841E-05,NA
MA,840-25,54,-0.000434394,-5.64841E-05,NA
MA,840-25,55,-0.001215119,-0.00044481,NA
MA,840-25,56,-0.001215119,-0.00044481,NA
MA,840-25,57,-0.001215119,-0.00044481,NA
MA,840-25,58,-0.001215119,-0.00044481,NA
MA,840-25,59,-0.001215119,-0.00044481,NA
MA,840-25,60,-0.001727664,-0.000614273,NA
MA,840-25,61,-0.001727664,-0.000614273,NA
MA,840-25,62,-0.001727664,-0.000614273,NA
MA,840-25,63,-0.001727664,-0.000614273,NA
MA,840-25,64,-0.001727664,-0.000614273,NA
MA,840-25,65,-0.002199395,-0.000989519,NA
MA,840-25,66,-0.002199395,-0.000989519,NA
MA,840-25,67,-0.002199395,-0.000989519,NA
MA,840-25,68,-0.002199395,-0.000989519,NA
MA,840-25,69,-0.002199395,-0.000989519,NA
MA,840-25,70,-0.001322016,-0.00024014,NA
MA,840-25,71,-0.001322016,-0.00024014,NA
MA,840-25,72,-0.001322016,-0.00024014,NA
MA,840-25,73,-0.001322016,-0.00024014,NA
MA,840-25,74,-0.001322016,-0.00024014,NA
MA,840-25,75,-0.000923389,-0.000482996,NA
MA,840-25,76,-0.000923389,-0.000482996,NA
MA,840-25,77,-0.000923389,-0.000482996,NA
MA,840-25,78,-0.000923389,-0.000482996,NA
MA,840-25,79,-0.000923389,-0.000482996,NA
MA,840-25,80,0.000754543,0.000297259,NA
MA,840-25,81,0.000754543,0.000297259,NA
MA,840-25,82,0.000754543,0.000297259,NA
MA,840-25,83,0.000754543,0.000297259,NA
MA,840-25,84,0.000754543,0.000297259,NA
MA,840-25,85,-0.00037353,-0.000332794,NA
MA,840-25,86,-0.00037353,-0.000332794,NA
MA,840-25,87,-0.00037353,-0.000332794,NA
MA,840-25,88,-0.00037353,-0.000332794,NA
MA,840-25,89,-0.00037353,-0.000332794,NA
MA,840-25,90,0.000754883,-0.000583244,NA
MA,840-25,91,0.000754883,-0.000583244,NA
MA,840-25,92,0.000754883,-0.000583244,NA
MA,840-25,93,0.000754883,-0.000583244,NA
MA,840-25,94,0.000754883,-0.000583244,NA
MA,840-25,95,0,0.003030915,NA
MA,840-25,96,0,0.003030915,NA
MA,840-25,97,0,0.003030915,NA
MA,840-25,98,0,0.003030915,NA
MA,840-25,99,0,0.003030915,NA
MA,840-25,100,0,0.003030915,NA
