region,region_code,age,net_male,net_female,net_all
NH,840-33,0,0.013864133,0.014404713,NA
NH,840-33,1,0.013864133,0.014404713,NA
NH,840-33,2,0.013864133,0.014404713,NA
NH,840-33,3,0.013864133,0.014404713,NA
NH,840-33,4,0.013864133,0.014404713,NA
NH,840-33,5,0.008499041,0.008809087,NA
NH,840-33,6,0.008499041,0.008809087,NA
NH,840-33,7,0.008499041,0.008809087,NA
NH,840-33,8,0.008499041,0.008809087,NA
NH,840-33,9,0.008499041,0.008809087,NA
NH,840-33,10,0.005039348,0.005178136,NA
NH,840-33,11,0.005039348,0.005178136,NA
NH,840-33,12,0.005039348,0.005178136,NA
NH,840-33,13,0.005039348,0.005178136,NA
NH,840-33,14,0.005039348,0.005178136,NA
NH,840-33,15,0.00529833,0.005395293,NA
NH,840-33,16,0.00529833,0.005395293,NA
NH,840-33,17,0.00529833,0.005395293,NA
NH,840-33,18,0.00529833,0.005395293,NA
NH,840-33,19,0.00529833,0.005395293,NA
NH,840-33,20,0.028762915,0.02886303,NA
NH,840-33,21,0.028762915,0.02886303,NA
NH,840-33,22,0.028762915,0.02886303,NA
NH,840-33,23,0.028762915,0.02886303,NA
NH,840-33,24,0.028762915,0.02886303,NA
NH,840-33,25,0.042376058,0.042216196,NA
NH,840-33,26,0.042376058,0.042216196,NA
NH,840-33,27,0.042376058,0.042216196,NA
NH,840-33,28,0.042376058,0.042216196,NA
NH,840-33,29,0.042376058,0.042216196,NA
NH,840-33,30,0.032774011,0.032709066,NA
NH,840-33,31,0.032774011,0.032709066,NA
NH,840-33,32,0.032774011,0.032709066,NA
NH,840-33,33,0.032774011,0.032709066,NA
NH,840-33,34,0.032774011,0.032709066,NA
NH,840-33,35,0.021025529,0.020880862,NA
NH,840-33,36,0.021025529,0.020880862,NA
NH,840-33,37,0.021025529,0.020880862,NA
NH,840-33,38,0.021025529,0.020880862,NA
NH,840-33,39,0.021025529,0.020880862,NA
NH,840-33,40,0.013610735,0.013427436,NA
NH,840-33,41,0.013610735,0.013427436,NA
NH,840-33,42,0.013610735,0.013427436,NA
NH,840-33,43,0.013610735,0.013427436,NA
NH,840-33,44,0.013610735,0.013427436,NA
NH,840-33,45,0.009904934,0.009824473,NA
NH,840-33,46,0.009904934,0.009824473,NA
NH,840-33,47,0.009904934,0.009824473,NA
NH,840-33,48,0.009904934,0.009824473,NA
NH,840-33,49,0.009904934,0.009824473,NA
NH,840-33,50,0.007012106,0.006955095,NA
NH,840-33,51,0.007012106,0.006955095,NA
NH,840-33,52,0.007012106,0.006955095,NA
NH,840-33,53,0.007012106,0.006955095,NA
NH,840-33,54,0.007012106,0.006955095,NA
NH,840-33,55,0.005090766,0.005008995,NA
NH,840-33,56,0.005090766,0.005008995,NA
NH,840-33,57,0.005090766,0.005008995,NA
NH,840-33,58,0.005090766,0.005008995,NA
NH,840-33,59,0.005090766,0.005008995,NA
NH,840-33,60,0.004014744,0.003837991,NA
NH,840-33,61,0.004014744,0.003837991,NA
NH,840-33,62,0.004014744,0.003837991,NA
NH,840-33,63,0.004014744,0.003837991,NA
NH,840-33,64,0.004014744,0.003837991,NA
NH,840-33,65,0.002727348,0.002489628,NA
NH,840-33,66,0.002727348,0.002489628,NA
NH,840-33,67,0.002727348,0.002489628,NA
NH,840-33,68,0.002727348,0.002489628,NA
NH,840-33,69,0.002727348,0.002489628,NA
NH,840-33,70,0,0,NA
NH,840-33,71,0,0,NA
NH,840-33,72,0,0,NA
NH,840-33,73,0,0,NA
NH,840-33,74,0,0,NA
NH,840-33,75,0,0,NA
NH,840-33,76,0,0,NA
NH,840-33,77,0,0,NA
NH,840-33,78,0,0,NA
NH,840-33,79,0,0,NA
NH,840-33,80,0,0,NA
NH,840-33,81,0,0,NA
NH,840-33,82,0,0,NA
NH,840-33,83,0,0,NA
NH,840-33,84,0,0,NA
NH,840-33,85,0,0,NA
NH,840-33,86,0,0,NA
NH,840-33,87,0,0,NA
NH,840-33,88,0,0,NA
NH,840-33,89,0,0,NA
NH,840-33,90,0,0,NA
NH,840-33,91,0,0,NA
NH,840-33,92,0,0,NA
NH,840-33,93,0,0,NA
NH,840-33,94,0,0,NA
NH,840-33,95,0,0,NA
NH,840-33,96,0,0,NA
NH,840-33,97,0,0,NA
NH,840-33,98,0,0,NA
NH,840-33,99,0,0,NA
NH,840-33,100,0,0,NA
