"from","to","gender","age","rate"
"AK","AZ","m","0","0.002190053"
"AK","AZ","m","1","0.002190053"
"AK","AZ","m","2","0.002190053"
"AK","AZ","m","3","0.002190053"
"AK","AZ","m","4","0.002190053"
"AK","AZ","m","5","0.001363632"
"AK","AZ","m","6","0.001363632"
"AK","AZ","m","7","0.001363632"
"AK","AZ","m","8","0.001363632"
"AK","AZ","m","9","0.001363632"
"AK","AZ","m","10","0.00204321"
"AK","AZ","m","11","0.00204321"
"AK","AZ","m","12","0.00204321"
"AK","AZ","m","13","0.00204321"
"AK","AZ","m","14","0.00204321"
"AK","AZ","m","15","0.002931536"
"AK","AZ","m","16","0.002931536"
"AK","AZ","m","17","0.002931536"
"AK","AZ","m","18","0.002931536"
"AK","AZ","m","19","0.002931536"
"AK","AZ","m","20","0.004774397"
"AK","AZ","m","21","0.004774397"
"AK","AZ","m","22","0.004774397"
"AK","AZ","m","23","0.004774397"
"AK","AZ","m","24","0.004774397"
"AK","AZ","m","25","0.007157912"
"AK","AZ","m","26","0.007157912"
"AK","AZ","m","27","0.007157912"
"AK","AZ","m","28","0.007157912"
"AK","AZ","m","29","0.007157912"
"AK","AZ","m","30","0.004707763"
"AK","AZ","m","31","0.004707763"
"AK","AZ","m","32","0.004707763"
"AK","AZ","m","33","0.004707763"
"AK","AZ","m","34","0.004707763"
"AK","AZ","m","35","0.001706523"
"AK","AZ","m","36","0.001706523"
"AK","AZ","m","37","0.001706523"
"AK","AZ","m","38","0.001706523"
"AK","AZ","m","39","0.001706523"
"AK","AZ","m","40","0.00219827"
"AK","AZ","m","41","0.00219827"
"AK","AZ","m","42","0.00219827"
"AK","AZ","m","43","0.00219827"
"AK","AZ","m","44","0.00219827"
"AK","AZ","m","45","0.001746445"
"AK","AZ","m","46","0.001746445"
"AK","AZ","m","47","0.001746445"
"AK","AZ","m","48","0.001746445"
"AK","AZ","m","49","0.001746445"
"AK","AZ","m","50","0.001170719"
"AK","AZ","m","51","0.001170719"
"AK","AZ","m","52","0.001170719"
"AK","AZ","m","53","0.001170719"
"AK","AZ","m","54","0.001170719"
"AK","AZ","m","55","0.003446128"
"AK","AZ","m","56","0.003446128"
"AK","AZ","m","57","0.003446128"
"AK","AZ","m","58","0.003446128"
"AK","AZ","m","59","0.003446128"
"AK","AZ","m","60","0.003635964"
"AK","AZ","m","61","0.003635964"
"AK","AZ","m","62","0.003635964"
"AK","AZ","m","63","0.003635964"
"AK","AZ","m","64","0.003635964"
"AK","AZ","m","65","0.004450289"
"AK","AZ","m","66","0.004450289"
"AK","AZ","m","67","0.004450289"
"AK","AZ","m","68","0.004450289"
"AK","AZ","m","69","0.004450289"
"AK","AZ","m","70","0.00104389"
"AK","AZ","m","71","0.00104389"
"AK","AZ","m","72","0.00104389"
"AK","AZ","m","73","0.00104389"
"AK","AZ","m","74","0.00104389"
"AK","AZ","m","75","0.002741461"
"AK","AZ","m","76","0.002741461"
"AK","AZ","m","77","0.002741461"
"AK","AZ","m","78","0.002741461"
"AK","AZ","m","79","0.002741461"
"AK","AZ","m","80","0.007173515"
"AK","AZ","m","81","0.007173515"
"AK","AZ","m","82","0.007173515"
"AK","AZ","m","83","0.007173515"
"AK","AZ","m","84","0.007173515"
"AK","AZ","m","85","0.00684368"
"AK","AZ","m","86","0.00684368"
"AK","AZ","m","87","0.00684368"
"AK","AZ","m","88","0.00684368"
"AK","AZ","m","89","0.00684368"
"AK","AZ","m","90","0"
"AK","AZ","m","91","0"
"AK","AZ","m","92","0"
"AK","AZ","m","93","0"
"AK","AZ","m","94","0"
"AK","AZ","m","95","0"
"AK","AZ","m","96","0"
"AK","AZ","m","97","0"
"AK","AZ","m","98","0"
"AK","AZ","m","99","0"
"AK","AZ","m","100","0"
"AK","AZ","f","0","0.001008566"
"AK","AZ","f","1","0.001008566"
"AK","AZ","f","2","0.001008566"
"AK","AZ","f","3","0.001008566"
"AK","AZ","f","4","0.001008566"
"AK","AZ","f","5","0.004893997"
"AK","AZ","f","6","0.004893997"
"AK","AZ","f","7","0.004893997"
"AK","AZ","f","8","0.004893997"
"AK","AZ","f","9","0.004893997"
"AK","AZ","f","10","0.001633516"
"AK","AZ","f","11","0.001633516"
"AK","AZ","f","12","0.001633516"
"AK","AZ","f","13","0.001633516"
"AK","AZ","f","14","0.001633516"
"AK","AZ","f","15","0.005778246"
"AK","AZ","f","16","0.005778246"
"AK","AZ","f","17","0.005778246"
"AK","AZ","f","18","0.005778246"
"AK","AZ","f","19","0.005778246"
"AK","AZ","f","20","0.004098821"
"AK","AZ","f","21","0.004098821"
"AK","AZ","f","22","0.004098821"
"AK","AZ","f","23","0.004098821"
"AK","AZ","f","24","0.004098821"
"AK","AZ","f","25","0.002843725"
"AK","AZ","f","26","0.002843725"
"AK","AZ","f","27","0.002843725"
"AK","AZ","f","28","0.002843725"
"AK","AZ","f","29","0.002843725"
"AK","AZ","f","30","0.002273116"
"AK","AZ","f","31","0.002273116"
"AK","AZ","f","32","0.002273116"
"AK","AZ","f","33","0.002273116"
"AK","AZ","f","34","0.002273116"
"AK","AZ","f","35","0.003045834"
"AK","AZ","f","36","0.003045834"
"AK","AZ","f","37","0.003045834"
