"from","to","gender","age","mrate"
"AL","OK","m","0","0.000366993"
"AL","OK","m","1","0.000366993"
"AL","OK","m","2","0.000366993"
"AL","OK","m","3","0.000366993"
"AL","OK","m","4","0.000366993"
"AL","OK","m","5","0.000274315"
"AL","OK","m","6","0.000274315"
"AL","OK","m","7","0.000274315"
"AL","OK","m","8","0.000274315"
"AL","OK","m","9","0.000274315"
"AL","OK","m","10","0.000214188"
"AL","OK","m","11","0.000214188"
"AL","OK","m","12","0.000214188"
"AL","OK","m","13","0.000214188"
"AL","OK","m","14","0.000214188"
"AL","OK","m","15","0.000271705"
"AL","OK","m","16","0.000271705"
"AL","OK","m","17","0.000271705"
"AL","OK","m","18","0.000271705"
"AL","OK","m","19","0.000271705"
"AL","OK","m","20","0.000418652"
"AL","OK","m","21","0.000418652"
"AL","OK","m","22","0.000418652"
"AL","OK","m","23","0.000418652"
"AL","OK","m","24","0.000418652"
"AL","OK","m","25","0.000379633"
"AL","OK","m","26","0.000379633"
"AL","OK","m","27","0.000379633"
"AL","OK","m","28","0.000379633"
"AL","OK","m","29","0.000379633"
"AL","OK","m","30","0.000252794"
"AL","OK","m","31","0.000252794"
"AL","OK","m","32","0.000252794"
"AL","OK","m","33","0.000252794"
"AL","OK","m","34","0.000252794"
"AL","OK","m","35","7.61941e-05"
"AL","OK","m","36","7.61941e-05"
"AL","OK","m","37","7.61941e-05"
"AL","OK","m","38","7.61941e-05"
"AL","OK","m","39","7.61941e-05"
"AL","OK","m","40","6.42834e-05"
"AL","OK","m","41","6.42834e-05"
"AL","OK","m","42","6.42834e-05"
"AL","OK","m","43","6.42834e-05"
"AL","OK","m","44","6.42834e-05"
"AL","OK","m","45","9.4884e-05"
"AL","OK","m","46","9.4884e-05"
"AL","OK","m","47","9.4884e-05"
"AL","OK","m","48","9.4884e-05"
"AL","OK","m","49","9.4884e-05"
"AL","OK","m","50","0.000195402"
"AL","OK","m","51","0.000195402"
"AL","OK","m","52","0.000195402"
"AL","OK","m","53","0.000195402"
"AL","OK","m","54","0.000195402"
"AL","OK","m","55","0.000217421"
"AL","OK","m","56","0.000217421"
"AL","OK","m","57","0.000217421"
"AL","OK","m","58","0.000217421"
"AL","OK","m","59","0.000217421"
"AL","OK","m","60","0.000172442"
"AL","OK","m","61","0.000172442"
