"from","to","gender","age","rate"
"RI","AK","m","0","0"
"RI","AK","m","1","0"
"RI","AK","m","2","0"
"RI","AK","m","3","0"
"RI","AK","m","4","0"
"RI","AK","m","5","0"
"RI","AK","m","6","0"
"RI","AK","m","7","0"
"RI","AK","m","8","0"
"RI","AK","m","9","0"
"RI","AK","m","10","0.0000626"
"RI","AK","m","11","0.0000626"
"RI","AK","m","12","0.0000626"
"RI","AK","m","13","0.0000626"
"RI","AK","m","14","0.0000626"
"RI","AK","m","15","0.0000339"
"RI","AK","m","16","0.0000339"
"RI","AK","m","17","0.0000339"
"RI","AK","m","18","0.0000339"
"RI","AK","m","19","0.0000339"
"RI","AK","m","20","0"
"RI","AK","m","21","0"
"RI","AK","m","22","0"
"RI","AK","m","23","0"
"RI","AK","m","24","0"
"RI","AK","m","25","0"
"RI","AK","m","26","0"
"RI","AK","m","27","0"
"RI","AK","m","28","0"
"RI","AK","m","29","0"
"RI","AK","m","30","0.000482351"
"RI","AK","m","31","0.000482351"
"RI","AK","m","32","0.000482351"
"RI","AK","m","33","0.000482351"
"RI","AK","m","34","0.000482351"
"RI","AK","m","35","0"
"RI","AK","m","36","0"
"RI","AK","m","37","0"
"RI","AK","m","38","0"
"RI","AK","m","39","0"
"RI","AK","m","40","0.000255671"
"RI","AK","m","41","0.000255671"
"RI","AK","m","42","0.000255671"
"RI","AK","m","43","0.000255671"
"RI","AK","m","44","0.000255671"
"RI","AK","m","45","0"
"RI","AK","m","46","0"
"RI","AK","m","47","0"
"RI","AK","m","48","0"
"RI","AK","m","49","0"
"RI","AK","m","50","0"
"RI","AK","m","51","0"
"RI","AK","m","52","0"
"RI","AK","m","53","0"
"RI","AK","m","54","0"
"RI","AK","m","55","0"
"RI","AK","m","56","0"
"RI","AK","m","57","0"
"RI","AK","m","58","0"
"RI","AK","m","59","0"
"RI","AK","m","60","0"
"RI","AK","m","61","0"
"RI","AK","m","62","0"
"RI","AK","m","63","0"
"RI","AK","m","64","0"
"RI","AK","m","65","0"
"RI","AK","m","66","0"
"RI","AK","m","67","0"
"RI","AK","m","68","0"
"RI","AK","m","69","0"
"RI","AK","m","70","0"
"RI","AK","m","71","0"
"RI","AK","m","72","0"
"RI","AK","m","73","0"
"RI","AK","m","74","0"
"RI","AK","m","75","0"
"RI","AK","m","76","0"
"RI","AK","m","77","0"
"RI","AK","m","78","0"
"RI","AK","m","79","0"
"RI","AK","m","80","0"
"RI","AK","m","81","0"
"RI","AK","m","82","0"
"RI","AK","m","83","0"
"RI","AK","m","84","0"
"RI","AK","m","85","0"
"RI","AK","m","86","0"
"RI","AK","m","87","0"
"RI","AK","m","88","0"
"RI","AK","m","89","0"
"RI","AK","m","90","0"
"RI","AK","m","91","0"
"RI","AK","m","92","0"
"RI","AK","m","93","0"
"RI","AK","m","94","0"
"RI","AK","m","95","0"
"RI","AK","m","96","0"
"RI","AK","m","97","0"
"RI","AK","m","98","0"
"RI","AK","m","99","0"
"RI","AK","m","100","0"
"RI","AK","f","0","0.000347064"
"RI","AK","f","1","0.000347064"
"RI","AK","f","2","0.000347064"
"RI","AK","f","3","0.000347064"
"RI","AK","f","4","0.000347064"
"RI","AK","f","5","0"
"RI","AK","f","6","0"
"RI","AK","f","7","0"
"RI","AK","f","8","0"
"RI","AK","f","9","0"
"RI","AK","f","10","0"
"RI","AK","f","11","0"
"RI","AK","f","12","0"
"RI","AK","f","13","0"
"RI","AK","f","14","0"
"RI","AK","f","15","0"
"RI","AK","f","16","0"
"RI","AK","f","17","0"
"RI","AK","f","18","0"
"RI","AK","f","19","0"
"RI","AK","f","20","0"
"RI","AK","f","21","0"
"RI","AK","f","22","0"
"RI","AK","f","23","0"
"RI","AK","f","24","0"
"RI","AK","f","25","0.0000593"
"RI","AK","f","26","0.0000593"
"RI","AK","f","27","0.0000593"
"RI","AK","f","28","0.0000593"
"RI","AK","f","29","0.0000593"
"RI","AK","f","30","0"
