year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2015,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2020,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2025,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2030,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2035,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2040,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2045,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2050,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2055,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2060,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2065,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2070,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2075,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2080,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2085,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2090,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2095,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
2100,1.79,1.79,1.79,76.7,81.4,76.7,81.4,76.7,81.4,0.907,105,105,105,1636.682433,1523.599837
