"from","to","gender","age","rate"
"SC","AK","m","0","0.0000201"
"SC","AK","m","1","0.0000201"
"SC","AK","m","2","0.0000201"
"SC","AK","m","3","0.0000201"
"SC","AK","m","4","0.0000201"
"SC","AK","m","5","0.0000176"
"SC","AK","m","6","0.0000176"
"SC","AK","m","7","0.0000176"
"SC","AK","m","8","0.0000176"
"SC","AK","m","9","0.0000176"
"SC","AK","m","10","0.0000176"
"SC","AK","m","11","0.0000176"
"SC","AK","m","12","0.0000176"
"SC","AK","m","13","0.0000176"
"SC","AK","m","14","0.0000176"
"SC","AK","m","15","0.000122694"
"SC","AK","m","16","0.000122694"
"SC","AK","m","17","0.000122694"
"SC","AK","m","18","0.000122694"
"SC","AK","m","19","0.000122694"
"SC","AK","m","20","0.00080786"
"SC","AK","m","21","0.00080786"
"SC","AK","m","22","0.00080786"
"SC","AK","m","23","0.00080786"
"SC","AK","m","24","0.00080786"
"SC","AK","m","25","0.0000066"
"SC","AK","m","26","0.0000066"
"SC","AK","m","27","0.0000066"
"SC","AK","m","28","0.0000066"
"SC","AK","m","29","0.0000066"
"SC","AK","m","30","0"
"SC","AK","m","31","0"
"SC","AK","m","32","0"
"SC","AK","m","33","0"
"SC","AK","m","34","0"
"SC","AK","m","35","0.0000186"
"SC","AK","m","36","0.0000186"
"SC","AK","m","37","0.0000186"
"SC","AK","m","38","0.0000186"
"SC","AK","m","39","0.0000186"
"SC","AK","m","40","0.000179614"
"SC","AK","m","41","0.000179614"
"SC","AK","m","42","0.000179614"
"SC","AK","m","43","0.000179614"
"SC","AK","m","44","0.000179614"
"SC","AK","m","45","0"
"SC","AK","m","46","0"
"SC","AK","m","47","0"
"SC","AK","m","48","0"
"SC","AK","m","49","0"
"SC","AK","m","50","0"
"SC","AK","m","51","0"
"SC","AK","m","52","0"
"SC","AK","m","53","0"
"SC","AK","m","54","0"
"SC","AK","m","55","0"
"SC","AK","m","56","0"
"SC","AK","m","57","0"
"SC","AK","m","58","0"
"SC","AK","m","59","0"
"SC","AK","m","60","0"
"SC","AK","m","61","0"
"SC","AK","m","62","0"
"SC","AK","m","63","0"
"SC","AK","m","64","0"
"SC","AK","m","65","0"
"SC","AK","m","66","0"
"SC","AK","m","67","0"
"SC","AK","m","68","0"
"SC","AK","m","69","0"
"SC","AK","m","70","0"
"SC","AK","m","71","0"
"SC","AK","m","72","0"
"SC","AK","m","73","0"
"SC","AK","m","74","0"
"SC","AK","m","75","0"
"SC","AK","m","76","0"
"SC","AK","m","77","0"
"SC","AK","m","78","0"
"SC","AK","m","79","0"
"SC","AK","m","80","0"
"SC","AK","m","81","0"
"SC","AK","m","82","0"
"SC","AK","m","83","0"
"SC","AK","m","84","0"
"SC","AK","m","85","0"
"SC","AK","m","86","0"
"SC","AK","m","87","0"
"SC","AK","m","88","0"
"SC","AK","m","89","0"
"SC","AK","m","90","0"
"SC","AK","m","91","0"
"SC","AK","m","92","0"
"SC","AK","m","93","0"
"SC","AK","m","94","0"
"SC","AK","m","95","0"
"SC","AK","m","96","0"
"SC","AK","m","97","0"
"SC","AK","m","98","0"
"SC","AK","m","99","0"
"SC","AK","m","100","0"
"SC","AK","f","0","0.000117452"
"SC","AK","f","1","0.000117452"
"SC","AK","f","2","0.000117452"
"SC","AK","f","3","0.000117452"
"SC","AK","f","4","0.000117452"
"SC","AK","f","5","0.0000980068"
"SC","AK","f","6","0.0000980068"
"SC","AK","f","7","0.0000980068"
"SC","AK","f","8","0.0000980068"
"SC","AK","f","9","0.0000980068"
"SC","AK","f","10","0.000173616"
"SC","AK","f","11","0.000173616"
"SC","AK","f","12","0.000173616"
"SC","AK","f","13","0.000173616"
"SC","AK","f","14","0.000173616"
"SC","AK","f","15","0.00045547"
"SC","AK","f","16","0.00045547"
"SC","AK","f","17","0.00045547"
"SC","AK","f","18","0.00045547"
"SC","AK","f","19","0.00045547"
"SC","AK","f","20","0.000247815"
"SC","AK","f","21","0.000247815"
"SC","AK","f","22","0.000247815"
"SC","AK","f","23","0.000247815"
"SC","AK","f","24","0.000247815"
"SC","AK","f","25","0.0000195"
"SC","AK","f","26","0.0000195"
"SC","AK","f","27","0.0000195"
"SC","AK","f","28","0.0000195"
"SC","AK","f","29","0.0000195"
"SC","AK","f","30","0.0000206"
"SC","AK","f","31","0.0000206"
"SC","AK","f","32","0.0000206"
"SC","AK","f","33","0.0000206"
"SC","AK","f","34","0.0000206"
"SC","AK","f","35","0.000113882"
"SC","AK","f","36","0.000113882"
"SC","AK","f","37","0.000113882"
"SC","AK","f","38","0.000113882"
"SC","AK","f","39","0.000113882"
"SC","AK","f","40","0.0000485"
"SC","AK","f","41","0.0000485"
"SC","AK","f","42","0.0000485"
"SC","AK","f","43","0.0000485"
"SC","AK","f","44","0.0000485"
"SC","AK","f","45","0.0000542"
"SC","AK","f","46","0.0000542"
"SC","AK","f","47","0.0000542"
"SC","AK","f","48","0.0000542"
"SC","AK","f","49","0.0000542"
"SC","AK","f","50","0.0000157"
"SC","AK","f","51","0.0000157"
"SC","AK","f","52","0.0000157"
"SC","AK","f","53","0.0000157"
"SC","AK","f","54","0.0000157"
"SC","AK","f","55","0"
"SC","AK","f","56","0"
"SC","AK","f","57","0"
"SC","AK","f","58","0"
"SC","AK","f","59","0"
"SC","AK","f","60","0"
"SC","AK","f","61","0"
"SC","AK","f","62","0"
"SC","AK","f","63","0"
"SC","AK","f","64","0"
"SC","AK","f","65","0"
"SC","AK","f","66","0"
"SC","AK","f","67","0"
"SC","AK","f","68","0"
"SC","AK","f","69","0"
"SC","AK","f","70","0"
"SC","AK","f","71","0"
"SC","AK","f","72","0"
"SC","AK","f","73","0"
"SC","AK","f","74","0"
"SC","AK","f","75","0"
"SC","AK","f","76","0"
"SC","AK","f","77","0"
"SC","AK","f","78","0"
"SC","AK","f","79","0"
"SC","AK","f","80","0"
"SC","AK","f","81","0"
"SC","AK","f","82","0"
"SC","AK","f","83","0"
"SC","AK","f","84","0"
"SC","AK","f","85","0"
"SC","AK","f","86","0"
"SC","AK","f","87","0"
"SC","AK","f","88","0"
"SC","AK","f","89","0"
"SC","AK","f","90","0"
"SC","AK","f","91","0"
"SC","AK","f","92","0"
"SC","AK","f","93","0"
"SC","AK","f","94","0"
"SC","AK","f","95","0"
"SC","AK","f","96","0"
"SC","AK","f","97","0"
"SC","AK","f","98","0"
"SC","AK","f","99","0"
"SC","AK","f","100","0"
"SC","AL","m","0","0.000147493"
