"from","to","gender","age","rate"
"AK","TN","m","0","0.001289698"
"AK","TN","m","1","0.001289698"
"AK","TN","m","2","0.001289698"
"AK","TN","m","3","0.001289698"
"AK","TN","m","4","0.001289698"
"AK","TN","m","5","0.000277777"
"AK","TN","m","6","0.000277777"
"AK","TN","m","7","0.000277777"
"AK","TN","m","8","0.000277777"
"AK","TN","m","9","0.000277777"
"AK","TN","m","10","0.0013706"
"AK","TN","m","11","0.0013706"
"AK","TN","m","12","0.0013706"
"AK","TN","m","13","0.0013706"
"AK","TN","m","14","0.0013706"
"AK","TN","m","15","0.000654144"
"AK","TN","m","16","0.000654144"
"AK","TN","m","17","0.000654144"
"AK","TN","m","18","0.000654144"
"AK","TN","m","19","0.000654144"
"AK","TN","m","20","0.001379942"
"AK","TN","m","21","0.001379942"
"AK","TN","m","22","0.001379942"
"AK","TN","m","23","0.001379942"
"AK","TN","m","24","0.001379942"
"AK","TN","m","25","0.000438004"
"AK","TN","m","26","0.000438004"
"AK","TN","m","27","0.000438004"
"AK","TN","m","28","0.000438004"
"AK","TN","m","29","0.000438004"
"AK","TN","m","30","0.003195493"
"AK","TN","m","31","0.003195493"
"AK","TN","m","32","0.003195493"
"AK","TN","m","33","0.003195493"
"AK","TN","m","34","0.003195493"
"AK","TN","m","35","0.000723103"
"AK","TN","m","36","0.000723103"
"AK","TN","m","37","0.000723103"
"AK","TN","m","38","0.000723103"
"AK","TN","m","39","0.000723103"
"AK","TN","m","40","0.00373706"
"AK","TN","m","41","0.00373706"
"AK","TN","m","42","0.00373706"
"AK","TN","m","43","0.00373706"
"AK","TN","m","44","0.00373706"
"AK","TN","m","45","0.000809946"
"AK","TN","m","46","0.000809946"
"AK","TN","m","47","0.000809946"
"AK","TN","m","48","0.000809946"
"AK","TN","m","49","0.000809946"
"AK","TN","m","50","0"
"AK","TN","m","51","0"
"AK","TN","m","52","0"
"AK","TN","m","53","0"
"AK","TN","m","54","0"
"AK","TN","m","55","0.00042914"
"AK","TN","m","56","0.00042914"
"AK","TN","m","57","0.00042914"
"AK","TN","m","58","0.00042914"
"AK","TN","m","59","0.00042914"
"AK","TN","m","60","0.001724969"
"AK","TN","m","61","0.001724969"
"AK","TN","m","62","0.001724969"
"AK","TN","m","63","0.001724969"
"AK","TN","m","64","0.001724969"
"AK","TN","m","65","0.000143558"
"AK","TN","m","66","0.000143558"
"AK","TN","m","67","0.000143558"
"AK","TN","m","68","0.000143558"
"AK","TN","m","69","0.000143558"
"AK","TN","m","70","0"
"AK","TN","m","71","0"
"AK","TN","m","72","0"
"AK","TN","m","73","0"
"AK","TN","m","74","0"
"AK","TN","m","75","0"
"AK","TN","m","76","0"
"AK","TN","m","77","0"
"AK","TN","m","78","0"
"AK","TN","m","79","0"
"AK","TN","m","80","0"
"AK","TN","m","81","0"
"AK","TN","m","82","0"
"AK","TN","m","83","0"
"AK","TN","m","84","0"
"AK","TN","m","85","0"
"AK","TN","m","86","0"
"AK","TN","m","87","0"
"AK","TN","m","88","0"
"AK","TN","m","89","0"
"AK","TN","m","90","0"
"AK","TN","m","91","0"
"AK","TN","m","92","0"
"AK","TN","m","93","0"
"AK","TN","m","94","0"
"AK","TN","m","95","0"
"AK","TN","m","96","0"
"AK","TN","m","97","0"
"AK","TN","m","98","0"
"AK","TN","m","99","0"
"AK","TN","m","100","0"
"AK","TN","f","0","0.001419955"
"AK","TN","f","1","0.001419955"
"AK","TN","f","2","0.001419955"
"AK","TN","f","3","0.001419955"
"AK","TN","f","4","0.001419955"
"AK","TN","f","5","0.002446999"
"AK","TN","f","6","0.002446999"
"AK","TN","f","7","0.002446999"
"AK","TN","f","8","0.002446999"
"AK","TN","f","9","0.002446999"
"AK","TN","f","10","0.000882626"
"AK","TN","f","11","0.000882626"
"AK","TN","f","12","0.000882626"
"AK","TN","f","13","0.000882626"
"AK","TN","f","14","0.000882626"
"AK","TN","f","15","0.001123548"
"AK","TN","f","16","0.001123548"
"AK","TN","f","17","0.001123548"
"AK","TN","f","18","0.001123548"
"AK","TN","f","19","0.001123548"
"AK","TN","f","20","0.001642156"
"AK","TN","f","21","0.001642156"
"AK","TN","f","22","0.001642156"
"AK","TN","f","23","0.001642156"
"AK","TN","f","24","0.001642156"
"AK","TN","f","25","0.00133746"
"AK","TN","f","26","0.00133746"
"AK","TN","f","27","0.00133746"
"AK","TN","f","28","0.00133746"
"AK","TN","f","29","0.00133746"
"AK","TN","f","30","0.001290543"
"AK","TN","f","31","0.001290543"
"AK","TN","f","32","0.001290543"
"AK","TN","f","33","0.001290543"
"AK","TN","f","34","0.001290543"
"AK","TN","f","35","0.002729188"
