region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
VT,840-50,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.005213635,0.005967941,0.005213635,0.005967941,NA,NA
VT,840-50,1,99481.04153,99406.32349,99481.04153,99406.32349,NA,NA,0.000340343,0.000369933,0.000340343,0.000369933,NA,NA
VT,840-50,2,99447.1893,99369.55648,99447.1893,99369.55648,NA,NA,0.000215392,0.000261008,0.000215392,0.000261008,NA,NA
VT,840-50,3,99425.77146,99343.62383,99425.77146,99343.62383,NA,NA,0.000156281,0.00019528,0.000156281,0.00019528,NA,NA
VT,840-50,4,99410.23428,99324.22602,99410.23428,99324.22602,NA,NA,0.000128671,0.000173684,0.000128671,0.000173684,NA,NA
VT,840-50,5,99397.44379,99306.97654,99397.44379,99306.97654,NA,NA,1.20E-04,0.000152089,1.20E-04,0.000152089,NA,NA
VT,840-50,6,99385.53735,99291.8742,99385.53735,99291.8742,NA,NA,1.06E-04,0.000135189,1.06E-04,0.000135189,NA,NA
VT,840-50,7,99375.00524,99278.45195,99375.00524,99278.45195,NA,NA,9.61E-05,0.000121105,9.61E-05,0.000121105,NA,NA
VT,840-50,8,99365.45517,99266.42947,99365.45517,99266.42947,NA,NA,8.82E-05,1.06E-04,8.82E-05,1.06E-04,NA,NA
VT,840-50,9,99356.69095,99255.89943,99356.69095,99255.89943,NA,NA,8.33E-05,9.39E-05,8.33E-05,9.39E-05,NA,NA
VT,840-50,10,99348.41815,99246.58179,99348.41815,99246.58179,NA,NA,8.23E-05,8.82E-05,8.23E-05,8.82E-05,NA,NA
VT,840-50,11,99340.24418,99237.82404,99340.24418,99237.82404,NA,NA,8.72E-05,9.76E-05,8.72E-05,9.76E-05,NA,NA
VT,840-50,12,99331.58028,99228.13547,99331.58028,99228.13547,NA,NA,1.01E-04,0.000130495,1.01E-04,0.000130495,NA,NA
VT,840-50,13,99321.5441,99215.18758,99321.5441,99215.18758,NA,NA,1.24E-04,0.000192462,1.24E-04,0.000192462,NA,NA
VT,840-50,14,99309.25484,99196.09427,99309.25484,99196.09427,NA,NA,0.000155297,0.000278846,0.000155297,0.000278846,NA,NA
VT,840-50,15,99293.83375,99168.43761,99293.83375,99168.43761,NA,NA,0.000189784,0.000370872,0.000189784,0.000370872,NA,NA
VT,840-50,16,99274.99104,99131.66549,99274.99104,99131.66549,NA,NA,0.000226224,0.000465728,0.000226224,0.000465728,NA,NA
VT,840-50,17,99252.53531,99085.50808,99252.53531,99085.50808,NA,NA,0.00026461,0.000577496,0.00026461,0.000577496,NA,NA
VT,840-50,18,99226.27567,99028.30338,99226.27567,99028.30338,NA,NA,3.01E-04,0.000705242,0.00030101,0.000705242,NA,NA
VT,840-50,19,99196.41207,98958.48906,99196.41207,98958.48906,NA,NA,0.000336413,0.000836765,0.000336413,0.000836765,NA,NA
VT,840-50,20,99163.0467,98875.71871,99163.0467,98875.71871,NA,NA,0.000371806,0.000969243,0.000371806,0.000969243,NA,NA
VT,840-50,21,99126.18428,98779.9305,99126.18428,98779.9305,NA,NA,0.000406205,0.001088582,0.000406205,0.001088582,NA,NA
VT,840-50,22,99085.92715,98672.4589,99085.92715,98672.4589,NA,NA,0.000436662,0.001175975,0.000436662,0.001175975,NA,NA
VT,840-50,23,99042.66955,98556.49015,99042.66955,98556.49015,NA,NA,0.000463183,0.001225786,0.000463183,0.001225786,NA,NA
VT,840-50,24,98996.80507,98435.75439,98996.80507,98435.75439,NA,NA,0.00048872,0.001250234,0.00048872,0.001250234,NA,NA
VT,840-50,25,98948.43496,98312.76409,98948.43496,98312.76409,NA,NA,0.000515242,0.001265267,0.000515242,0.001265267,NA,NA
VT,840-50,26,98897.46622,98188.45088,98897.46622,98188.45088,NA,NA,0.000543713,0.001285004,0.000543713,0.001285004,NA,NA
VT,840-50,27,98843.70922,98062.3593,98843.70922,98062.3593,NA,NA,0.000573168,0.001308502,0.000573168,0.001308502,NA,NA
VT,840-50,28,98787.07199,97934.12836,98787.07199,97934.12836,NA,NA,0.000603593,0.001338574,0.000603593,0.001338574,NA,NA
VT,840-50,29,98727.46307,97803.12334,98727.46307,97803.12334,NA,NA,0.000634014,0.001374293,0.000634014,0.001374293,NA,NA
