region,region_code,age,net_male,net_female
CT,840-09,0,0.00801,0.00207
CT,840-09,1,0.00801,0.00207
CT,840-09,2,0.00801,0.00207
CT,840-09,3,0.00801,0.00207
CT,840-09,4,0.00801,0.00207
CT,840-09,5,0.00337,0.00292
CT,840-09,6,0.00337,0.00292
CT,840-09,7,0.00337,0.00292
CT,840-09,8,0.00337,0.00292
CT,840-09,9,0.00337,0.00292
CT,840-09,10,-0.00351,0.00155
CT,840-09,11,-0.00351,0.00155
CT,840-09,12,-0.00351,0.00155
CT,840-09,13,-0.00351,0.00155
CT,840-09,14,-0.00351,0.00155
CT,840-09,15,-0.02176,-0.02005
CT,840-09,16,-0.02176,-0.02005
CT,840-09,17,-0.02176,-0.02005
CT,840-09,18,-0.02176,-0.02005
CT,840-09,19,-0.02176,-0.02005
CT,840-09,20,-0.01049,-0.01691
CT,840-09,21,-0.01049,-0.01691
CT,840-09,22,-0.01049,-0.01691
CT,840-09,23,-0.01049,-0.01691
CT,840-09,24,-0.01049,-0.01691
CT,840-09,25,-0.00716,-0.00732
CT,840-09,26,-0.00716,-0.00732
CT,840-09,27,-0.00716,-0.00732
CT,840-09,28,-0.00716,-0.00732
CT,840-09,29,-0.00716,-0.00732
CT,840-09,30,0.00482,0.00409
CT,840-09,31,0.00482,0.00409
CT,840-09,32,0.00482,0.00409
CT,840-09,33,0.00482,0.00409
CT,840-09,34,0.00482,0.00409
CT,840-09,35,0.00423,0.00342
CT,840-09,36,0.00423,0.00342
CT,840-09,37,0.00423,0.00342
CT,840-09,38,0.00423,0.00342
CT,840-09,39,0.00423,0.00342
CT,840-09,40,-0.0029,-0.00086
CT,840-09,41,-0.0029,-0.00086
CT,840-09,42,-0.0029,-0.00086
CT,840-09,43,-0.0029,-0.00086
CT,840-09,44,-0.0029,-0.00086
CT,840-09,45,-0.00374,-0.00145
CT,840-09,46,-0.00374,-0.00145
CT,840-09,47,-0.00374,-0.00145
CT,840-09,48,-0.00374,-0.00145
CT,840-09,49,-0.00374,-0.00145
CT,840-09,50,-0.00425,-0.00599
CT,840-09,51,-0.00425,-0.00599
CT,840-09,52,-0.00425,-0.00599
CT,840-09,53,-0.00425,-0.00599
CT,840-09,54,-0.00425,-0.00599
CT,840-09,55,-0.0056,-0.00653
CT,840-09,56,-0.0056,-0.00653
CT,840-09,57,-0.0056,-0.00653
CT,840-09,58,-0.0056,-0.00653
CT,840-09,59,-0.0056,-0.00653
CT,840-09,60,-0.00733,-0.00678
CT,840-09,61,-0.00733,-0.00678
CT,840-09,62,-0.00733,-0.00678
CT,840-09,63,-0.00733,-0.00678
CT,840-09,64,-0.00733,-0.00678
CT,840-09,65,-0.00938,-0.00822
CT,840-09,66,-0.00938,-0.00822
CT,840-09,67,-0.00938,-0.00822
CT,840-09,68,-0.00938,-0.00822
CT,840-09,69,-0.00938,-0.00822
CT,840-09,70,-0.00895,-0.00523
CT,840-09,71,-0.00895,-0.00523
CT,840-09,72,-0.00895,-0.00523
CT,840-09,73,-0.00895,-0.00523
CT,840-09,74,-0.00895,-0.00523
CT,840-09,75,-0.00707,-0.00204
CT,840-09,76,-0.00707,-0.00204
CT,840-09,77,-0.00707,-0.00204
CT,840-09,78,-0.00707,-0.00204
CT,840-09,79,-0.00707,-0.00204
CT,840-09,80,-0.00398,0.00043
CT,840-09,81,-0.00398,0.00043
CT,840-09,82,-0.00398,0.00043
CT,840-09,83,-0.00398,0.00043
CT,840-09,84,-0.00398,0.00043
CT,840-09,85,0.00113,0.00146
CT,840-09,86,0.00113,0.00146
CT,840-09,87,0.00113,0.00146
CT,840-09,88,0.00113,0.00146
CT,840-09,89,0.00113,0.00146
CT,840-09,90,0.00882,-0.01399
CT,840-09,91,0.00882,-0.01399
CT,840-09,92,0.00882,-0.01399
CT,840-09,93,0.00882,-0.01399
CT,840-09,94,0.00882,-0.01399
CT,840-09,95,0.00583,0.00775
CT,840-09,96,0.00583,0.00775
CT,840-09,97,0.00583,0.00775
CT,840-09,98,0.00583,0.00775
CT,840-09,99,0.00583,0.00775
CT,840-09,100,0.00583,0.00775
