"from","to","gender","age","mrate"
"AL","IL","m","0","0.000243309"
"AL","IL","m","1","0.000243309"
"AL","IL","m","2","0.000243309"
"AL","IL","m","3","0.000243309"
"AL","IL","m","4","0.000243309"
"AL","IL","m","5","0.000183679"
"AL","IL","m","6","0.000183679"
"AL","IL","m","7","0.000183679"
"AL","IL","m","8","0.000183679"
"AL","IL","m","9","0.000183679"
"AL","IL","m","10","0.000511101"
"AL","IL","m","11","0.000511101"
"AL","IL","m","12","0.000511101"
"AL","IL","m","13","0.000511101"
"AL","IL","m","14","0.000511101"
"AL","IL","m","15","0.000827107"
"AL","IL","m","16","0.000827107"
"AL","IL","m","17","0.000827107"
"AL","IL","m","18","0.000827107"
"AL","IL","m","19","0.000827107"
"AL","IL","m","20","0.001129218"
"AL","IL","m","21","0.001129218"
"AL","IL","m","22","0.001129218"
"AL","IL","m","23","0.001129218"
"AL","IL","m","24","0.001129218"
"AL","IL","m","25","0.000874408"
"AL","IL","m","26","0.000874408"
"AL","IL","m","27","0.000874408"
"AL","IL","m","28","0.000874408"
"AL","IL","m","29","0.000874408"
"AL","IL","m","30","0.000619507"
"AL","IL","m","31","0.000619507"
"AL","IL","m","32","0.000619507"
"AL","IL","m","33","0.000619507"
"AL","IL","m","34","0.000619507"
"AL","IL","m","35","0.000370326"
"AL","IL","m","36","0.000370326"
"AL","IL","m","37","0.000370326"
"AL","IL","m","38","0.000370326"
"AL","IL","m","39","0.000370326"
"AL","IL","m","40","0.000215595"
"AL","IL","m","41","0.000215595"
"AL","IL","m","42","0.000215595"
"AL","IL","m","43","0.000215595"
"AL","IL","m","44","0.000215595"
"AL","IL","m","45","0.000123585"
"AL","IL","m","46","0.000123585"
"AL","IL","m","47","0.000123585"
"AL","IL","m","48","0.000123585"
"AL","IL","m","49","0.000123585"
"AL","IL","m","50","0.000104412"
"AL","IL","m","51","0.000104412"
"AL","IL","m","52","0.000104412"
"AL","IL","m","53","0.000104412"
"AL","IL","m","54","0.000104412"
"AL","IL","m","55","0.000104412"
"AL","IL","m","56","0.000104412"
"AL","IL","m","57","0.000104412"
"AL","IL","m","58","0.000104412"
"AL","IL","m","59","0.000104412"
"AL","IL","m","60","0.000104515"
"AL","IL","m","61","0.000104515"
"AL","IL","m","62","0.000104515"
"AL","IL","m","63","0.000104515"
"AL","IL","m","64","0.000104515"
"AL","IL","m","65","4.92846e-05"
"AL","IL","m","66","4.92846e-05"
"AL","IL","m","67","4.92846e-05"
"AL","IL","m","68","4.92846e-05"
"AL","IL","m","69","4.92846e-05"
"AL","IL","m","70","4.92846e-05"
"AL","IL","m","71","4.92846e-05"
"AL","IL","m","72","4.92846e-05"
"AL","IL","m","73","4.92846e-05"
"AL","IL","m","74","4.92846e-05"
"AL","IL","m","75","8.67253e-05"
"AL","IL","m","76","8.67253e-05"
"AL","IL","m","77","8.67253e-05"
"AL","IL","m","78","8.67253e-05"
"AL","IL","m","79","8.67253e-05"
"AL","IL","m","80","0.000292034"
"AL","IL","m","81","0.000292034"
"AL","IL","m","82","0.000292034"
"AL","IL","m","83","0.000292034"
"AL","IL","m","84","0.000292034"
"AL","IL","m","85","0.000292034"
"AL","IL","m","86","0.000292034"
"AL","IL","m","87","0.000292034"
"AL","IL","m","88","0.000292034"
"AL","IL","m","89","0.000292034"
"AL","IL","m","90","0.000205309"
"AL","IL","m","91","0.000205309"
"AL","IL","m","92","0.000205309"
"AL","IL","m","93","0.000205309"
"AL","IL","m","94","0.000205309"
"AL","IL","m","95","0"
"AL","IL","m","96","0"
"AL","IL","m","97","0"
"AL","IL","m","98","0"
"AL","IL","m","99","0"
"AL","IL","m","100","0"
"AL","IL","f","0","7.68894e-05"
"AL","IL","f","1","7.68894e-05"
"AL","IL","f","2","7.68894e-05"
"AL","IL","f","3","7.68894e-05"
"AL","IL","f","4","7.68894e-05"
"AL","IL","f","5","8.33038e-05"
"AL","IL","f","6","8.33038e-05"
"AL","IL","f","7","8.33038e-05"
"AL","IL","f","8","8.33038e-05"
"AL","IL","f","9","8.33038e-05"
"AL","IL","f","10","0.000253661"
"AL","IL","f","11","0.000253661"
"AL","IL","f","12","0.000253661"
"AL","IL","f","13","0.000253661"
"AL","IL","f","14","0.000253661"
"AL","IL","f","15","0.000442966"
"AL","IL","f","16","0.000442966"
"AL","IL","f","17","0.000442966"
"AL","IL","f","18","0.000442966"
"AL","IL","f","19","0.000442966"
"AL","IL","f","20","0.000545222"
"AL","IL","f","21","0.000545222"
"AL","IL","f","22","0.000545222"
"AL","IL","f","23","0.000545222"
"AL","IL","f","24","0.000545222"
