region,region_code,age,rural,urban,all
KY,840-21,0,,0,0
KY,840-21,1,,0,0
KY,840-21,2,,0,0
KY,840-21,3,,0,0
KY,840-21,4,,0,0
KY,840-21,5,,0,0
KY,840-21,6,,0,0
KY,840-21,7,,0,0
KY,840-21,8,,0,0
KY,840-21,9,,0,0
KY,840-21,10,,0,0
KY,840-21,11,,0,0
KY,840-21,12,,0,0
KY,840-21,13,,0,0
KY,840-21,14,,0,0
KY,840-21,15,,0.006355491,0.006355491
KY,840-21,16,,0.010962493,0.010962493
KY,840-21,17,,0.023661972,0.023661972
KY,840-21,18,,0.051067691,0.051067691
KY,840-21,19,,0.096143834,0.096143834
KY,840-21,20,,0.09545237,0.09545237
KY,840-21,21,,0.120467963,0.120467963
KY,840-21,22,,0.109251164,0.109251164
KY,840-21,23,,0.120771546,0.120771546
KY,840-21,24,,0.128045135,0.128045135
KY,840-21,25,,0.126534633,0.126534633
KY,840-21,26,,0.123236255,0.123236255
KY,840-21,27,,0.136011051,0.136011051
KY,840-21,28,,0.116185151,0.116185151
KY,840-21,29,,0.099545827,0.099545827
KY,840-21,30,,0.087626819,0.087626819
KY,840-21,31,,0.12215438,0.12215438
KY,840-21,32,,0.101572267,0.101572267
KY,840-21,33,,0.083280546,0.083280546
KY,840-21,34,,0.061374273,0.061374273
KY,840-21,35,,0.062632922,0.062632922
KY,840-21,36,,0.061462507,0.061462507
KY,840-21,37,,0.044555325,0.044555325
KY,840-21,38,,0.03902377,0.03902377
KY,840-21,39,,0.025524125,0.025524125
KY,840-21,40,,0.018573502,0.018573502
KY,840-21,41,,0.017485742,0.017485742
KY,840-21,42,,0.010914831,0.010914831
KY,840-21,43,,0.004460499,0.004460499
KY,840-21,44,,0.006075565,0.006075565
KY,840-21,45,,0.003495016,0.003495016
KY,840-21,46,,0.010053476,0.010053476
KY,840-21,47,,0.005351935,0.005351935
KY,840-21,48,,0.004494803,0.004494803
KY,840-21,49,,0.005984043,0.005984043
KY,840-21,50,,0.004219022,0.004219022
KY,840-21,51,,0,0
KY,840-21,52,,0,0
KY,840-21,53,,0,0
KY,840-21,54,,0,0
KY,840-21,55,,0,0
KY,840-21,56,,0,0
KY,840-21,57,,0,0
KY,840-21,58,,0,0
KY,840-21,59,,0,0
KY,840-21,60,,0,0
KY,840-21,61,,0,0
KY,840-21,62,,0,0
KY,840-21,63,,0,0
KY,840-21,64,,0,0
KY,840-21,65,,0,0
KY,840-21,66,,0,0
KY,840-21,67,,0,0
KY,840-21,68,,0,0
KY,840-21,69,,0,0
KY,840-21,70,,0,0
KY,840-21,71,,0,0
KY,840-21,72,,0,0
KY,840-21,73,,0,0
KY,840-21,74,,0,0
KY,840-21,75,,0,0
KY,840-21,76,,0,0
KY,840-21,77,,0,0
KY,840-21,78,,0,0
KY,840-21,79,,0,0
KY,840-21,80,,0,0
KY,840-21,81,,0,0
KY,840-21,82,,0,0
KY,840-21,83,,0,0
KY,840-21,84,,0,0
KY,840-21,85,,0,0
KY,840-21,86,,0,0
KY,840-21,87,,0,0
KY,840-21,88,,0,0
KY,840-21,89,,0,0
KY,840-21,90,,0,0
KY,840-21,91,,0,0
KY,840-21,92,,0,0
KY,840-21,93,,0,0
KY,840-21,94,,0,0
KY,840-21,95,,0,0
KY,840-21,96,,0,0
KY,840-21,97,,0,0
KY,840-21,98,,0,0
KY,840-21,99,,0,0
KY,840-21,100,,0,0
