region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
MD,840-24,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.005446278,0.006717363,0.005446278,0.006717363,NA,NA
MD,840-24,1,99457.99607,99332.21095,99457.99607,99332.21095,NA,NA,0.000336202,0.000461403,0.000336202,0.000461403,NA,NA
MD,840-24,2,99424.56341,99286.38906,99424.56341,99286.38906,NA,NA,0.000210807,0.000329802,0.000210807,0.000329802,NA,NA
MD,840-24,3,99403.60618,99253.64999,99403.60618,99253.64999,NA,NA,0.000151964,0.000249429,0.000151964,0.000249429,NA,NA
MD,840-24,4,99388.50154,99228.89649,99388.50154,99228.89649,NA,NA,0.000124625,0.000222815,0.000124625,0.000222815,NA,NA
MD,840-24,5,99376.11594,99206.78931,99376.11594,99206.78931,NA,NA,1.16E-04,0.000196078,1.16E-04,0.000196078,NA,NA
MD,840-24,6,99364.60302,99187.33892,99364.60302,99187.33892,NA,NA,1.02E-04,0.000175057,1.02E-04,0.000175057,NA,NA
MD,840-24,7,99354.44421,99169.97704,99354.44421,99169.97704,NA,NA,9.25E-05,0.000157463,9.25E-05,0.000157463,NA,NA
MD,840-24,8,99345.25082,99154.36254,99345.25082,99154.36254,NA,NA,8.48E-05,1.39E-04,8.48E-05,1.39E-04,NA,NA
MD,840-24,9,99336.82853,99140.61924,99336.82853,99140.61924,NA,NA,7.99E-05,1.23E-04,7.99E-05,1.23E-04,NA,NA
MD,840-24,10,99328.88773,99128.4032,99328.88773,99128.4032,NA,NA,7.90E-05,1.16E-04,7.90E-05,1.16E-04,NA,NA
MD,840-24,11,99321.04366,99116.89504,99321.04366,99116.89504,NA,NA,8.38E-05,1.28E-04,8.38E-05,1.28E-04,NA,NA
MD,840-24,12,99312.7196,99104.21195,99312.7196,99104.21195,NA,NA,9.74E-05,0.0001692,9.74E-05,0.0001692,NA,NA
MD,840-24,13,99303.04828,99087.4449,99303.04828,99087.4449,NA,NA,1.20E-04,0.000245963,1.20E-04,0.000245963,NA,NA
MD,840-24,14,99291.15707,99063.07608,99291.15707,99063.07608,NA,NA,0.000150988,0.000351473,0.000150988,0.000351473,NA,NA
MD,840-24,15,99276.1666,99028.26401,99276.1666,99028.26401,NA,NA,0.000185269,0.000462531,0.000185269,0.000462531,NA,NA
MD,840-24,16,99257.77542,98982.47071,99257.77542,98982.47071,NA,NA,0.000221629,0.000575929,0.000221629,0.000575929,NA,NA
MD,840-24,17,99235.77958,98925.4806,99235.77958,98925.4806,NA,NA,0.00026006,0.00070845,0.00026006,0.00070845,NA,NA
MD,840-24,18,99209.97578,98855.42205,99209.97578,98855.42205,NA,NA,2.97E-04,0.000858755,0.000296608,0.000858755,NA,NA
MD,840-24,19,99180.55368,98770.56588,99180.55368,98770.56588,NA,NA,0.000332242,0.001012448,0.000332242,0.001012448,NA,NA
MD,840-24,20,99147.60725,98670.61645,99147.60725,98670.61645,NA,NA,0.000367942,0.001166351,0.000367942,0.001166351,NA,NA
MD,840-24,21,99111.13361,98555.599,99111.13361,98555.599,NA,NA,0.000402704,0.001304318,0.000402704,0.001304318,NA,NA
MD,840-24,22,99071.22934,98427.13494,99071.22934,98427.13494,NA,NA,0.000433535,0.001404992,0.000433535,0.001404992,NA,NA
MD,840-24,23,99028.28783,98288.94189,99028.28783,98288.94189,NA,NA,0.000460417,0.001462248,0.000460417,0.001462248,NA,NA
MD,840-24,24,98982.70381,98145.32323,98982.70381,98145.32323,NA,NA,0.00048633,0.001490323,0.00048633,0.001490323,NA,NA
MD,840-24,25,98934.57698,97999.16479,98934.57698,97999.16479,NA,NA,0.000513273,0.00150757,0.000513273,0.00150757,NA,NA
MD,840-24,26,98883.81006,97851.53543,98883.81006,97851.53543,NA,NA,0.000542228,0.001530208,0.000542228,0.001530208,NA,NA
MD,840-24,27,98830.2073,97701.91668,98830.2073,97701.91668,NA,NA,0.000572214,0.001557142,0.000572214,0.001557142,NA,NA
MD,840-24,28,98773.67198,97549.89931,98773.67198,97549.89931,NA,NA,0.000603223,0.001591582,0.000603223,0.001591582,NA,NA
MD,840-24,29,98714.10772,97394.76317,98714.10772,97394.76317,NA,NA,0.000634258,0.001632455,0.000634258,0.001632455,NA,NA
MD,840-24,30,98651.51736,97235.89933,98651.51736,97235.89933,NA,NA,0.000668333,0.001675458,0.000668333,0.001675458,NA,NA
MD,840-24,31,98585.60762,97073.12197,98585.60762,97073.12197,NA,NA,0.000706449,0.001717318,0.000706449,0.001717318,NA,NA
MD,840-24,32,98515.98683,96906.55957,98515.98683,96906.55957,NA,NA,0.000747607,0.001758078,0.000747607,0.001758078,NA,NA
MD,840-24,33,98442.36279,96736.33992,98442.36279,96736.33992,NA,NA,0.000795848,0.001797721,0.000795848,0.001797721,NA,NA
MD,840-24,34,98364.04836,96562.59012,98364.04836,96562.59012,NA,NA,0.000851197,0.001840575,0.000851197,0.001840575,NA,NA
MD,840-24,35,98280.35726,96385.02387,98280.35726,96385.02387,NA,NA,0.000916679,0.00189725,0.000916679,0.00189725,NA,NA
