region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
MA,840-25,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.004412254,0.005460742,0.004412254,0.005460742,NA,NA
MA,840-25,1,99560.49834,99456.53722,99560.49834,99456.53722,NA,NA,0.000239297,0.000303286,0.000239297,0.000303286,NA,NA
MA,840-25,2,99536.67646,99426.37792,99536.67646,99426.37792,NA,NA,0.000146819,0.000211071,0.000146819,0.000211071,NA,NA
MA,840-25,3,99522.06362,99405.39425,99522.06362,99405.39425,NA,NA,0.000104237,0.000156128,0.000104237,0.000156128,NA,NA
MA,840-25,4,99511.69031,99389.87552,99511.69031,99389.87552,NA,NA,8.46987E-05,0.000138224,8.46987E-05,0.000138224,NA,NA
MA,840-25,5,99503.26213,99376.13837,99503.26213,99376.13837,NA,NA,7.85E-05,0.000120409,7.85E-05,0.000120409,NA,NA
MA,840-25,6,99495.45406,99364.17332,99495.45406,99364.17332,NA,NA,6.88E-05,0.000106535,6.88E-05,0.000106535,NA,NA
MA,840-25,7,99488.60408,99353.58809,99488.60408,99353.58809,NA,NA,6.20E-05,9.50255E-05,6.20E-05,9.50255E-05,NA,NA
MA,840-25,8,99482.43359,99344.14738,99482.43359,99344.14738,NA,NA,5.66E-05,8.28E-05,5.66E-05,8.28E-05,NA,NA
MA,840-25,9,99476.80347,99335.9213,99476.80347,99335.9213,NA,NA,5.32E-05,7.29E-05,5.32E-05,7.29E-05,NA,NA
MA,840-25,10,99471.50958,99328.67704,99471.50958,99328.67704,NA,NA,5.25E-05,6.84E-05,5.25E-05,6.84E-05,NA,NA
MA,840-25,11,99466.283,99321.88446,99466.283,99321.88446,NA,NA,5.59E-05,7.60E-05,5.59E-05,7.60E-05,NA,NA
MA,840-25,12,99460.72107,99314.33989,99460.72107,99314.33989,NA,NA,6.54E-05,0.000102693,6.54E-05,0.000102693,NA,NA
MA,840-25,13,99454.21343,99304.1415,99454.21343,99304.1415,NA,NA,8.12E-05,0.000153788,8.12E-05,0.000153788,NA,NA
MA,840-25,14,99446.13441,99288.8709,99446.13441,99288.8709,NA,NA,0.000103535,0.000226083,0.000103535,0.000226083,NA,NA
MA,840-25,15,99435.8388,99266.42582,99435.8388,99266.42582,NA,NA,0.000128259,0.000304086,0.000128259,0.000304086,NA,NA
MA,840-25,16,99423.08599,99236.24476,99423.08599,99236.24476,NA,NA,0.000154716,0.000385295,0.000154716,0.000385295,NA,NA
MA,840-25,17,99407.70489,99198.01701,99407.70489,99198.01701,NA,NA,0.000182901,0.000481821,0.000182901,0.000481821,NA,NA
