"from","to","gender","age","rate"
"AK","MI","m","0","0.001971048"
"AK","MI","m","1","0.001971048"
"AK","MI","m","2","0.001971048"
"AK","MI","m","3","0.001971048"
"AK","MI","m","4","0.001971048"
"AK","MI","m","5","0.000378787"
"AK","MI","m","6","0.000378787"
"AK","MI","m","7","0.000378787"
"AK","MI","m","8","0.000378787"
"AK","MI","m","9","0.000378787"
"AK","MI","m","10","0.001979756"
"AK","MI","m","11","0.001979756"
"AK","MI","m","12","0.001979756"
"AK","MI","m","13","0.001979756"
"AK","MI","m","14","0.001979756"
"AK","MI","m","15","0.001804954"
"AK","MI","m","16","0.001804954"
"AK","MI","m","17","0.001804954"
"AK","MI","m","18","0.001804954"
"AK","MI","m","19","0.001804954"
"AK","MI","m","20","0.00153103"
"AK","MI","m","21","0.00153103"
"AK","MI","m","22","0.00153103"
"AK","MI","m","23","0.00153103"
"AK","MI","m","24","0.00153103"
"AK","MI","m","25","0.005705582"
"AK","MI","m","26","0.005705582"
"AK","MI","m","27","0.005705582"
"AK","MI","m","28","0.005705582"
"AK","MI","m","29","0.005705582"
"AK","MI","m","30","0.001078314"
"AK","MI","m","31","0.001078314"
"AK","MI","m","32","0.001078314"
"AK","MI","m","33","0.001078314"
"AK","MI","m","34","0.001078314"
"AK","MI","m","35","0.001243737"
"AK","MI","m","36","0.001243737"
"AK","MI","m","37","0.001243737"
"AK","MI","m","38","0.001243737"
"AK","MI","m","39","0.001243737"
"AK","MI","m","40","0.00090517"
"AK","MI","m","41","0.00090517"
"AK","MI","m","42","0.00090517"
"AK","MI","m","43","0.00090517"
"AK","MI","m","44","0.00090517"
"AK","MI","m","45","0.000291074"
"AK","MI","m","46","0.000291074"
"AK","MI","m","47","0.000291074"
"AK","MI","m","48","0.000291074"
"AK","MI","m","49","0.000291074"
"AK","MI","m","50","0.000573413"
"AK","MI","m","51","0.000573413"
"AK","MI","m","52","0.000573413"
"AK","MI","m","53","0.000573413"
"AK","MI","m","54","0.000573413"
"AK","MI","m","55","0.001339438"
"AK","MI","m","56","0.001339438"
"AK","MI","m","57","0.001339438"
"AK","MI","m","58","0.001339438"
"AK","MI","m","59","0.001339438"
"AK","MI","m","60","0.001234537"
"AK","MI","m","61","0.001234537"
"AK","MI","m","62","0.001234537"
"AK","MI","m","63","0.001234537"
"AK","MI","m","64","0.001234537"
"AK","MI","m","65","0.000229692"
"AK","MI","m","66","0.000229692"
"AK","MI","m","67","0.000229692"
"AK","MI","m","68","0.000229692"
"AK","MI","m","69","0.000229692"
"AK","MI","m","70","0"
"AK","MI","m","71","0"
"AK","MI","m","72","0"
"AK","MI","m","73","0"
"AK","MI","m","74","0"
"AK","MI","m","75","0"
"AK","MI","m","76","0"
"AK","MI","m","77","0"
"AK","MI","m","78","0"
"AK","MI","m","79","0"
"AK","MI","m","80","0"
"AK","MI","m","81","0"
"AK","MI","m","82","0"
"AK","MI","m","83","0"
"AK","MI","m","84","0"
"AK","MI","m","85","0"
"AK","MI","m","86","0"
"AK","MI","m","87","0"
"AK","MI","m","88","0"
"AK","MI","m","89","0"
"AK","MI","m","90","0"
"AK","MI","m","91","0"
"AK","MI","m","92","0"
"AK","MI","m","93","0"
"AK","MI","m","94","0"
"AK","MI","m","95","0"
"AK","MI","m","96","0"
"AK","MI","m","97","0"
"AK","MI","m","98","0"
"AK","MI","m","99","0"
"AK","MI","m","100","0"
"AK","MI","f","0","0.001977321"
"AK","MI","f","1","0.001977321"
"AK","MI","f","2","0.001977321"
"AK","MI","f","3","0.001977321"
"AK","MI","f","4","0.001977321"
"AK","MI","f","5","0.002572844"
"AK","MI","f","6","0.002572844"
"AK","MI","f","7","0.002572844"
"AK","MI","f","8","0.002572844"
"AK","MI","f","9","0.002572844"
"AK","MI","f","10","0.001001187"
"AK","MI","f","11","0.001001187"
"AK","MI","f","12","0.001001187"
"AK","MI","f","13","0.001001187"
"AK","MI","f","14","0.001001187"
"AK","MI","f","15","0.002180218"
"AK","MI","f","16","0.002180218"
"AK","MI","f","17","0.002180218"
"AK","MI","f","18","0.002180218"
"AK","MI","f","19","0.002180218"
"AK","MI","f","20","0.001353136"
"AK","MI","f","21","0.001353136"
"AK","MI","f","22","0.001353136"
"AK","MI","f","23","0.001353136"
"AK","MI","f","24","0.001353136"
"AK","MI","f","25","0.001428355"
"AK","MI","f","26","0.001428355"
"AK","MI","f","27","0.001428355"
"AK","MI","f","28","0.001428355"
"AK","MI","f","29","0.001428355"
"AK","MI","f","30","0.002405103"
"AK","MI","f","31","0.002405103"
"AK","MI","f","32","0.002405103"
"AK","MI","f","33","0.002405103"
"AK","MI","f","34","0.002405103"
"AK","MI","f","35","0.001749093"
"AK","MI","f","36","0.001749093"
"AK","MI","f","37","0.001749093"
"AK","MI","f","38","0.001749093"
"AK","MI","f","39","0.001749093"
"AK","MI","f","40","0.001804808"
"AK","MI","f","41","0.001804808"
"AK","MI","f","42","0.001804808"
"AK","MI","f","43","0.001804808"
"AK","MI","f","44","0.001804808"
"AK","MI","f","45","0.000984352"
"AK","MI","f","46","0.000984352"
"AK","MI","f","47","0.000984352"
"AK","MI","f","48","0.000984352"
"AK","MI","f","49","0.000984352"
"AK","MI","f","50","0.002055472"
"AK","MI","f","51","0.002055472"
"AK","MI","f","52","0.002055472"
"AK","MI","f","53","0.002055472"
"AK","MI","f","54","0.002055472"
"AK","MI","f","55","0.000403941"
"AK","MI","f","56","0.000403941"
"AK","MI","f","57","0.000403941"
"AK","MI","f","58","0.000403941"
"AK","MI","f","59","0.000403941"
"AK","MI","f","60","0.0000976241"
"AK","MI","f","61","0.0000976241"
"AK","MI","f","62","0.0000976241"
"AK","MI","f","63","0.0000976241"
"AK","MI","f","64","0.0000976241"
"AK","MI","f","65","0.000465568"
"AK","MI","f","66","0.000465568"
"AK","MI","f","67","0.000465568"
"AK","MI","f","68","0.000465568"
"AK","MI","f","69","0.000465568"
"AK","MI","f","70","0"
"AK","MI","f","71","0"
"AK","MI","f","72","0"
"AK","MI","f","73","0"
"AK","MI","f","74","0"
"AK","MI","f","75","0"
"AK","MI","f","76","0"
"AK","MI","f","77","0"
"AK","MI","f","78","0"
"AK","MI","f","79","0"
"AK","MI","f","80","0.000272247"
"AK","MI","f","81","0.000272247"
"AK","MI","f","82","0.000272247"
"AK","MI","f","83","0.000272247"
"AK","MI","f","84","0.000272247"
"AK","MI","f","85","0"
"AK","MI","f","86","0"
"AK","MI","f","87","0"
"AK","MI","f","88","0"
"AK","MI","f","89","0"
"AK","MI","f","90","0.018878336"
"AK","MI","f","91","0.018878336"
"AK","MI","f","92","0.018878336"
"AK","MI","f","93","0.018878336"
"AK","MI","f","94","0.018878336"
"AK","MI","f","95","0"
"AK","MI","f","96","0"
"AK","MI","f","97","0"
"AK","MI","f","98","0"
"AK","MI","f","99","0"
"AK","MI","f","100","0"
"AL","MI","m","0","0.000283058"
"AL","MI","m","1","0.000283058"
"AL","MI","m","2","0.000283058"
"AL","MI","m","3","0.000283058"
"AL","MI","m","4","0.000283058"
"AL","MI","m","5","0.000915884"
"AL","MI","m","6","0.000915884"
"AL","MI","m","7","0.000915884"
"AL","MI","m","8","0.000915884"
"AL","MI","m","9","0.000915884"
"AL","MI","m","10","0.000379088"
"AL","MI","m","11","0.000379088"
"AL","MI","m","12","0.000379088"
"AL","MI","m","13","0.000379088"
"AL","MI","m","14","0.000379088"
"AL","MI","m","15","0.000161041"
"AL","MI","m","16","0.000161041"
"AL","MI","m","17","0.000161041"
"AL","MI","m","18","0.000161041"
"AL","MI","m","19","0.000161041"
"AL","MI","m","20","0.0005588"
"AL","MI","m","21","0.0005588"
"AL","MI","m","22","0.0005588"
"AL","MI","m","23","0.0005588"
"AL","MI","m","24","0.0005588"
