"from","to","gender","age","mrate"
"AL","MO","m","0","0.000248903"
"AL","MO","m","1","0.000248903"
"AL","MO","m","2","0.000248903"
"AL","MO","m","3","0.000248903"
"AL","MO","m","4","0.000248903"
"AL","MO","m","5","0.000231376"
"AL","MO","m","6","0.000231376"
"AL","MO","m","7","0.000231376"
"AL","MO","m","8","0.000231376"
"AL","MO","m","9","0.000231376"
"AL","MO","m","10","0.000480006"
"AL","MO","m","11","0.000480006"
"AL","MO","m","12","0.000480006"
"AL","MO","m","13","0.000480006"
"AL","MO","m","14","0.000480006"
"AL","MO","m","15","0.000730972"
"AL","MO","m","16","0.000730972"
"AL","MO","m","17","0.000730972"
"AL","MO","m","18","0.000730972"
"AL","MO","m","19","0.000730972"
"AL","MO","m","20","0.001013247"
"AL","MO","m","21","0.001013247"
"AL","MO","m","22","0.001013247"
"AL","MO","m","23","0.001013247"
"AL","MO","m","24","0.001013247"
"AL","MO","m","25","0.000887782"
"AL","MO","m","26","0.000887782"
"AL","MO","m","27","0.000887782"
"AL","MO","m","28","0.000887782"
"AL","MO","m","29","0.000887782"
"AL","MO","m","30","0.000577412"
"AL","MO","m","31","0.000577412"
"AL","MO","m","32","0.000577412"
"AL","MO","m","33","0.000577412"
"AL","MO","m","34","0.000577412"
"AL","MO","m","35","0.00034449"
"AL","MO","m","36","0.00034449"
"AL","MO","m","37","0.00034449"
"AL","MO","m","38","0.00034449"
"AL","MO","m","39","0.00034449"
"AL","MO","m","40","0.000171374"
"AL","MO","m","41","0.000171374"
"AL","MO","m","42","0.000171374"
"AL","MO","m","43","0.000171374"
"AL","MO","m","44","0.000171374"
"AL","MO","m","45","0.00028365"
"AL","MO","m","46","0.00028365"
"AL","MO","m","47","0.00028365"
"AL","MO","m","48","0.00028365"
"AL","MO","m","49","0.00028365"
"AL","MO","m","50","0.000246178"
"AL","MO","m","51","0.000246178"
"AL","MO","m","52","0.000246178"
"AL","MO","m","53","0.000246178"
"AL","MO","m","54","0.000246178"
"AL","MO","m","55","0.000325918"
"AL","MO","m","56","0.000325918"
"AL","MO","m","57","0.000325918"
"AL","MO","m","58","0.000325918"
"AL","MO","m","59","0.000325918"
"AL","MO","m","60","0.000206759"
"AL","MO","m","61","0.000206759"
"AL","MO","m","62","0.000206759"
"AL","MO","m","63","0.000206759"
"AL","MO","m","64","0.000206759"
"AL","MO","m","65","0.000214053"
"AL","MO","m","66","0.000214053"
"AL","MO","m","67","0.000214053"
"AL","MO","m","68","0.000214053"
"AL","MO","m","69","0.000214053"
"AL","MO","m","70","0.000124044"
"AL","MO","m","71","0.000124044"
"AL","MO","m","72","0.000124044"
"AL","MO","m","73","0.000124044"
"AL","MO","m","74","0.000124044"
"AL","MO","m","75","8.46165e-05"
"AL","MO","m","76","8.46165e-05"
"AL","MO","m","77","8.46165e-05"
"AL","MO","m","78","8.46165e-05"
"AL","MO","m","79","8.46165e-05"
"AL","MO","m","80","0"
"AL","MO","m","81","0"
"AL","MO","m","82","0"
"AL","MO","m","83","0"
"AL","MO","m","84","0"
"AL","MO","m","85","0"
"AL","MO","m","86","0"
"AL","MO","m","87","0"
"AL","MO","m","88","0"
"AL","MO","m","89","0"
"AL","MO","m","90","0"
"AL","MO","m","91","0"
"AL","MO","m","92","0"
"AL","MO","m","93","0"
"AL","MO","m","94","0"
"AL","MO","m","95","0"
"AL","MO","m","96","0"
"AL","MO","m","97","0"
"AL","MO","m","98","0"
"AL","MO","m","99","0"
"AL","MO","m","100","0"
"AL","MO","f","0","0.000327569"
"AL","MO","f","1","0.000327569"
"AL","MO","f","2","0.000327569"
"AL","MO","f","3","0.000327569"
"AL","MO","f","4","0.000327569"
"AL","MO","f","5","0.000345488"
"AL","MO","f","6","0.000345488"
"AL","MO","f","7","0.000345488"
"AL","MO","f","8","0.000345488"
"AL","MO","f","9","0.000345488"
"AL","MO","f","10","0.000456034"
"AL","MO","f","11","0.000456034"
"AL","MO","f","12","0.000456034"
"AL","MO","f","13","0.000456034"
"AL","MO","f","14","0.000456034"
"AL","MO","f","15","0.000453704"
"AL","MO","f","16","0.000453704"
"AL","MO","f","17","0.000453704"
"AL","MO","f","18","0.000453704"
"AL","MO","f","19","0.000453704"
"AL","MO","f","20","0.000399562"
"AL","MO","f","21","0.000399562"
"AL","MO","f","22","0.000399562"
"AL","MO","f","23","0.000399562"
"AL","MO","f","24","0.000399562"
"AL","MO","f","25","0.000195227"
"AL","MO","f","26","0.000195227"
"AL","MO","f","27","0.000195227"
"AL","MO","f","28","0.000195227"
"AL","MO","f","29","0.000195227"
"AL","MO","f","30","0.000251507"
"AL","MO","f","31","0.000251507"
"AL","MO","f","32","0.000251507"
"AL","MO","f","33","0.000251507"
"AL","MO","f","34","0.000251507"
"AL","MO","f","35","0.000310671"
"AL","MO","f","36","0.000310671"
"AL","MO","f","37","0.000310671"
"AL","MO","f","38","0.000310671"
"AL","MO","f","39","0.000310671"
"AL","MO","f","40","0.000304131"
"AL","MO","f","41","0.000304131"
"AL","MO","f","42","0.000304131"
"AL","MO","f","43","0.000304131"
"AL","MO","f","44","0.000304131"
"AL","MO","f","45","0.000285723"
"AL","MO","f","46","0.000285723"
"AL","MO","f","47","0.000285723"
"AL","MO","f","48","0.000285723"
"AL","MO","f","49","0.000285723"
"AL","MO","f","50","0.000188232"
"AL","MO","f","51","0.000188232"
"AL","MO","f","52","0.000188232"
"AL","MO","f","53","0.000188232"
"AL","MO","f","54","0.000188232"
"AL","MO","f","55","0.000180326"
"AL","MO","f","56","0.000180326"
"AL","MO","f","57","0.000180326"
"AL","MO","f","58","0.000180326"
"AL","MO","f","59","0.000180326"
"AL","MO","f","60","5.30811e-05"
"AL","MO","f","61","5.30811e-05"
"AL","MO","f","62","5.30811e-05"
"AL","MO","f","63","5.30811e-05"
"AL","MO","f","64","5.30811e-05"
"AL","MO","f","65","8.37865e-05"
"AL","MO","f","66","8.37865e-05"
"AL","MO","f","67","8.37865e-05"
"AL","MO","f","68","8.37865e-05"
"AL","MO","f","69","8.37865e-05"
"AL","MO","f","70","6.53445e-05"
"AL","MO","f","71","6.53445e-05"
"AL","MO","f","72","6.53445e-05"
"AL","MO","f","73","6.53445e-05"
"AL","MO","f","74","6.53445e-05"
"AL","MO","f","75","6.53445e-05"
"AL","MO","f","76","6.53445e-05"
"AL","MO","f","77","6.53445e-05"
"AL","MO","f","78","6.53445e-05"
"AL","MO","f","79","6.53445e-05"
"AL","MO","f","80","0"
"AL","MO","f","81","0"
"AL","MO","f","82","0"
"AL","MO","f","83","0"
"AL","MO","f","84","0"
"AL","MO","f","85","0"
"AL","MO","f","86","0"
"AL","MO","f","87","0"
"AL","MO","f","88","0"
"AL","MO","f","89","0"
"AL","MO","f","90","0"
"AL","MO","f","91","0"
"AL","MO","f","92","0"
"AL","MO","f","93","0"
"AL","MO","f","94","0"
"AL","MO","f","95","0"
"AL","MO","f","96","0"
"AL","MO","f","97","0"
"AL","MO","f","98","0"
"AL","MO","f","99","0"
"AL","MO","f","100","0"
"AK","MO","m","0","0.001736517"
"AK","MO","m","1","0.001736517"
"AK","MO","m","2","0.001736517"
"AK","MO","m","3","0.001736517"
"AK","MO","m","4","0.001736517"
"AK","MO","m","5","0.001873271"
"AK","MO","m","6","0.001873271"
