region,region_code,age,net_male,net_female,net_all
MO,840-29,0,-0.002089773,0.0006022,NA
MO,840-29,1,-0.002089773,0.0006022,NA
MO,840-29,2,-0.002089773,0.0006022,NA
MO,840-29,3,-0.002089773,0.0006022,NA
MO,840-29,4,-0.002089773,0.0006022,NA
MO,840-29,5,0.001465209,0.002003258,NA
MO,840-29,6,0.001465209,0.002003258,NA
MO,840-29,7,0.001465209,0.002003258,NA
MO,840-29,8,0.001465209,0.002003258,NA
MO,840-29,9,0.001465209,0.002003258,NA
MO,840-29,10,-0.000891239,0.000770684,NA
MO,840-29,11,-0.000891239,0.000770684,NA
MO,840-29,12,-0.000891239,0.000770684,NA
MO,840-29,13,-0.000891239,0.000770684,NA
MO,840-29,14,-0.000891239,0.000770684,NA
MO,840-29,15,0.008726823,0.012115438,NA
MO,840-29,16,0.008726823,0.012115438,NA
MO,840-29,17,0.008726823,0.012115438,NA
MO,840-29,18,0.008726823,0.012115438,NA
MO,840-29,19,0.008726823,0.012115438,NA
MO,840-29,20,0.009996474,-0.001405436,NA
MO,840-29,21,0.009996474,-0.001405436,NA
MO,840-29,22,0.009996474,-0.001405436,NA
MO,840-29,23,0.009996474,-0.001405436,NA
MO,840-29,24,0.009996474,-0.001405436,NA
MO,840-29,25,-0.001423385,-0.004971463,NA
MO,840-29,26,-0.001423385,-0.004971463,NA
MO,840-29,27,-0.001423385,-0.004971463,NA
MO,840-29,28,-0.001423385,-0.004971463,NA
MO,840-29,29,-0.001423385,-0.004971463,NA
MO,840-29,30,0.00512168,-0.003208867,NA
MO,840-29,31,0.00512168,-0.003208867,NA
MO,840-29,32,0.00512168,-0.003208867,NA
MO,840-29,33,0.00512168,-0.003208867,NA
MO,840-29,34,0.00512168,-0.003208867,NA
MO,840-29,35,0.003880785,0.001291119,NA
MO,840-29,36,0.003880785,0.001291119,NA
MO,840-29,37,0.003880785,0.001291119,NA
MO,840-29,38,0.003880785,0.001291119,NA
MO,840-29,39,0.003880785,0.001291119,NA
MO,840-29,40,-0.001210568,-0.000290317,NA
MO,840-29,41,-0.001210568,-0.000290317,NA
MO,840-29,42,-0.001210568,-0.000290317,NA
MO,840-29,43,-0.001210568,-0.000290317,NA
MO,840-29,44,-0.001210568,-0.000290317,NA
MO,840-29,45,-0.000575277,0.001661429,NA
MO,840-29,46,-0.000575277,0.001661429,NA
MO,840-29,47,-0.000575277,0.001661429,NA
MO,840-29,48,-0.000575277,0.001661429,NA
MO,840-29,49,-0.000575277,0.001661429,NA
MO,840-29,50,-4.44258E-05,0.003516783,NA
MO,840-29,51,-4.44258E-05,0.003516783,NA
MO,840-29,52,-4.44258E-05,0.003516783,NA
MO,840-29,53,-4.44258E-05,0.003516783,NA
MO,840-29,54,-4.44258E-05,0.003516783,NA
MO,840-29,55,0.001060341,0.003606069,NA
MO,840-29,56,0.001060341,0.003606069,NA
MO,840-29,57,0.001060341,0.003606069,NA
MO,840-29,58,0.001060341,0.003606069,NA
MO,840-29,59,0.001060341,0.003606069,NA
MO,840-29,60,0.00085269,0.000176889,NA
MO,840-29,61,0.00085269,0.000176889,NA
MO,840-29,62,0.00085269,0.000176889,NA
MO,840-29,63,0.00085269,0.000176889,NA
MO,840-29,64,0.00085269,0.000176889,NA
MO,840-29,65,0.002398642,-0.000530354,NA
MO,840-29,66,0.002398642,-0.000530354,NA
MO,840-29,67,0.002398642,-0.000530354,NA
MO,840-29,68,0.002398642,-0.000530354,NA
MO,840-29,69,0.002398642,-0.000530354,NA
MO,840-29,70,-0.00225823,0.001567498,NA
MO,840-29,71,-0.00225823,0.001567498,NA
MO,840-29,72,-0.00225823,0.001567498,NA
MO,840-29,73,-0.00225823,0.001567498,NA
MO,840-29,74,-0.00225823,0.001567498,NA
MO,840-29,75,0.000327812,-0.000374936,NA
MO,840-29,76,0.000327812,-0.000374936,NA
MO,840-29,77,0.000327812,-0.000374936,NA
MO,840-29,78,0.000327812,-0.000374936,NA
MO,840-29,79,0.000327812,-0.000374936,NA
MO,840-29,80,-0.001498744,0.001935195,NA
MO,840-29,81,-0.001498744,0.001935195,NA
MO,840-29,82,-0.001498744,0.001935195,NA
MO,840-29,83,-0.001498744,0.001935195,NA
MO,840-29,84,-0.001498744,0.001935195,NA
MO,840-29,85,-0.002241852,0.001545627,NA
MO,840-29,86,-0.002241852,0.001545627,NA
MO,840-29,87,-0.002241852,0.001545627,NA
MO,840-29,88,-0.002241852,0.001545627,NA
MO,840-29,89,-0.002241852,0.001545627,NA
MO,840-29,90,0.017111223,0.007756325,NA
MO,840-29,91,0.017111223,0.007756325,NA
MO,840-29,92,0.017111223,0.007756325,NA
MO,840-29,93,0.017111223,0.007756325,NA
MO,840-29,94,0.017111223,0.007756325,NA
MO,840-29,95,0,0,NA
MO,840-29,96,0,0,NA
MO,840-29,97,0,0,NA
MO,840-29,98,0,0,NA
MO,840-29,99,0,0,NA
MO,840-29,100,0,0,NA
