region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
NH,840-33,0,,,,
NH,840-33,1,,,,
NH,840-33,2,,,,
NH,840-33,3,,,,
NH,840-33,4,,,,
NH,840-33,5,,,,
NH,840-33,6,,,,
NH,840-33,7,,,,
NH,840-33,8,,,,
NH,840-33,9,,,,
NH,840-33,10,,,,
NH,840-33,11,,,,
NH,840-33,12,,,,
NH,840-33,13,,,,
NH,840-33,14,,,,
NH,840-33,15,,,,
NH,840-33,16,,,,
NH,840-33,17,,,,
NH,840-33,18,,,,
NH,840-33,19,,,,
NH,840-33,20,,,,
NH,840-33,21,,,,
NH,840-33,22,,,,
NH,840-33,23,,,,
NH,840-33,24,,,,
NH,840-33,25,,,,
NH,840-33,26,,,,
NH,840-33,27,,,,
NH,840-33,28,,,,
NH,840-33,29,,,,
NH,840-33,30,,,,
NH,840-33,31,,,,
NH,840-33,32,,,,
NH,840-33,33,,,,
NH,840-33,34,,,,
NH,840-33,35,,,,
NH,840-33,36,,,,
NH,840-33,37,,,,
NH,840-33,38,,,,
NH,840-33,39,,,,
NH,840-33,40,,,,
NH,840-33,41,,,,
NH,840-33,42,,,,
NH,840-33,43,,,,
NH,840-33,44,,,,
NH,840-33,45,,,,
NH,840-33,46,,,,
NH,840-33,47,,,,
NH,840-33,48,,,,
NH,840-33,49,,,,
NH,840-33,50,,,,
NH,840-33,51,,,,
NH,840-33,52,,,,
NH,840-33,53,,,,
NH,840-33,54,,,,
NH,840-33,55,,,,
NH,840-33,56,,,,
NH,840-33,57,,,,
NH,840-33,58,,,,
NH,840-33,59,,,,
NH,840-33,60,,,,
NH,840-33,61,,,,
NH,840-33,62,,,,
NH,840-33,63,,,,
NH,840-33,64,,,,
NH,840-33,65,,,,
NH,840-33,66,,,,
NH,840-33,67,,,,
NH,840-33,68,,,,
NH,840-33,69,,,,
NH,840-33,70,,,,
NH,840-33,71,,,,
NH,840-33,72,,,,
NH,840-33,73,,,,
NH,840-33,74,,,,
NH,840-33,75,,,,
NH,840-33,76,,,,
NH,840-33,77,,,,
NH,840-33,78,,,,
NH,840-33,79,,,,
NH,840-33,80,,,,
NH,840-33,81,,,,
NH,840-33,82,,,,
NH,840-33,83,,,,
NH,840-33,84,,,,
NH,840-33,85,,,,
NH,840-33,86,,,,
NH,840-33,87,,,,
NH,840-33,88,,,,
NH,840-33,89,,,,
NH,840-33,90,,,,
NH,840-33,91,,,,
NH,840-33,92,,,,
NH,840-33,93,,,,
NH,840-33,94,,,,
NH,840-33,95,,,,
NH,840-33,96,,,,
NH,840-33,97,,,,
NH,840-33,98,,,,
NH,840-33,99,,,,
NH,840-33,100,,,,
