region,region_code,age,net_male,net_female,net_all
NH,840-33,0,0.003296221,0.003311455,NA
NH,840-33,1,0.003296221,0.003311455,NA
NH,840-33,2,0.003296221,0.003311455,NA
NH,840-33,3,0.003296221,0.003311455,NA
NH,840-33,4,0.003296221,0.003311455,NA
NH,840-33,5,0.001547189,0.002553518,NA
NH,840-33,6,0.003296221,0.003311455,NA
NH,840-33,7,0.003296221,0.003311455,NA
NH,840-33,8,0.003296221,0.003311455,NA
NH,840-33,9,0.003296221,0.003311455,NA
NH,840-33,10,0.00959642,0.000594516,NA
NH,840-33,11,0.00959642,0.000594516,NA
NH,840-33,12,0.00959642,0.000594516,NA
NH,840-33,13,0.00959642,0.000594516,NA
NH,840-33,14,0.00959642,0.000594516,NA
NH,840-33,15,-0.001493785,0.010923761,NA
NH,840-33,16,-0.001493785,0.010923761,NA
NH,840-33,17,-0.001493785,0.010923761,NA
NH,840-33,18,-0.001493785,0.010923761,NA
NH,840-33,19,-0.001493785,0.010923761,NA
NH,840-33,20,-0.016029039,-0.010901276,NA
NH,840-33,21,-0.016029039,-0.010901276,NA
NH,840-33,22,-0.016029039,-0.010901276,NA
NH,840-33,23,-0.016029039,-0.010901276,NA
NH,840-33,24,-0.016029039,-0.010901276,NA
NH,840-33,25,0.013540115,0.008901914,NA
NH,840-33,26,0.013540115,0.008901914,NA
NH,840-33,27,0.013540115,0.008901914,NA
NH,840-33,28,0.013540115,0.008901914,NA
NH,840-33,29,0.013540115,0.008901914,NA
NH,840-33,30,0.003435203,0.00124516,NA
NH,840-33,31,0.003435203,0.00124516,NA
NH,840-33,32,0.003435203,0.00124516,NA
NH,840-33,33,0.003435203,0.00124516,NA
NH,840-33,34,0.003435203,0.00124516,NA
NH,840-33,35,0.006780488,0.003014826,NA
NH,840-33,36,0.006780488,0.003014826,NA
NH,840-33,37,0.006780488,0.003014826,NA
NH,840-33,38,0.006780488,0.003014826,NA
NH,840-33,39,0.006780488,0.003014826,NA
NH,840-33,40,0.003827791,-0.002720089,NA
NH,840-33,41,0.003827791,-0.002720089,NA
NH,840-33,42,0.003827791,-0.002720089,NA
NH,840-33,43,0.003827791,-0.002720089,NA
NH,840-33,44,0.003827791,-0.002720089,NA
NH,840-33,45,-0.000418348,-0.003749487,NA
NH,840-33,46,-0.000418348,-0.003749487,NA
NH,840-33,47,-0.000418348,-0.003749487,NA
NH,840-33,48,-0.000418348,-0.003749487,NA
NH,840-33,49,-0.000418348,-0.003749487,NA
NH,840-33,50,-0.004623502,-0.001655809,NA
NH,840-33,51,-0.004623502,-0.001655809,NA
NH,840-33,52,-0.004623502,-0.001655809,NA
NH,840-33,53,-0.004623502,-0.001655809,NA
NH,840-33,54,-0.004623502,-0.001655809,NA
NH,840-33,55,0.004128488,0.003065274,NA
NH,840-33,56,0.004128488,0.003065274,NA
NH,840-33,57,0.004128488,0.003065274,NA
NH,840-33,58,0.004128488,0.003065274,NA
NH,840-33,59,0.004128488,0.003065274,NA
NH,840-33,60,-0.003776689,0.000775897,NA
NH,840-33,61,-0.003776689,0.000775897,NA
NH,840-33,62,-0.003776689,0.000775897,NA
NH,840-33,63,-0.003776689,0.000775897,NA
NH,840-33,64,-0.003776689,0.000775897,NA
NH,840-33,65,-0.007486392,-0.001906189,NA
NH,840-33,66,-0.007486392,-0.001906189,NA
NH,840-33,67,-0.007486392,-0.001906189,NA
NH,840-33,68,-0.007486392,-0.001906189,NA
NH,840-33,69,-0.007486392,-0.001906189,NA
NH,840-33,70,-0.008255736,-0.006066955,NA
NH,840-33,71,-0.008255736,-0.006066955,NA
NH,840-33,72,-0.008255736,-0.006066955,NA
NH,840-33,73,-0.008255736,-0.006066955,NA
NH,840-33,74,-0.008255736,-0.006066955,NA
NH,840-33,75,0.00040689,0.012301998,NA
NH,840-33,76,0.00040689,0.012301998,NA
NH,840-33,77,0.00040689,0.012301998,NA
NH,840-33,78,0.00040689,0.012301998,NA
NH,840-33,79,0.00040689,0.012301998,NA
NH,840-33,80,-0.00756513,0.007679488,NA
NH,840-33,81,-0.00756513,0.007679488,NA
NH,840-33,82,-0.00756513,0.007679488,NA
NH,840-33,83,-0.00756513,0.007679488,NA
NH,840-33,84,-0.00756513,0.007679488,NA
NH,840-33,85,-0.0004332,0.00054967,NA
NH,840-33,86,-0.0004332,0.00054967,NA
NH,840-33,87,-0.0004332,0.00054967,NA
NH,840-33,88,-0.0004332,0.00054967,NA
NH,840-33,89,-0.0004332,0.00054967,NA
NH,840-33,90,-0.007769845,0.003992654,NA
NH,840-33,91,-0.007769845,0.003992654,NA
NH,840-33,92,-0.007769845,0.003992654,NA
NH,840-33,93,-0.007769845,0.003992654,NA
NH,840-33,94,-0.007769845,0.003992654,NA
NH,840-33,95,0,0,NA
NH,840-33,96,0,0,NA
NH,840-33,97,0,0,NA
NH,840-33,98,0,0,NA
NH,840-33,99,0,0,NA
NH,840-33,100,0,0,NA
