region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
SC,840-45,0,,,28890,29170,,
SC,840-45,1,,,30190,30770,,
SC,840-45,2,,,30910,31670,,
SC,840-45,3,,,30540,31900,,
SC,840-45,4,,,29390,30340,,
SC,840-45,5,,,28910,29860,,
SC,840-45,6,,,30280,29840,,
SC,840-45,7,,,28730,28980,,
SC,840-45,8,,,29120,30190,,
SC,840-45,9,,,29290,30840,,
SC,840-45,10,,,30560,31600,,
SC,840-45,11,,,29040,29760,,
SC,840-45,12,,,28860,30620,,
SC,840-45,13,,,28170,30150,,
SC,840-45,14,,,27980,29670,,
SC,840-45,15,,,28840,30810,,
SC,840-45,16,,,31290,31000,,
SC,840-45,17,,,31060,32440,,
SC,840-45,18,,,33070,34810,,
SC,840-45,19,,,36660,38670,,
SC,840-45,20,,,36820,37410,,
SC,840-45,21,,,34630,35920,,
SC,840-45,22,,,31980,31980,,
SC,840-45,23,,,31080,31380,,
SC,840-45,24,,,30160,30320,,
SC,840-45,25,,,31090,30740,,
SC,840-45,26,,,30300,30440,,
SC,840-45,27,,,30550,30490,,
SC,840-45,28,,,30690,31090,,
SC,840-45,29,,,31060,30430,,
SC,840-45,30,,,31060,30640,,
SC,840-45,31,,,28640,29020,,
SC,840-45,32,,,30350,28250,,
SC,840-45,33,,,28950,26930,,
SC,840-45,34,,,27390,26330,,
SC,840-45,35,,,29630,27460,,
SC,840-45,36,,,28250,27380,,
SC,840-45,37,,,29810,29140,,
SC,840-45,38,,,30770,30780,,
SC,840-45,39,,,32230,32420,,
SC,840-45,40,,,32630,31370,,
SC,840-45,41,,,29950,29910,,
SC,840-45,42,,,30080,28850,,
SC,840-45,43,,,30220,28660,,
SC,840-45,44,,,31130,29930,,
SC,840-45,45,,,33400,32020,,
SC,840-45,46,,,34500,32630,,
SC,840-45,47,,,34270,32360,,
SC,840-45,48,,,35410,32410,,
SC,840-45,49,,,33830,32650,,
SC,840-45,50,,,34550,31940,,
SC,840-45,51,,,33560,31290,,
SC,840-45,52,,,33640,33260,,
SC,840-45,53,,,33830,30630,,
SC,840-45,54,,,31760,29460,,
SC,840-45,55,,,34160,30900,,
SC,840-45,56,,,32800,28600,,
SC,840-45,57,,,32770,29150,,
SC,840-45,58,,,31490,27740,,
SC,840-45,59,,,30290,27430,,
SC,840-45,60,,,31060,27080,,
SC,840-45,61,,,29520,27220,,
SC,840-45,62,,,30840,27820,,
SC,840-45,63,,,30900,28320,,
SC,840-45,64,,,24650,21420,,
SC,840-45,65,,,25140,22260,,
SC,840-45,66,,,22820,21370,,
SC,840-45,67,,,24260,20630,,
SC,840-45,68,,,21140,18940,,
SC,840-45,69,,,20230,17710,,
SC,840-45,70,,,18370,17120,,
SC,840-45,71,,,17310,15520,,
SC,840-45,72,,,16760,13380,,
SC,840-45,73,,,16380,12670,,
SC,840-45,74,,,14900,12640,,
SC,840-45,75,,,14940,11890,,
SC,840-45,76,,,13010,10650,,
SC,840-45,77,,,12250,9880,,
SC,840-45,78,,,12280,8730,,
SC,840-45,79,,,11230,8390,,
SC,840-45,80,,,10650,7840,,
SC,840-45,81,,,9660,6470,,
SC,840-45,82,,,10370,6230,,
SC,840-45,83,,,8920,5370,,
SC,840-45,84,,,8110,4950,,
SC,840-45,85,,,7980,4390,,
SC,840-45,86,,,7150,3590,,
SC,840-45,87,,,6200,2820,,
SC,840-45,88,,,5720,2630,,
SC,840-45,89,,,4616.693914,2085.127544,,
SC,840-45,90,,,3874.361906,1633.676495,,
SC,840-45,91,,,3031.429907,1204.974771,,
SC,840-45,92,,,2592.425176,964.2987004,,
SC,840-45,93,,,2005.486706,695.3621682,,
SC,840-45,94,,,1602.455624,506.3428931,,
SC,840-45,95,,,1253.953018,366.6696647,,
SC,840-45,96,,,948.4547003,254.4596892,,
SC,840-45,97,,,683.1458896,170.6950349,,
SC,840-45,98,,,473.7413903,109.783689,,
SC,840-45,99,,,329.1147024,70.55872329,,
SC,840-45,100,,,568.7370661,108.0506272,,
