"from","to","gender","age","rate"
"AK","SD","m","0","0.001022025"
"AK","SD","m","1","0.001022025"
"AK","SD","m","2","0.001022025"
"AK","SD","m","3","0.001022025"
"AK","SD","m","4","0.001022025"
"AK","SD","m","5","0.001792923"
"AK","SD","m","6","0.001792923"
"AK","SD","m","7","0.001792923"
"AK","SD","m","8","0.001792923"
"AK","SD","m","9","0.001792923"
"AK","SD","m","10","0"
"AK","SD","m","11","0"
"AK","SD","m","12","0"
"AK","SD","m","13","0"
"AK","SD","m","14","0"
"AK","SD","m","15","0.0003513"
"AK","SD","m","16","0.0003513"
"AK","SD","m","17","0.0003513"
"AK","SD","m","18","0.0003513"
"AK","SD","m","19","0.0003513"
"AK","SD","m","20","0"
"AK","SD","m","21","0"
"AK","SD","m","22","0"
"AK","SD","m","23","0"
"AK","SD","m","24","0"
"AK","SD","m","25","0.001175696"
"AK","SD","m","26","0.001175696"
"AK","SD","m","27","0.001175696"
"AK","SD","m","28","0.001175696"
"AK","SD","m","29","0.001175696"
"AK","SD","m","30","0"
"AK","SD","m","31","0"
"AK","SD","m","32","0"
"AK","SD","m","33","0"
"AK","SD","m","34","0"
"AK","SD","m","35","0"
"AK","SD","m","36","0"
"AK","SD","m","37","0"
"AK","SD","m","38","0"
"AK","SD","m","39","0"
"AK","SD","m","40","0.000879308"
"AK","SD","m","41","0.000879308"
"AK","SD","m","42","0.000879308"
"AK","SD","m","43","0.000879308"
"AK","SD","m","44","0.000879308"
"AK","SD","m","45","0"
"AK","SD","m","46","0"
"AK","SD","m","47","0"
"AK","SD","m","48","0"
"AK","SD","m","49","0"
"AK","SD","m","50","0"
"AK","SD","m","51","0"
"AK","SD","m","52","0"
"AK","SD","m","53","0"
"AK","SD","m","54","0"
"AK","SD","m","55","0.000039"
"AK","SD","m","56","0.000039"
"AK","SD","m","57","0.000039"
"AK","SD","m","58","0.000039"
"AK","SD","m","59","0.000039"
"AK","SD","m","60","0.000202938"
"AK","SD","m","61","0.000202938"
"AK","SD","m","62","0.000202938"
"AK","SD","m","63","0.000202938"
"AK","SD","m","64","0.000202938"
"AK","SD","m","65","0"
"AK","SD","m","66","0"
"AK","SD","m","67","0"
"AK","SD","m","68","0"
"AK","SD","m","69","0"
"AK","SD","m","70","0"
"AK","SD","m","71","0"
"AK","SD","m","72","0"
"AK","SD","m","73","0"
"AK","SD","m","74","0"
"AK","SD","m","75","0"
"AK","SD","m","76","0"
"AK","SD","m","77","0"
"AK","SD","m","78","0"
"AK","SD","m","79","0"
"AK","SD","m","80","0"
"AK","SD","m","81","0"
"AK","SD","m","82","0"
"AK","SD","m","83","0"
"AK","SD","m","84","0"
"AK","SD","m","85","0"
"AK","SD","m","86","0"
"AK","SD","m","87","0"
"AK","SD","m","88","0"
"AK","SD","m","89","0"
"AK","SD","m","90","0"
"AK","SD","m","91","0"
"AK","SD","m","92","0"
"AK","SD","m","93","0"
"AK","SD","m","94","0"
"AK","SD","m","95","0"
"AK","SD","m","96","0"
"AK","SD","m","97","0"
"AK","SD","m","98","0"
"AK","SD","m","99","0"
"AK","SD","m","100","0"
"AK","SD","f","0","0"
"AK","SD","f","1","0"
"AK","SD","f","2","0"
"AK","SD","f","3","0"
"AK","SD","f","4","0"
"AK","SD","f","5","0"
"AK","SD","f","6","0"
"AK","SD","f","7","0"
"AK","SD","f","8","0"
"AK","SD","f","9","0"
"AK","SD","f","10","0"
"AK","SD","f","11","0"
"AK","SD","f","12","0"
"AK","SD","f","13","0"
"AK","SD","f","14","0"
"AK","SD","f","15","0.000294263"
"AK","SD","f","16","0.000294263"
"AK","SD","f","17","0.000294263"
"AK","SD","f","18","0.000294263"
"AK","SD","f","19","0.000294263"
"AK","SD","f","20","0.001615881"
"AK","SD","f","21","0.001615881"
"AK","SD","f","22","0.001615881"
"AK","SD","f","23","0.001615881"
"AK","SD","f","24","0.001615881"
"AK","SD","f","25","0.001739996"
"AK","SD","f","26","0.001739996"
"AK","SD","f","27","0.001739996"
"AK","SD","f","28","0.001739996"
"AK","SD","f","29","0.001739996"
"AK","SD","f","30","0.000219979"
"AK","SD","f","31","0.000219979"
"AK","SD","f","32","0.000219979"
"AK","SD","f","33","0.000219979"
"AK","SD","f","34","0.000219979"
