year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2015,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2020,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2025,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2030,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2035,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2040,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2045,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2050,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2055,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2060,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2065,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2070,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2075,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2080,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2085,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2090,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2095,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
2100,2.21,2.21,2.21,76.4,81.4,76.4,81.4,76.4,81.4,0.567,105,105,105,826.0857707,769.0093813
