region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
AR,840-05,0,1.00E+05,1.00E+05,1.00E+05,1.00E+05,NA,NA,0.0072424,0.008702125,0.0072424,0.008702125,NA,NA
AR,840-05,1,99280.39259,99136.40033,99280.39259,99136.40033,NA,NA,0.000569343,0.000638935,0.000569343,0.000638935,NA,NA
AR,840-05,2,99223.88312,99073.07833,99223.88312,99073.07833,NA,NA,0.000371749,0.000460532,0.000371749,0.000460532,NA,NA
AR,840-05,3,99187.00363,99027.46323,99187.00363,99027.46323,NA,NA,0.000275697,0.000350726,0.000275697,0.000350726,NA,NA
AR,840-05,4,99159.66188,98992.73812,99159.66188,98992.73812,NA,NA,0.000230019,0.000314182,0.000230019,0.000314182,NA,NA
AR,840-05,5,99136.85574,98961.6413,99136.85574,98961.6413,NA,NA,2.15E-04,0.000277361,2.15E-04,0.000277361,NA,NA
AR,840-05,6,99115.5242,98934.19698,99115.5242,98934.19698,NA,NA,1.92E-04,0.000248324,1.92E-04,0.000248324,NA,NA
AR,840-05,7,99096.49827,98909.63234,99096.49827,98909.63234,NA,NA,1.75E-04,0.000223955,1.75E-04,0.000223955,NA,NA
AR,840-05,8,99079.13238,98887.48337,99079.13238,98887.48337,NA,NA,1.62E-04,1.98E-04,1.62E-04,1.98E-04,NA,NA
AR,840-05,9,99063.10319,98867.92807,99063.10319,98867.92807,NA,NA,1.53E-04,1.76E-04,1.53E-04,1.76E-04,NA,NA
AR,840-05,10,99047.9143,98850.49605,99047.9143,98850.49605,NA,NA,1.52E-04,1.66E-04,1.52E-04,1.66E-04,NA,NA
AR,840-05,11,99032.89569,98834.05071,99032.89569,98834.05071,NA,NA,1.60E-04,1.83E-04,1.60E-04,1.83E-04,NA,NA
AR,840-05,12,99017.04119,98815.97106,99017.04119,98815.97106,NA,NA,1.84E-04,0.000240219,1.84E-04,0.000240219,NA,NA
AR,840-05,13,98998.86024,98792.23641,98998.86024,98792.23641,NA,NA,2.22E-04,0.000345971,2.22E-04,0.000345971,NA,NA
AR,840-05,14,98976.90532,98758.06305,98976.90532,98758.06305,NA,NA,0.000274081,0.000490014,0.000274081,0.000490014,NA,NA
AR,840-05,15,98949.78185,98709.6817,98949.78185,98709.6817,NA,NA,0.000330391,0.000640458,0.000330391,0.000640458,NA,NA
AR,840-05,16,98917.09486,98646.48206,98917.09486,98646.48206,NA,NA,0.00038914,0.00079314,0.00038914,0.00079314,NA,NA
