"from","to","gender","age","mrate"
"AL","CO","m","0","0.00121487"
"AL","CO","m","1","0.00121487"
"AL","CO","m","2","0.00121487"
"AL","CO","m","3","0.00121487"
"AL","CO","m","4","0.00121487"
"AL","CO","m","5","0.000872287"
"AL","CO","m","6","0.000872287"
"AL","CO","m","7","0.000872287"
"AL","CO","m","8","0.000872287"
"AL","CO","m","9","0.000872287"
"AL","CO","m","10","0.000707325"
"AL","CO","m","11","0.000707325"
"AL","CO","m","12","0.000707325"
"AL","CO","m","13","0.000707325"
"AL","CO","m","14","0.000707325"
"AL","CO","m","15","0.00039043"
"AL","CO","m","16","0.00039043"
"AL","CO","m","17","0.00039043"
"AL","CO","m","18","0.00039043"
"AL","CO","m","19","0.00039043"
"AL","CO","m","20","0.000623122"
"AL","CO","m","21","0.000623122"
"AL","CO","m","22","0.000623122"
"AL","CO","m","23","0.000623122"
"AL","CO","m","24","0.000623122"
"AL","CO","m","25","0.000819485"
"AL","CO","m","26","0.000819485"
"AL","CO","m","27","0.000819485"
"AL","CO","m","28","0.000819485"
"AL","CO","m","29","0.000819485"
"AL","CO","m","30","0.000781881"
"AL","CO","m","31","0.000781881"
"AL","CO","m","32","0.000781881"
"AL","CO","m","33","0.000781881"
"AL","CO","m","34","0.000781881"
"AL","CO","m","35","0.000647315"
"AL","CO","m","36","0.000647315"
"AL","CO","m","37","0.000647315"
"AL","CO","m","38","0.000647315"
"AL","CO","m","39","0.000647315"
"AL","CO","m","40","0.000411674"
"AL","CO","m","41","0.000411674"
"AL","CO","m","42","0.000411674"
"AL","CO","m","43","0.000411674"
"AL","CO","m","44","0.000411674"
"AL","CO","m","45","0.000270598"
"AL","CO","m","46","0.000270598"
"AL","CO","m","47","0.000270598"
"AL","CO","m","48","0.000270598"
"AL","CO","m","49","0.000270598"
"AL","CO","m","50","0.000196258"
"AL","CO","m","51","0.000196258"
"AL","CO","m","52","0.000196258"
"AL","CO","m","53","0.000196258"
"AL","CO","m","54","0.000196258"
"AL","CO","m","55","0.000121289"
"AL","CO","m","56","0.000121289"
"AL","CO","m","57","0.000121289"
"AL","CO","m","58","0.000121289"
"AL","CO","m","59","0.000121289"
"AL","CO","m","60","0.000122301"
"AL","CO","m","61","0.000122301"
"AL","CO","m","62","0.000122301"
"AL","CO","m","63","0.000122301"
"AL","CO","m","64","0.000122301"
"AL","CO","m","65","3.61421e-05"
"AL","CO","m","66","3.61421e-05"
"AL","CO","m","67","3.61421e-05"
"AL","CO","m","68","3.61421e-05"
"AL","CO","m","69","3.61421e-05"
"AL","CO","m","70","0.000105644"
"AL","CO","m","71","0.000105644"
"AL","CO","m","72","0.000105644"
"AL","CO","m","73","0.000105644"
"AL","CO","m","74","0.000105644"
"AL","CO","m","75","0.000189954"
"AL","CO","m","76","0.000189954"
"AL","CO","m","77","0.000189954"
"AL","CO","m","78","0.000189954"
"AL","CO","m","79","0.000189954"
"AL","CO","m","80","0.000189954"
"AL","CO","m","81","0.000189954"
"AL","CO","m","82","0.000189954"
"AL","CO","m","83","0.000189954"
"AL","CO","m","84","0.000189954"
"AL","CO","m","85","0.000120452"
"AL","CO","m","86","0.000120452"
"AL","CO","m","87","0.000120452"
"AL","CO","m","88","0.000120452"
"AL","CO","m","89","0.000120452"
"AL","CO","m","90","0"
"AL","CO","m","91","0"
"AL","CO","m","92","0"
"AL","CO","m","93","0"
"AL","CO","m","94","0"
"AL","CO","m","95","0"
"AL","CO","m","96","0"
"AL","CO","m","97","0"
"AL","CO","m","98","0"
"AL","CO","m","99","0"
"AL","CO","m","100","0"
"AL","CO","f","0","0.000316936"
"AL","CO","f","1","0.000316936"
"AL","CO","f","2","0.000316936"
"AL","CO","f","3","0.000316936"
"AL","CO","f","4","0.000316936"
"AL","CO","f","5","0.000359762"
"AL","CO","f","6","0.000359762"
"AL","CO","f","7","0.000359762"
"AL","CO","f","8","0.000359762"
"AL","CO","f","9","0.000359762"
"AL","CO","f","10","0.000362936"
"AL","CO","f","11","0.000362936"
"AL","CO","f","12","0.000362936"
"AL","CO","f","13","0.000362936"
"AL","CO","f","14","0.000362936"
"AL","CO","f","15","0.00041487"
"AL","CO","f","16","0.00041487"
"AL","CO","f","17","0.00041487"
"AL","CO","f","18","0.00041487"
"AL","CO","f","19","0.00041487"
"AL","CO","f","20","0.000431366"
"AL","CO","f","21","0.000431366"
"AL","CO","f","22","0.000431366"
"AL","CO","f","23","0.000431366"
"AL","CO","f","24","0.000431366"
"AL","CO","f","25","0.000669598"
"AL","CO","f","26","0.000669598"
"AL","CO","f","27","0.000669598"
"AL","CO","f","28","0.000669598"
"AL","CO","f","29","0.000669598"
"AL","CO","f","30","0.000627505"
"AL","CO","f","31","0.000627505"
"AL","CO","f","32","0.000627505"
"AL","CO","f","33","0.000627505"
"AL","CO","f","34","0.000627505"
"AL","CO","f","35","0.000567829"
"AL","CO","f","36","0.000567829"
"AL","CO","f","37","0.000567829"
"AL","CO","f","38","0.000567829"
"AL","CO","f","39","0.000567829"
"AL","CO","f","40","0.000309321"
"AL","CO","f","41","0.000309321"
"AL","CO","f","42","0.000309321"
"AL","CO","f","43","0.000309321"
"AL","CO","f","44","0.000309321"
"AL","CO","f","45","0.000296809"
"AL","CO","f","46","0.000296809"
"AL","CO","f","47","0.000296809"
"AL","CO","f","48","0.000296809"
"AL","CO","f","49","0.000296809"
"AL","CO","f","50","0.000201705"
"AL","CO","f","51","0.000201705"
"AL","CO","f","52","0.000201705"
"AL","CO","f","53","0.000201705"
"AL","CO","f","54","0.000201705"
"AL","CO","f","55","0.000171171"
"AL","CO","f","56","0.000171171"
"AL","CO","f","57","0.000171171"
"AL","CO","f","58","0.000171171"
"AL","CO","f","59","0.000171171"
"AL","CO","f","60","8.30773e-05"
"AL","CO","f","61","8.30773e-05"
"AL","CO","f","62","8.30773e-05"
"AL","CO","f","63","8.30773e-05"
"AL","CO","f","64","8.30773e-05"
"AL","CO","f","65","0.000116452"
"AL","CO","f","66","0.000116452"
"AL","CO","f","67","0.000116452"
"AL","CO","f","68","0.000116452"
"AL","CO","f","69","0.000116452"
"AL","CO","f","70","0.000125468"
"AL","CO","f","71","0.000125468"
"AL","CO","f","72","0.000125468"
"AL","CO","f","73","0.000125468"
"AL","CO","f","74","0.000125468"
"AL","CO","f","75","0.000236147"
"AL","CO","f","76","0.000236147"
"AL","CO","f","77","0.000236147"
"AL","CO","f","78","0.000236147"
"AL","CO","f","79","0.000236147"
"AL","CO","f","80","0.000192584"
"AL","CO","f","81","0.000192584"
"AL","CO","f","82","0.000192584"
"AL","CO","f","83","0.000192584"
"AL","CO","f","84","0.000192584"
"AL","CO","f","85","0.0001536"
"AL","CO","f","86","0.0001536"
"AL","CO","f","87","0.0001536"
"AL","CO","f","88","0.0001536"
"AL","CO","f","89","0.0001536"
"AL","CO","f","90","0"
"AL","CO","f","91","0"
"AL","CO","f","92","0"
"AL","CO","f","93","0"
"AL","CO","f","94","0"
"AL","CO","f","95","0"
"AL","CO","f","96","0"
"AL","CO","f","97","0"
"AL","CO","f","98","0"
"AL","CO","f","99","0"
"AL","CO","f","100","0"
"AK","CO","m","0","0.002303391"
"AK","CO","m","1","0.002303391"
"AK","CO","m","2","0.002303391"
"AK","CO","m","3","0.002303391"
"AK","CO","m","4","0.002303391"
"AK","CO","m","5","0.001864893"
"AK","CO","m","6","0.001864893"
"AK","CO","m","7","0.001864893"
"AK","CO","m","8","0.001864893"
"AK","CO","m","9","0.001864893"
"AK","CO","m","10","0.002938476"
"AK","CO","m","11","0.002938476"
"AK","CO","m","12","0.002938476"
"AK","CO","m","13","0.002938476"
"AK","CO","m","14","0.002938476"
"AK","CO","m","15","0.003773815"
"AK","CO","m","16","0.003773815"
"AK","CO","m","17","0.003773815"
"AK","CO","m","18","0.003773815"
"AK","CO","m","19","0.003773815"
"AK","CO","m","20","0.007039321"
"AK","CO","m","21","0.007039321"
"AK","CO","m","22","0.007039321"
"AK","CO","m","23","0.007039321"
"AK","CO","m","24","0.007039321"
"AK","CO","m","25","0.00772256"
"AK","CO","m","26","0.00772256"
"AK","CO","m","27","0.00772256"
"AK","CO","m","28","0.00772256"
"AK","CO","m","29","0.00772256"
"AK","CO","m","30","0.006720734"
"AK","CO","m","31","0.006720734"
"AK","CO","m","32","0.006720734"
"AK","CO","m","33","0.006720734"
"AK","CO","m","34","0.006720734"
"AK","CO","m","35","0.004597115"
"AK","CO","m","36","0.004597115"
"AK","CO","m","37","0.004597115"
"AK","CO","m","38","0.004597115"
"AK","CO","m","39","0.004597115"
"AK","CO","m","40","0.003070625"
"AK","CO","m","41","0.003070625"
"AK","CO","m","42","0.003070625"
"AK","CO","m","43","0.003070625"
"AK","CO","m","44","0.003070625"
"AK","CO","m","45","0.002730786"
"AK","CO","m","46","0.002730786"
"AK","CO","m","47","0.002730786"
"AK","CO","m","48","0.002730786"
"AK","CO","m","49","0.002730786"
"AK","CO","m","50","0.001499698"
"AK","CO","m","51","0.001499698"
"AK","CO","m","52","0.001499698"
"AK","CO","m","53","0.001499698"
"AK","CO","m","54","0.001499698"
"AK","CO","m","55","0.001330542"
"AK","CO","m","56","0.001330542"
"AK","CO","m","57","0.001330542"
"AK","CO","m","58","0.001330542"
"AK","CO","m","59","0.001330542"
"AK","CO","m","60","0.001191542"
"AK","CO","m","61","0.001191542"
"AK","CO","m","62","0.001191542"
"AK","CO","m","63","0.001191542"
"AK","CO","m","64","0.001191542"
"AK","CO","m","65","0.002405627"
