"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"AZ",0,1,1,41510,41282.3415226392,41434.7476426839,41566.9247624367,41663.865764614,41756.1457947926,41846.8913409745,41944.0021361973,42057.2579570866,42162.7548214621,42244.8272967481,42322.4511214806,42385.8529648449,42449.5280515496,42536.1269545385,42649.9839622407,42773.3091123699,42863.9508962864,42890.4285973273,42837.7650781362,42723.1482945527,42584.8736189346,42455.4304306526,42299.7228873245,42127.6300549056,41949.3738578662,41757.4911921255,41557.8289818454,41377.5689861657,41241.4734366558,41130.74696141,41028.8221288392,40934.3581029078,40866.5556903758,40829.7391527502,40813.350932749,40812.2506140521,40822.6865081657,40844.4938617609,40869.237688664,40892.9158796799,40915.1696301461,40931.2094917956,40935.4973066636,40924.7514518052,40897.5457133606,40853.3129806338,40792.85089455,40717.1772316646,40629.8064297027,40535.0608532181,40435.0799990069,40331.2339875822,40225.6807331019,40121.2931730193,40020.6513544821,39925.9075362729,39838.7347914773,39760.1568257224,39690.6942424803,39630.6429770288,39580.0523261572,39538.2790954753,39503.9884506558,39475.429396157,39450.8585949396,39428.5525501926,39406.6754475261,39383.4923025978,39357.5195801116,39327.5629601957,39292.6622370449,39252.1582106059,39205.7470160681,39153.465414889,39095.64049509,39032.853108604,38965.9387746301,38895.898697676,38823.8041920013,38750.7359113453,38677.774679846,38605.969327402,38536.2446849759,38469.3395423028,38405.7920536821,38345.9410225862,38289.9213912624,38237.6673399463,38188.9236246465,38143.2702798848
"AZ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",1,1,1,43210,41393.293067945,41166.2746609876,41318.2522854724,41450.0577842631,41546.7262331532,41638.7468145432,41729.2372261963,41826.0749907522,41939.0123886256,42044.2126445843,42126.0543700076,42203.4599524265,42266.6835391147,42330.1796009092,42416.5350278132,42530.0719222401,42653.0503390539,42743.4372801732,42769.840538158,42717.3250844392,42603.0305502697,42465.1446391221,42336.0653852506,42180.7956195588,42009.1866326349,41831.4316096229,41640.0884292407,41440.9875768023,41261.2343889056,41125.5214771709,41015.1063135903,40913.468046534,40819.2696097776,40751.6578262881,40714.9447997479,40698.602655846,40697.5054307366,40707.91198394,40729.6580253372,40754.3322840369,40777.9439029249,40800.1350861316,40816.1298511044,40820.4056106191,40809.6899681373,40782.5607196534,40738.4523489245,40678.1602542782,40602.6993507529,40515.574195099,40421.0949993794,40321.3952451142,40217.841200671,40112.5847131505,40008.4906426338,39908.1317823687,39813.6543399812,39726.7266846484,39648.3696438107,39579.1023572436,39519.2199281919,39468.7715148452,39427.1157311783,39392.9214958012,39364.4427361623,39339.9410166801,39317.69768622,39295.8820918536,39272.7641272124,39246.864428016,39216.9920322678,39182.1894338177,39141.7992859781,39095.5185782659,39043.3839687822,38985.7216259282,38923.1107685496,38856.3845667517,38786.5414101181,38714.6496008678,38641.7867544413,38569.0306561987,38497.4271872138,38427.8985782521,38361.1815419134,38297.8127194559,38238.1299617934,38182.2678317779,38130.1606946997,38081.5540241957
"AZ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",2,1,1,46160,43197.1565273116,41380.9895819695,41154.0386525569,41305.9711041541,41437.737425895,41534.3771416543,41626.3703714168,41716.8338862605,41813.6428673593,41926.5466964202,42031.7156833066,42113.5330826026,42190.9156574657,42254.1204519667,42317.5976405852,42403.9273997371,42517.4305471609,42640.3724106321,42730.7324856969,42757.127895741,42704.6280513903,42590.36748942,42452.5225626263,42323.4816754725,42168.2580612038,41996.700082272,41818.9978940618,41627.711587341,41428.6699144065,41248.9701552336,41113.297581964,41002.9152375025,40901.3071807751,40807.1367429784,40739.5450559965,40702.8429418089,40686.5056553445,40685.4087563676,40695.8122163915,40717.5517941302,40742.218718806,40765.8233195228,40788.0079067596,40803.9979175476,40808.2724061621,40797.5599487314,40770.4387639772,40726.3435037472,40666.0693299496,40590.6308559557,40503.5315968432,40409.0804835345,40309.4103634065,40205.8870987259,40100.6618969916,39996.5987667515,39896.2697365323,39801.8203760344,39714.9185585393,39636.5848080629,39567.338110075,39507.4734801055,39457.0400617326,39415.3966595727,39381.2125878783,39352.7422930895,39328.2478563466,39306.0111373563,39284.2020273219,39261.0909341213,39235.198933191,39205.3354165287,39170.5431625873,39130.165020065,39083.8980685437,39031.7789552282,38974.1337515717,38911.5415042565,38844.8351357415,38775.012738855,38703.1422982806,38630.3011091552,38557.5666364844,38485.9844504711,38416.4765077623,38349.7793019822,38286.4293148809,38226.7642969515,38170.9187710494,38118.8271219738
"AZ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",3,1,1,47290,46150.6957698719,43188.4495020687,41372.6486320128,41145.7434479138,41297.6452752803,41429.3850375718,41526.0052741683,41617.9799613359,41708.4252419214,41805.2147097395,41918.0957813652,42023.2435698882,42105.0444776782,42182.4114549399,42245.6035095805,42309.0679034337,42395.3802615469,42508.860530734,42631.7776134558,42722.1194751123,42748.5095647713,42696.0203025401,42581.7827714745,42443.9656293629,42314.9507523068,42159.7584256514,41988.2350267654,41810.5686570572,41619.3209069183,41420.3193537742,41240.6558157433,41105.0105892858,40994.650494017,40893.0629178949,40798.9114615416,40731.333398663,40694.6386823288,40678.304688886,40677.2080110052,40687.6093740581,40709.3445698636,40734.0065225563,40757.6063654169,40779.7864810223,40795.7732687874,40800.0468958155,40789.336597639,40762.2208795603,40718.1345073816,40657.8724827344,40582.4492144797,40495.3675115101,40400.935436219,40301.2854060766,40197.7830080398,40092.5790159999,39988.5368612215,39888.2280538009,39793.7977309673,39706.9134298177,39628.5954686663,39559.3627283737,39499.510165005,39449.0869122328,39407.4519039161,39373.2747225265,39344.8101663462,39320.320666819,39298.088429968,39276.2837158821,39253.1772810639,39227.290499049,39197.4330018197,39162.6477607713,39122.2777570603,39076.0201313267,39023.9115233888,38966.2779389749,38903.6983080521,38837.0053851914,38767.1970620408,38695.3411080158,38622.5146011085,38549.7947891455,38478.2270315796,38408.7330992238,38342.0493372511,38278.7121192758,38219.0591277125,38163.2248583014
"AZ",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ",4,1,1,44790,47282.6575286696,46143.5301923593,43181.743857064,41366.2249169262,41139.3549632102,41291.2332055732,41422.9525133198,41519.5577481968,41611.518154935,41701.9493925542,41798.7238323771,41911.5873775483,42016.7188403233,42098.5070473136,42175.8620122087,42239.0442553491,42302.4987954172,42388.7977522613,42502.2604019597,42625.158399988,42715.4862347354,42741.8722269431,42689.3911144454,42575.1713204448,42437.375576481,42308.3807308911,42153.2125001378,41981.7157327942,41804.0769484153,41612.8588923158,41413.8882371036,41234.252594492,41098.6284289604,40988.2854687272,40886.7136655775,40792.5768276291,40725.0092572435,40688.3202383063,40671.9887809573,40670.892273352,40681.2920214395,40703.0238425347,40727.6819660948,40751.278144731,40773.4548165458,40789.4391221258,40793.7120856101,40783.0034503656,40755.8919424029,40711.812415285,40651.5597472077,40576.1481895299,40489.0800072815,40394.6625939656,40295.028035963,40191.541708203,40086.3540506375,39982.3280499411,39882.0348169452,39787.6191558146,39700.7483447368,39622.4425436062,39553.2205527196,39493.3772823458,39442.9618585288,39401.3333146623,39367.1614397852,39338.7013031479,39314.2156059774,39291.9868210098,39270.1854924279,39247.0826452251,39221.1998825157,39191.3470211041,39156.5671809784,39116.203445307,39069.9530017534,39017.8524844469,38960.2278484987,38897.6579339883,38830.9753661895,38761.1778818127,38689.3330844864,38616.5178849704,38543.8093638329,38472.2527182189,38402.7695758231,38336.0961674898,38272.7687835537,38213.1250539988
"AZ",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
