"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"MS",0,1,1,19600,18528.4948101255,18699.5497675151,18845.8148496002,18987.9891147449,19108.3689729023,19173.3419107509,19199.6232217214,19186.3290238707,19134.083038207,19057.5578886596,18977.4045434287,18884.9241985311,18779.1839571084,18698.8396698451,18634.0074854346,18572.8803991577,18534.8239523052,18495.4878180443,18441.5229950188,18369.1155973186,18273.0848375029,18173.1019123158,18083.288283471,17990.9133135618,17880.4191079392,17761.2677102886,17639.2645968413,17520.743559615,17428.352296975,17359.1871662893,17301.1074989227,17245.6785632626,17186.224054524,17120.308580463,17051.6449523871,16990.7514059253,16934.0348471701,16880.3210249036,16825.7467921183,16769.5228378763,16713.6177389882,16655.331040307,16594.0021764855,16530.9685358704,16466.0689637538,16397.206117054,16324.9169080391,16251.1001301253,16174.9633742988,16096.7696561732,16018.3853521796,15940.7031970528,15864.0497909901,15788.4835996296,15714.3802714484,15642.3496604266,15572.9567569442,15506.1178602008,15441.3880021147,15378.467605657,15317.0789971562,15257.0930269888,15198.4968176831,15141.0300650283,15084.3573800441,15028.0390680242,14971.5436171037,14914.5296778098,14856.8446185866,14798.3350464067,14738.8635560857,14678.4542643104,14617.1239088356,14554.9049031172,14491.9586567593,14428.4807595965,14364.6732969506,14300.7745607289,14237.0417723422,14173.6921019621,14110.9104204953,14048.8560680598,13987.6525250893,13927.3946259797,13868.1284509261,13809.859548119,13752.5626583357,13696.1603732954,13640.5410316017,13585.5899735669
"MS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",1,1,1,20740,19513.226311703,18446.4649206731,18616.7625785956,18762.3801116684,18903.9249387842,19023.7718477431,19088.4571355175,19114.622093106,19101.3867517135,19049.3720709923,18973.1857158059,18893.387227789,18801.3163145557,18696.0442093958,18616.0556246907,18551.5104672068,18490.6540045386,18452.766042291,18413.6040581042,18359.8781497079,18287.7913161383,18192.1857064868,18092.6454286051,18003.2294252621,17911.263420498,17801.2583980263,17682.6345108981,17561.1715331722,17443.1752157184,17351.1929903552,17282.3340695415,17224.5115341622,17169.3279950932,17110.1367050796,17044.5130539165,16976.1534154458,16915.5294586585,16859.0639970967,16805.5879782215,16751.2553580619,16695.2803201404,16639.622725927,16581.5940758083,16520.5367289109,16457.7821526571,16393.169905808,16324.6119306997,16252.642762567,16179.1527884327,16103.3531074591,16025.5055708297,15947.4682920994,15870.1300536621,15793.8160097813,15718.5843672542,15644.8091114761,15573.097396464,15504.0117112559,15437.4687256142,15373.0254414326,15310.3836079784,15249.2667809051,15189.5463823641,15131.2095918953,15073.9972577141,15017.575475684,14961.5064977281,14905.2611651059,14848.4996395772,14791.0699653207,14732.8194284152,14673.6112320006,14613.4693859934,14552.4105540466,14490.4670061143,14427.7994372034,14364.6025712275,14301.0775988303,14237.4617569463,14174.0111282083,14110.9419213257,14048.4381887394,13986.6585651323,13925.7259842618,13865.7348606703,13806.7310705453,13748.7201375142,13691.6769141826,13635.524334974,13580.1512328426
"MS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",2,1,1,21520,20727.7832783512,19501.7322107232,18435.5991864715,18605.7965319985,18751.3282902946,18892.7897416266,19012.5660557771,19077.2132412296,19103.3627865711,19090.1352413445,19038.1511994313,18962.0097211732,18882.258237781,18790.2415581408,18685.0314626243,18605.0899945187,18540.5828568142,18479.7622411308,18441.8965964671,18402.7576803159,18349.0634187117,18277.0190472819,18181.4697533065,18081.9881087839,17992.6247751816,17900.7129422152,17790.7727172718,17672.2187045414,17550.8272735556,17432.9004608349,17340.9724168239,17272.1540567754,17214.3655812717,17159.2145475998,17100.0581237152,17034.4731276089,16966.1537558053,16905.5655090471,16849.1333079881,16795.6887887097,16741.3881727207,16685.446106422,16629.8212968439,16571.8268280109,16510.8054464274,16448.0878352263,16383.5136476749,16314.9960560622,16243.0692807594,16169.6225952731,16093.8675634607,16016.0658822646,15938.0745707335,15860.7818877317,15784.5127959933,15709.3254680291,15635.5936689417,15563.924195109,15494.8792042397,15428.375415181,15363.9700907712,15301.3651559594,15240.2843292363,15180.5991084911,15122.2966808155,15065.1180470761,15008.7294998197,14952.6935488212,14896.4813470367,14839.7532564046,14782.3574106122,14724.141185693,14664.9678653659,14604.8614454045,14543.8385796465,14481.9315190374,14419.3008639281,14356.1412235318,14292.6536699825,14229.0753004723,14165.6620467907,14102.6299902912,14040.1630750001,13978.4198421579,13917.5231531091,13857.5673667817,13798.5983323404,13740.6215701589,13683.6119476558,13627.4924446492
"MS",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",3,1,1,21120,21511.1458268757,20719.2550542978,19493.708432228,18428.0140569712,18598.1413766263,18743.6132574418,18885.0165059774,19004.7435394484,19069.36412651,19095.5029129015,19082.2808100066,19030.3181563697,18954.2080057059,18874.489335206,18782.5105148414,18677.34370689,18597.4351298438,18532.954532909,18472.1589412154,18434.308875965,18395.186063101,18341.5138934247,18269.4991638786,18173.989182635,18074.5484687678,17985.2219027504,17893.3478859216,17783.4528947043,17664.9476597506,17543.6061739666,17425.7278809679,17333.8376597644,17265.0476142918,17207.2829152363,17152.1545728655,17093.0224882569,17027.4644763937,16959.1732138626,16898.6098954886,16842.2009128532,16788.7783827489,16734.5001081657,16678.5810586301,16622.9791352831,16565.0085276521,16504.0122526615,16441.3204459486,16376.7728267539,16308.2834259692,16236.3862441665,16162.9697775309,16087.2459143136,16009.4762437845,15931.5170209419,15854.2561391853,15778.0184275463,15702.8620346017,15629.1605716719,15557.5205854754,15488.5040024268,15422.0275756386,15357.6487501086,15295.0695734255,15234.0138777533,15174.3532138519,15116.0747740846,15058.9196658806,15002.554319087,14946.5414234794,14890.3523496022,14833.6475991345,14776.2753682471,14718.083095769,14658.9341216697,14598.85243185,14537.8546732954,14475.9730836822,14413.368197284,14350.2345432442,14286.7731109676,14223.2209000955,14159.8337371168,14096.8276144807,14034.3864005318,13972.6685712803,13911.7969375209,13851.8658193585,13792.9210470938,13734.9681388292,13677.9819723236
"MS",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",4,1,1,20600,21113.1438511299,21504.1627010162,20712.5289985625,19487.3802235613,18422.0318028162,18592.1038943354,18737.5285508672,18878.8858959121,18998.5740626045,19063.1736719973,19089.3039730001,19076.0861623734,19024.1403772823,18948.0549341245,18868.3621425578,18776.4131811178,18671.2805132843,18591.3978768206,18526.9382121098,18466.1623563834,18428.3245783338,18389.2144658405,18335.5597196673,18263.5683681376,18168.0893921332,18068.680959532,17979.3833914424,17887.5391995158,17777.6798833184,17659.213118513,17537.9110236046,17420.0709972311,17328.2106061903,17259.4428919105,17201.6969449089,17146.586498756,17087.4736100931,17021.9368802133,16953.667786956,16893.1241291467,16836.7334584613,16783.32827082,16729.0676164987,16673.1667198669,16617.5828464756,16559.6310577421,16498.6545838661,16435.9831286854,16371.4564634721,16302.9892962825,16231.1154543368,16157.7228207611,16082.0235396499,16004.2791153537,15926.345200278,15849.1093995871,15772.8964368639,15697.7644418083,15624.0869044563,15552.4701746239,15483.4759963086,15417.0211496473,15352.6632233034,15290.1043615897,15229.0684863218,15169.4271899579,15111.1676690192,15054.0311149786,14997.6840659695,14941.6893537307,14885.5185204149,14828.8321779116,14771.4785716718,14713.30519005,14654.1754173792,14594.113231774,14533.1352748157,14471.2737737153,14408.6892106325,14345.576051561,14282.1352206589,14218.6036406305,14155.2370549162,14092.2513858482,14029.8304420819,13968.132648182,13907.2807750752,13847.3691122475,13788.4434751217,13730.5093800088
"MS",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
