"from","to","gender","age","mrate"
"FL","AL","m","0","0.000888074"
"FL","AL","m","1","0.000888074"
"FL","AL","m","2","0.000888074"
"FL","AL","m","3","0.000888074"
"FL","AL","m","4","0.000888074"
"FL","AL","m","5","0.000841184"
"FL","AL","m","6","0.000841184"
"FL","AL","m","7","0.000841184"
"FL","AL","m","8","0.000841184"
"FL","AL","m","9","0.000841184"
"FL","AL","m","10","0.000949532"
"FL","AL","m","11","0.000949532"
"FL","AL","m","12","0.000949532"
"FL","AL","m","13","0.000949532"
"FL","AL","m","14","0.000949532"
"FL","AL","m","15","0.00129386"
"FL","AL","m","16","0.00129386"
"FL","AL","m","17","0.00129386"
"FL","AL","m","18","0.00129386"
"FL","AL","m","19","0.00129386"
"FL","AL","m","20","0.001722241"
"FL","AL","m","21","0.001722241"
"FL","AL","m","22","0.001722241"
"FL","AL","m","23","0.001722241"
"FL","AL","m","24","0.001722241"
"FL","AL","m","25","0.001661883"
"FL","AL","m","26","0.001661883"
"FL","AL","m","27","0.001661883"
"FL","AL","m","28","0.001661883"
"FL","AL","m","29","0.001661883"
"FL","AL","m","30","0.001289612"
"FL","AL","m","31","0.001289612"
"FL","AL","m","32","0.001289612"
"FL","AL","m","33","0.001289612"
"FL","AL","m","34","0.001289612"
"FL","AL","m","35","0.000887351"
"FL","AL","m","36","0.000887351"
"FL","AL","m","37","0.000887351"
"FL","AL","m","38","0.000887351"
"FL","AL","m","39","0.000887351"
"FL","AL","m","40","0.000762813"
"FL","AL","m","41","0.000762813"
"FL","AL","m","42","0.000762813"
"FL","AL","m","43","0.000762813"
"FL","AL","m","44","0.000762813"
"FL","AL","m","45","0.000666362"
"FL","AL","m","46","0.000666362"
"FL","AL","m","47","0.000666362"
"FL","AL","m","48","0.000666362"
"FL","AL","m","49","0.000666362"
"FL","AL","m","50","0.000599027"
"FL","AL","m","51","0.000599027"
"FL","AL","m","52","0.000599027"
"FL","AL","m","53","0.000599027"
"FL","AL","m","54","0.000599027"
"FL","AL","m","55","0.000623535"
"FL","AL","m","56","0.000623535"
"FL","AL","m","57","0.000623535"
"FL","AL","m","58","0.000623535"
"FL","AL","m","59","0.000623535"
"FL","AL","m","60","0.000686924"
"FL","AL","m","61","0.000686924"
"FL","AL","m","62","0.000686924"
"FL","AL","m","63","0.000686924"
"FL","AL","m","64","0.000686924"
"FL","AL","m","65","0.000563053"
"FL","AL","m","66","0.000563053"
"FL","AL","m","67","0.000563053"
"FL","AL","m","68","0.000563053"
"FL","AL","m","69","0.000563053"
"FL","AL","m","70","0.000427546"
"FL","AL","m","71","0.000427546"
"FL","AL","m","72","0.000427546"
"FL","AL","m","73","0.000427546"
"FL","AL","m","74","0.000427546"
"FL","AL","m","75","0.00024997"
"FL","AL","m","76","0.00024997"
"FL","AL","m","77","0.00024997"
"FL","AL","m","78","0.00024997"
"FL","AL","m","79","0.00024997"
"FL","AL","m","80","0.000307375"
"FL","AL","m","81","0.000307375"
"FL","AL","m","82","0.000307375"
"FL","AL","m","83","0.000307375"
"FL","AL","m","84","0.000307375"
"FL","AL","m","85","0.000190072"
"FL","AL","m","86","0.000190072"
"FL","AL","m","87","0.000190072"
"FL","AL","m","88","0.000190072"
"FL","AL","m","89","0.000190072"
"FL","AL","m","90","0.000141454"
"FL","AL","m","91","0.000141454"
"FL","AL","m","92","0.000141454"
"FL","AL","m","93","0.000141454"
"FL","AL","m","94","0.000141454"
"FL","AL","m","95","0"
"FL","AL","m","96","0"
"FL","AL","m","97","0"
"FL","AL","m","98","0"
"FL","AL","m","99","0"
"FL","AL","m","100","0"
"FL","AL","f","0","0.000681965"
"FL","AL","f","1","0.000681965"
"FL","AL","f","2","0.000681965"
"FL","AL","f","3","0.000681965"
"FL","AL","f","4","0.000681965"
"FL","AL","f","5","0.000692695"
"FL","AL","f","6","0.000692695"
"FL","AL","f","7","0.000692695"
"FL","AL","f","8","0.000692695"
"FL","AL","f","9","0.000692695"
"FL","AL","f","10","0.000921118"
"FL","AL","f","11","0.000921118"
"FL","AL","f","12","0.000921118"
"FL","AL","f","13","0.000921118"
"FL","AL","f","14","0.000921118"
"FL","AL","f","15","0.001366582"
"FL","AL","f","16","0.001366582"
"FL","AL","f","17","0.001366582"
"FL","AL","f","18","0.001366582"
"FL","AL","f","19","0.001366582"
"FL","AL","f","20","0.001603762"
"FL","AL","f","21","0.001603762"
"FL","AL","f","22","0.001603762"
"FL","AL","f","23","0.001603762"
"FL","AL","f","24","0.001603762"
"FL","AL","f","25","0.001464298"
"FL","AL","f","26","0.001464298"
"FL","AL","f","27","0.001464298"
"FL","AL","f","28","0.001464298"
"FL","AL","f","29","0.001464298"
"FL","AL","f","30","0.001028817"
