"from","to","gender","age","rate"
"AK","GA","m","0","0.002859236"
"AK","GA","m","1","0.002859236"
"AK","GA","m","2","0.002859236"
"AK","GA","m","3","0.002859236"
"AK","GA","m","4","0.002859236"
"AK","GA","m","5","0.002512617"
"AK","GA","m","6","0.002512617"
"AK","GA","m","7","0.002512617"
"AK","GA","m","8","0.002512617"
"AK","GA","m","9","0.002512617"
"AK","GA","m","10","0.002132045"
"AK","GA","m","11","0.002132045"
"AK","GA","m","12","0.002132045"
"AK","GA","m","13","0.002132045"
"AK","GA","m","14","0.002132045"
"AK","GA","m","15","0.001562679"
"AK","GA","m","16","0.001562679"
"AK","GA","m","17","0.001562679"
"AK","GA","m","18","0.001562679"
"AK","GA","m","19","0.001562679"
"AK","GA","m","20","0.002205893"
"AK","GA","m","21","0.002205893"
"AK","GA","m","22","0.002205893"
"AK","GA","m","23","0.002205893"
"AK","GA","m","24","0.002205893"
"AK","GA","m","25","0.005267578"
"AK","GA","m","26","0.005267578"
"AK","GA","m","27","0.005267578"
"AK","GA","m","28","0.005267578"
"AK","GA","m","29","0.005267578"
"AK","GA","m","30","0.005338972"
"AK","GA","m","31","0.005338972"
"AK","GA","m","32","0.005338972"
"AK","GA","m","33","0.005338972"
"AK","GA","m","34","0.005338972"
"AK","GA","m","35","0.00287795"
"AK","GA","m","36","0.00287795"
"AK","GA","m","37","0.00287795"
"AK","GA","m","38","0.00287795"
"AK","GA","m","39","0.00287795"
"AK","GA","m","40","0.001021549"
"AK","GA","m","41","0.001021549"
"AK","GA","m","42","0.001021549"
"AK","GA","m","43","0.001021549"
"AK","GA","m","44","0.001021549"
"AK","GA","m","45","0.001189608"
"AK","GA","m","46","0.001189608"
"AK","GA","m","47","0.001189608"
"AK","GA","m","48","0.001189608"
"AK","GA","m","49","0.001189608"
"AK","GA","m","50","0.001110988"
"AK","GA","m","51","0.001110988"
"AK","GA","m","52","0.001110988"
"AK","GA","m","53","0.001110988"
"AK","GA","m","54","0.001110988"
"AK","GA","m","55","0.000208068"
"AK","GA","m","56","0.000208068"
"AK","GA","m","57","0.000208068"
"AK","GA","m","58","0.000208068"
"AK","GA","m","59","0.000208068"
"AK","GA","m","60","0.00138674"
"AK","GA","m","61","0.00138674"
"AK","GA","m","62","0.00138674"
"AK","GA","m","63","0.00138674"
"AK","GA","m","64","0.00138674"
"AK","GA","m","65","0.001550423"
"AK","GA","m","66","0.001550423"
"AK","GA","m","67","0.001550423"
