"from","to","gender","age","rate"
"AK","ID","m","0","0.000523179"
"AK","ID","m","1","0.000523179"
"AK","ID","m","2","0.000523179"
"AK","ID","m","3","0.000523179"
"AK","ID","m","4","0.000523179"
"AK","ID","m","5","0.002790394"
"AK","ID","m","6","0.002790394"
"AK","ID","m","7","0.002790394"
"AK","ID","m","8","0.002790394"
"AK","ID","m","9","0.002790394"
"AK","ID","m","10","0.001840158"
"AK","ID","m","11","0.001840158"
"AK","ID","m","12","0.001840158"
"AK","ID","m","13","0.001840158"
"AK","ID","m","14","0.001840158"
"AK","ID","m","15","0.002568123"
"AK","ID","m","16","0.002568123"
"AK","ID","m","17","0.002568123"
"AK","ID","m","18","0.002568123"
"AK","ID","m","19","0.002568123"
"AK","ID","m","20","0.001933933"
"AK","ID","m","21","0.001933933"
"AK","ID","m","22","0.001933933"
"AK","ID","m","23","0.001933933"
"AK","ID","m","24","0.001933933"
"AK","ID","m","25","0.001579121"
"AK","ID","m","26","0.001579121"
"AK","ID","m","27","0.001579121"
"AK","ID","m","28","0.001579121"
"AK","ID","m","29","0.001579121"
"AK","ID","m","30","0.003511097"
"AK","ID","m","31","0.003511097"
"AK","ID","m","32","0.003511097"
"AK","ID","m","33","0.003511097"
"AK","ID","m","34","0.003511097"
"AK","ID","m","35","0.001272662"
"AK","ID","m","36","0.001272662"
"AK","ID","m","37","0.001272662"
"AK","ID","m","38","0.001272662"
"AK","ID","m","39","0.001272662"
"AK","ID","m","40","0.001280169"
"AK","ID","m","41","0.001280169"
"AK","ID","m","42","0.001280169"
"AK","ID","m","43","0.001280169"
"AK","ID","m","44","0.001280169"
"AK","ID","m","45","0.002986675"
"AK","ID","m","46","0.002986675"
"AK","ID","m","47","0.002986675"
"AK","ID","m","48","0.002986675"
"AK","ID","m","49","0.002986675"
"AK","ID","m","50","0.004993475"
"AK","ID","m","51","0.004993475"
"AK","ID","m","52","0.004993475"
"AK","ID","m","53","0.004993475"
"AK","ID","m","54","0.004993475"
"AK","ID","m","55","0.000299098"
"AK","ID","m","56","0.000299098"
"AK","ID","m","57","0.000299098"
"AK","ID","m","58","0.000299098"
"AK","ID","m","59","0.000299098"
"AK","ID","m","60","0.002807302"
"AK","ID","m","61","0.002807302"
"AK","ID","m","62","0.002807302"
"AK","ID","m","63","0.002807302"
"AK","ID","m","64","0.002807302"
"AK","ID","m","65","0.001292019"
"AK","ID","m","66","0.001292019"
"AK","ID","m","67","0.001292019"
"AK","ID","m","68","0.001292019"
"AK","ID","m","69","0.001292019"
"AK","ID","m","70","0"
"AK","ID","m","71","0"
"AK","ID","m","72","0"
"AK","ID","m","73","0"
"AK","ID","m","74","0"
"AK","ID","m","75","0.012260423"
"AK","ID","m","76","0.012260423"
"AK","ID","m","77","0.012260423"
"AK","ID","m","78","0.012260423"
"AK","ID","m","79","0.012260423"
"AK","ID","m","80","0"
"AK","ID","m","81","0"
"AK","ID","m","82","0"
"AK","ID","m","83","0"
"AK","ID","m","84","0"
"AK","ID","m","85","0"
"AK","ID","m","86","0"
"AK","ID","m","87","0"
"AK","ID","m","88","0"
"AK","ID","m","89","0"
"AK","ID","m","90","0"
"AK","ID","m","91","0"
"AK","ID","m","92","0"
"AK","ID","m","93","0"
"AK","ID","m","94","0"
"AK","ID","m","95","0"
"AK","ID","m","96","0"
"AK","ID","m","97","0"
"AK","ID","m","98","0"
"AK","ID","m","99","0"
"AK","ID","m","100","0"
"AK","ID","f","0","0.000849319"
"AK","ID","f","1","0.000849319"
"AK","ID","f","2","0.000849319"
"AK","ID","f","3","0.000849319"
"AK","ID","f","4","0.000849319"
"AK","ID","f","5","0.003957146"
"AK","ID","f","6","0.003957146"
"AK","ID","f","7","0.003957146"
"AK","ID","f","8","0.003957146"
"AK","ID","f","9","0.003957146"
"AK","ID","f","10","0.000526941"
"AK","ID","f","11","0.000526941"
"AK","ID","f","12","0.000526941"
"AK","ID","f","13","0.000526941"
"AK","ID","f","14","0.000526941"
"AK","ID","f","15","0.003424146"
"AK","ID","f","16","0.003424146"
"AK","ID","f","17","0.003424146"
"AK","ID","f","18","0.003424146"
"AK","ID","f","19","0.003424146"
"AK","ID","f","20","0.000801372"
"AK","ID","f","21","0.000801372"
"AK","ID","f","22","0.000801372"
"AK","ID","f","23","0.000801372"
"AK","ID","f","24","0.000801372"
"AK","ID","f","25","0.004116259"
"AK","ID","f","26","0.004116259"
"AK","ID","f","27","0.004116259"
"AK","ID","f","28","0.004116259"
"AK","ID","f","29","0.004116259"
"AK","ID","f","30","0.001085229"
"AK","ID","f","31","0.001085229"
"AK","ID","f","32","0.001085229"
"AK","ID","f","33","0.001085229"
"AK","ID","f","34","0.001085229"
"AK","ID","f","35","0"
"AK","ID","f","36","0"
"AK","ID","f","37","0"
"AK","ID","f","38","0"
"AK","ID","f","39","0"
"AK","ID","f","40","0.001594946"
"AK","ID","f","41","0.001594946"
"AK","ID","f","42","0.001594946"
"AK","ID","f","43","0.001594946"
"AK","ID","f","44","0.001594946"
"AK","ID","f","45","0.00180908"
"AK","ID","f","46","0.00180908"
"AK","ID","f","47","0.00180908"
"AK","ID","f","48","0.00180908"
"AK","ID","f","49","0.00180908"
"AK","ID","f","50","0.001512517"
"AK","ID","f","51","0.001512517"
"AK","ID","f","52","0.001512517"
"AK","ID","f","53","0.001512517"
"AK","ID","f","54","0.001512517"
"AK","ID","f","55","0.003967276"
"AK","ID","f","56","0.003967276"
"AK","ID","f","57","0.003967276"
"AK","ID","f","58","0.003967276"
"AK","ID","f","59","0.003967276"
"AK","ID","f","60","0.000292872"
"AK","ID","f","61","0.000292872"
"AK","ID","f","62","0.000292872"
"AK","ID","f","63","0.000292872"
"AK","ID","f","64","0.000292872"
"AK","ID","f","65","0.000087294"
"AK","ID","f","66","0.000087294"
"AK","ID","f","67","0.000087294"
"AK","ID","f","68","0.000087294"
"AK","ID","f","69","0.000087294"
"AK","ID","f","70","0"
"AK","ID","f","71","0"
"AK","ID","f","72","0"
"AK","ID","f","73","0"
"AK","ID","f","74","0"
"AK","ID","f","75","0.000833015"
"AK","ID","f","76","0.000833015"
"AK","ID","f","77","0.000833015"
"AK","ID","f","78","0.000833015"
"AK","ID","f","79","0.000833015"
"AK","ID","f","80","0.002268723"
"AK","ID","f","81","0.002268723"
"AK","ID","f","82","0.002268723"
"AK","ID","f","83","0.002268723"
"AK","ID","f","84","0.002268723"
"AK","ID","f","85","0"
"AK","ID","f","86","0"
"AK","ID","f","87","0"
"AK","ID","f","88","0"
"AK","ID","f","89","0"
"AK","ID","f","90","0.00145218"
"AK","ID","f","91","0.00145218"
"AK","ID","f","92","0.00145218"
"AK","ID","f","93","0.00145218"
"AK","ID","f","94","0.00145218"
"AK","ID","f","95","0"
"AK","ID","f","96","0"
"AK","ID","f","97","0"
"AK","ID","f","98","0"
"AK","ID","f","99","0"
"AK","ID","f","100","0"
"AL","ID","m","0","0.0000176"
"AL","ID","m","1","0.0000176"
"AL","ID","m","2","0.0000176"
"AL","ID","m","3","0.0000176"
"AL","ID","m","4","0.0000176"
"AL","ID","m","5","0.0000321"
"AL","ID","m","6","0.0000321"
"AL","ID","m","7","0.0000321"
"AL","ID","m","8","0.0000321"
"AL","ID","m","9","0.0000321"
"AL","ID","m","10","0"
"AL","ID","m","11","0"
"AL","ID","m","12","0"
"AL","ID","m","13","0"
"AL","ID","m","14","0"
"AL","ID","m","15","0"
"AL","ID","m","16","0"
"AL","ID","m","17","0"
"AL","ID","m","18","0"
"AL","ID","m","19","0"
"AL","ID","m","20","0.000165863"
"AL","ID","m","21","0.000165863"
"AL","ID","m","22","0.000165863"
"AL","ID","m","23","0.000165863"
"AL","ID","m","24","0.000165863"
"AL","ID","m","25","0"
"AL","ID","m","26","0"
"AL","ID","m","27","0"
"AL","ID","m","28","0"
"AL","ID","m","29","0"
"AL","ID","m","30","0.000133221"
"AL","ID","m","31","0.000133221"
"AL","ID","m","32","0.000133221"
"AL","ID","m","33","0.000133221"
"AL","ID","m","34","0.000133221"
"AL","ID","m","35","0"
"AL","ID","m","36","0"
"AL","ID","m","37","0"
"AL","ID","m","38","0"
"AL","ID","m","39","0"
"AL","ID","m","40","0"
"AL","ID","m","41","0"
"AL","ID","m","42","0"
"AL","ID","m","43","0"
"AL","ID","m","44","0"
"AL","ID","m","45","0.0000515"
"AL","ID","m","46","0.0000515"
"AL","ID","m","47","0.0000515"
"AL","ID","m","48","0.0000515"
"AL","ID","m","49","0.0000515"
"AL","ID","m","50","0.000203156"
"AL","ID","m","51","0.000203156"
"AL","ID","m","52","0.000203156"
"AL","ID","m","53","0.000203156"
"AL","ID","m","54","0.000203156"
"AL","ID","m","55","0"
"AL","ID","m","56","0"
"AL","ID","m","57","0"
"AL","ID","m","58","0"
"AL","ID","m","59","0"
"AL","ID","m","60","0"
"AL","ID","m","61","0"
"AL","ID","m","62","0"
"AL","ID","m","63","0"
"AL","ID","m","64","0"
"AL","ID","m","65","0"
"AL","ID","m","66","0"
"AL","ID","m","67","0"
"AL","ID","m","68","0"
"AL","ID","m","69","0"
"AL","ID","m","70","0"
"AL","ID","m","71","0"
"AL","ID","m","72","0"
"AL","ID","m","73","0"
"AL","ID","m","74","0"
"AL","ID","m","75","0"
"AL","ID","m","76","0"
"AL","ID","m","77","0"
"AL","ID","m","78","0"
"AL","ID","m","79","0"
"AL","ID","m","80","0"
"AL","ID","m","81","0"
"AL","ID","m","82","0"
"AL","ID","m","83","0"
"AL","ID","m","84","0"
"AL","ID","m","85","0"
"AL","ID","m","86","0"
"AL","ID","m","87","0"
"AL","ID","m","88","0"
"AL","ID","m","89","0"
"AL","ID","m","90","0"
"AL","ID","m","91","0"
"AL","ID","m","92","0"
"AL","ID","m","93","0"
"AL","ID","m","94","0"
"AL","ID","m","95","0"
"AL","ID","m","96","0"
"AL","ID","m","97","0"
"AL","ID","m","98","0"
"AL","ID","m","99","0"
"AL","ID","m","100","0"
"AL","ID","f","0","0"
"AL","ID","f","1","0"
"AL","ID","f","2","0"
"AL","ID","f","3","0"
"AL","ID","f","4","0"
"AL","ID","f","5","0.0000199"
"AL","ID","f","6","0.0000199"
"AL","ID","f","7","0.0000199"
"AL","ID","f","8","0.0000199"
"AL","ID","f","9","0.0000199"
"AL","ID","f","10","0"
"AL","ID","f","11","0"
"AL","ID","f","12","0"
"AL","ID","f","13","0"
"AL","ID","f","14","0"
"AL","ID","f","15","0.0000533"
"AL","ID","f","16","0.0000533"
"AL","ID","f","17","0.0000533"
"AL","ID","f","18","0.0000533"
"AL","ID","f","19","0.0000533"
"AL","ID","f","20","0.0000433"
"AL","ID","f","21","0.0000433"
"AL","ID","f","22","0.0000433"
"AL","ID","f","23","0.0000433"
"AL","ID","f","24","0.0000433"
"AL","ID","f","25","0"
"AL","ID","f","26","0"
"AL","ID","f","27","0"
"AL","ID","f","28","0"
"AL","ID","f","29","0"
"AL","ID","f","30","0"
"AL","ID","f","31","0"
"AL","ID","f","32","0"
"AL","ID","f","33","0"
"AL","ID","f","34","0"
"AL","ID","f","35","0.0000192"
"AL","ID","f","36","0.0000192"
"AL","ID","f","37","0.0000192"
"AL","ID","f","38","0.0000192"
