region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
KY,840-21,0,,,27000,28750,,
KY,840-21,1,,,27300,27340,,
KY,840-21,2,,,28000,29860,,
KY,840-21,3,,,28630,28940,,
KY,840-21,4,,,27840,29400,,
KY,840-21,5,,,28200,28370,,
KY,840-21,6,,,28080,28850,,
KY,840-21,7,,,25900,28590,,
KY,840-21,8,,,27700,28970,,
KY,840-21,9,,,28220,30050,,
KY,840-21,10,,,29160,29220,,
KY,840-21,11,,,28010,29180,,
KY,840-21,12,,,27550,29540,,
KY,840-21,13,,,26890,28740,,
KY,840-21,14,,,26800,28980,,
KY,840-21,15,,,27640,28830,,
KY,840-21,16,,,28580,28940,,
KY,840-21,17,,,28700,29140,,
KY,840-21,18,,,28320,30600,,
KY,840-21,19,,,30630,31890,,
KY,840-21,20,,,30030,30860,,
KY,840-21,21,,,28480,30210,,
KY,840-21,22,,,28950,29640,,
KY,840-21,23,,,27910,29390,,
KY,840-21,24,,,28140,29090,,
KY,840-21,25,,,27710,29540,,
KY,840-21,26,,,27020,27200,,
KY,840-21,27,,,28430,28840,,
KY,840-21,28,,,28660,28830,,
KY,840-21,29,,,29160,28700,,
KY,840-21,30,,,29470,31120,,
KY,840-21,31,,,27190,28080,,
KY,840-21,32,,,27260,28280,,
KY,840-21,33,,,27470,28030,,
KY,840-21,34,,,27230,27040,,
KY,840-21,35,,,27410,28500,,
KY,840-21,36,,,27330,26880,,
KY,840-21,37,,,27350,27520,,
KY,840-21,38,,,28320,30110,,
KY,840-21,39,,,31250,31600,,
KY,840-21,40,,,30490,29780,,
KY,840-21,41,,,28510,28900,,
KY,840-21,42,,,28230,27510,,
KY,840-21,43,,,28660,28450,,
KY,840-21,44,,,29730,29720,,
KY,840-21,45,,,33090,31830,,
KY,840-21,46,,,32580,31260,,
KY,840-21,47,,,31960,31960,,
KY,840-21,48,,,32820,30700,,
KY,840-21,49,,,32770,33070,,
KY,840-21,50,,,33180,33720,,
KY,840-21,51,,,33100,31760,,
KY,840-21,52,,,34360,31380,,
KY,840-21,53,,,31080,30670,,
KY,840-21,54,,,30860,30210,,
KY,840-21,55,,,32260,30990,,
KY,840-21,56,,,30300,28040,,
KY,840-21,57,,,29350,27850,,
KY,840-21,58,,,29290,26870,,
KY,840-21,59,,,27410,25660,,
KY,840-21,60,,,28660,27210,,
KY,840-21,61,,,26780,25400,,
KY,840-21,62,,,27860,26370,,
KY,840-21,63,,,26530,25430,,
KY,840-21,64,,,19910,18080,,
KY,840-21,65,,,20980,18770,,
KY,840-21,66,,,20380,17770,,
KY,840-21,67,,,21100,18210,,
KY,840-21,68,,,18960,16560,,
KY,840-21,69,,,17580,15250,,
KY,840-21,70,,,16670,14110,,
KY,840-21,71,,,15420,14150,,
KY,840-21,72,,,15540,13190,,
KY,840-21,73,,,13820,11190,,
KY,840-21,74,,,13820,11010,,
KY,840-21,75,,,12940,10280,,
KY,840-21,76,,,12840,9180,,
KY,840-21,77,,,11750,9140,,
KY,840-21,78,,,11740,7880,,
KY,840-21,79,,,11230,8120,,
KY,840-21,80,,,10460,7480,,
KY,840-21,81,,,10400,6750,,
KY,840-21,82,,,9620,6340,,
KY,840-21,83,,,9290,5170,,
KY,840-21,84,,,8320,5000,,
KY,840-21,85,,,7780,4320,,
KY,840-21,86,,,6760,3640,,
KY,840-21,87,,,6360,3090,,
KY,840-21,88,,,5460,2450,,
KY,840-21,89,,,4760,2260,,
KY,840-21,90,,,3806.683692,1452.485636,,
KY,840-21,91,,,2978.476216,1071.331167,,
KY,840-21,92,,,2547.140118,857.34845,,
KY,840-21,93,,,1970.454419,618.2396356,,
KY,840-21,94,,,1574.463573,450.1844651,,
KY,840-21,95,,,1232.048689,326.0023773,,
KY,840-21,96,,,931.886883,226.2375963,,
KY,840-21,97,,,671.2125455,151.7632695,,
KY,840-21,98,,,465.4659705,97.60759354,,
KY,840-21,99,,,323.3656537,62.73306396,,
KY,840-21,100,,,558.8022408,96.0667454,,
