year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2015,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2020,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2025,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2030,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2035,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2040,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2045,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2050,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2055,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2060,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2065,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2070,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2075,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2080,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2085,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2090,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2095,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
2100,1.77,1.77,1.77,76.5,80.9,76.5,80.9,76.5,80.9,0.387,105,105,105,1262.362318,1175.142461
