"from","to","gender","age","mrate"
"MI","AL","m","0","0.000359189"
"MI","AL","m","1","0.000359189"
"MI","AL","m","2","0.000359189"
"MI","AL","m","3","0.000359189"
"MI","AL","m","4","0.000359189"
"MI","AL","m","5","0.000335957"
"MI","AL","m","6","0.000335957"
"MI","AL","m","7","0.000335957"
"MI","AL","m","8","0.000335957"
"MI","AL","m","9","0.000335957"
"MI","AL","m","10","0.000568818"
"MI","AL","m","11","0.000568818"
"MI","AL","m","12","0.000568818"
"MI","AL","m","13","0.000568818"
"MI","AL","m","14","0.000568818"
"MI","AL","m","15","0.000701158"
"MI","AL","m","16","0.000701158"
"MI","AL","m","17","0.000701158"
"MI","AL","m","18","0.000701158"
"MI","AL","m","19","0.000701158"
"MI","AL","m","20","0.000871026"
"MI","AL","m","21","0.000871026"
"MI","AL","m","22","0.000871026"
"MI","AL","m","23","0.000871026"
"MI","AL","m","24","0.000871026"
"MI","AL","m","25","0.000672429"
"MI","AL","m","26","0.000672429"
"MI","AL","m","27","0.000672429"
"MI","AL","m","28","0.000672429"
"MI","AL","m","29","0.000672429"
"MI","AL","m","30","0.000474699"
"MI","AL","m","31","0.000474699"
"MI","AL","m","32","0.000474699"
"MI","AL","m","33","0.000474699"
"MI","AL","m","34","0.000474699"
"MI","AL","m","35","0.000327889"
"MI","AL","m","36","0.000327889"
"MI","AL","m","37","0.000327889"
"MI","AL","m","38","0.000327889"
"MI","AL","m","39","0.000327889"
"MI","AL","m","40","0.000273154"
"MI","AL","m","41","0.000273154"
"MI","AL","m","42","0.000273154"
"MI","AL","m","43","0.000273154"
"MI","AL","m","44","0.000273154"
"MI","AL","m","45","0.000295394"
"MI","AL","m","46","0.000295394"
"MI","AL","m","47","0.000295394"
"MI","AL","m","48","0.000295394"
"MI","AL","m","49","0.000295394"
"MI","AL","m","50","0.000231376"
"MI","AL","m","51","0.000231376"
"MI","AL","m","52","0.000231376"
"MI","AL","m","53","0.000231376"
"MI","AL","m","54","0.000231376"
"MI","AL","m","55","0.000232366"
"MI","AL","m","56","0.000232366"
"MI","AL","m","57","0.000232366"
"MI","AL","m","58","0.000232366"
"MI","AL","m","59","0.000232366"
"MI","AL","m","60","0.000159796"
"MI","AL","m","61","0.000159796"
"MI","AL","m","62","0.000159796"
"MI","AL","m","63","0.000159796"
"MI","AL","m","64","0.000159796"
"MI","AL","m","65","0.000253026"
"MI","AL","m","66","0.000253026"
"MI","AL","m","67","0.000253026"
"MI","AL","m","68","0.000253026"
"MI","AL","m","69","0.000253026"
"MI","AL","m","70","0.000318024"
"MI","AL","m","71","0.000318024"
"MI","AL","m","72","0.000318024"
"MI","AL","m","73","0.000318024"
"MI","AL","m","74","0.000318024"
"MI","AL","m","75","0.000264207"
"MI","AL","m","76","0.000264207"
"MI","AL","m","77","0.000264207"
"MI","AL","m","78","0.000264207"
"MI","AL","m","79","0.000264207"
"MI","AL","m","80","0.000115439"
"MI","AL","m","81","0.000115439"
"MI","AL","m","82","0.000115439"
"MI","AL","m","83","0.000115439"
"MI","AL","m","84","0.000115439"
"MI","AL","m","85","0.000130762"
"MI","AL","m","86","0.000130762"
"MI","AL","m","87","0.000130762"
"MI","AL","m","88","0.000130762"
"MI","AL","m","89","0.000130762"
"MI","AL","m","90","0.000122279"
"MI","AL","m","91","0.000122279"
"MI","AL","m","92","0.000122279"
"MI","AL","m","93","0.000122279"
"MI","AL","m","94","0.000122279"
"MI","AL","m","95","0.000183419"
"MI","AL","m","96","0.000183419"
"MI","AL","m","97","0.000183419"
"MI","AL","m","98","0.000183419"
"MI","AL","m","99","0.000183419"
"MI","AL","m","100","0.000183419"
"MI","AL","f","0","0.000361015"
"MI","AL","f","1","0.000361015"
"MI","AL","f","2","0.000361015"
"MI","AL","f","3","0.000361015"
"MI","AL","f","4","0.000361015"
"MI","AL","f","5","0.000344391"
"MI","AL","f","6","0.000344391"
"MI","AL","f","7","0.000344391"
"MI","AL","f","8","0.000344391"
"MI","AL","f","9","0.000344391"
"MI","AL","f","10","0.000345389"
"MI","AL","f","11","0.000345389"
"MI","AL","f","12","0.000345389"
"MI","AL","f","13","0.000345389"
"MI","AL","f","14","0.000345389"
"MI","AL","f","15","0.000381242"
"MI","AL","f","16","0.000381242"
"MI","AL","f","17","0.000381242"
"MI","AL","f","18","0.000381242"
"MI","AL","f","19","0.000381242"
"MI","AL","f","20","0.000478511"
"MI","AL","f","21","0.000478511"
"MI","AL","f","22","0.000478511"
"MI","AL","f","23","0.000478511"
"MI","AL","f","24","0.000478511"
"MI","AL","f","25","0.0005033"
"MI","AL","f","26","0.0005033"
"MI","AL","f","27","0.0005033"
"MI","AL","f","28","0.0005033"
