"from","to","gender","age","rate"
"NM","AK","m","0","0"
"NM","AK","m","1","0"
"NM","AK","m","2","0"
"NM","AK","m","3","0"
"NM","AK","m","4","0"
"NM","AK","m","5","0"
"NM","AK","m","6","0"
"NM","AK","m","7","0"
"NM","AK","m","8","0"
"NM","AK","m","9","0"
"NM","AK","m","10","0"
"NM","AK","m","11","0"
"NM","AK","m","12","0"
"NM","AK","m","13","0"
"NM","AK","m","14","0"
"NM","AK","m","15","0.0000177"
"NM","AK","m","16","0.0000177"
"NM","AK","m","17","0.0000177"
"NM","AK","m","18","0.0000177"
"NM","AK","m","19","0.0000177"
"NM","AK","m","20","0.000823814"
"NM","AK","m","21","0.000823814"
"NM","AK","m","22","0.000823814"
"NM","AK","m","23","0.000823814"
"NM","AK","m","24","0.000823814"
"NM","AK","m","25","0.000329915"
"NM","AK","m","26","0.000329915"
"NM","AK","m","27","0.000329915"
"NM","AK","m","28","0.000329915"
"NM","AK","m","29","0.000329915"
"NM","AK","m","30","0.000413374"
"NM","AK","m","31","0.000413374"
"NM","AK","m","32","0.000413374"
"NM","AK","m","33","0.000413374"
"NM","AK","m","34","0.000413374"
"NM","AK","m","35","0.000268016"
"NM","AK","m","36","0.000268016"
"NM","AK","m","37","0.000268016"
"NM","AK","m","38","0.000268016"
"NM","AK","m","39","0.000268016"
"NM","AK","m","40","0"
"NM","AK","m","41","0"
"NM","AK","m","42","0"
"NM","AK","m","43","0"
"NM","AK","m","44","0"
"NM","AK","m","45","0.0000453"
"NM","AK","m","46","0.0000453"
"NM","AK","m","47","0.0000453"
"NM","AK","m","48","0.0000453"
"NM","AK","m","49","0.0000453"
"NM","AK","m","50","0.000278585"
"NM","AK","m","51","0.000278585"
"NM","AK","m","52","0.000278585"
"NM","AK","m","53","0.000278585"
"NM","AK","m","54","0.000278585"
"NM","AK","m","55","0.000160861"
"NM","AK","m","56","0.000160861"
"NM","AK","m","57","0.000160861"
"NM","AK","m","58","0.000160861"
"NM","AK","m","59","0.000160861"
"NM","AK","m","60","0.000173801"
"NM","AK","m","61","0.000173801"
"NM","AK","m","62","0.000173801"
"NM","AK","m","63","0.000173801"
"NM","AK","m","64","0.000173801"
"NM","AK","m","65","0"
"NM","AK","m","66","0"
"NM","AK","m","67","0"
"NM","AK","m","68","0"
"NM","AK","m","69","0"
"NM","AK","m","70","0"
"NM","AK","m","71","0"
"NM","AK","m","72","0"
"NM","AK","m","73","0"
"NM","AK","m","74","0"
"NM","AK","m","75","0"
"NM","AK","m","76","0"
"NM","AK","m","77","0"
"NM","AK","m","78","0"
"NM","AK","m","79","0"
"NM","AK","m","80","0"
"NM","AK","m","81","0"
"NM","AK","m","82","0"
"NM","AK","m","83","0"
"NM","AK","m","84","0"
"NM","AK","m","85","0"
"NM","AK","m","86","0"
"NM","AK","m","87","0"
"NM","AK","m","88","0"
"NM","AK","m","89","0"
"NM","AK","m","90","0"
"NM","AK","m","91","0"
"NM","AK","m","92","0"
"NM","AK","m","93","0"
"NM","AK","m","94","0"
"NM","AK","m","95","0"
"NM","AK","m","96","0"
"NM","AK","m","97","0"
"NM","AK","m","98","0"
"NM","AK","m","99","0"
"NM","AK","m","100","0"
"NM","AK","f","0","0.000315155"
"NM","AK","f","1","0.000315155"
"NM","AK","f","2","0.000315155"
"NM","AK","f","3","0.000315155"
"NM","AK","f","4","0.000315155"
"NM","AK","f","5","0"
"NM","AK","f","6","0"
