"from","to","gender","age","rate"
"OR","AK","m","0","0.000232401"
"OR","AK","m","1","0.000232401"
"OR","AK","m","2","0.000232401"
"OR","AK","m","3","0.000232401"
"OR","AK","m","4","0.000232401"
"OR","AK","m","5","0.000132171"
"OR","AK","m","6","0.000132171"
"OR","AK","m","7","0.000132171"
"OR","AK","m","8","0.000132171"
"OR","AK","m","9","0.000132171"
"OR","AK","m","10","0.0000834512"
"OR","AK","m","11","0.0000834512"
"OR","AK","m","12","0.0000834512"
"OR","AK","m","13","0.0000834512"
"OR","AK","m","14","0.0000834512"
"OR","AK","m","15","0.0000646"
"OR","AK","m","16","0.0000646"
"OR","AK","m","17","0.0000646"
"OR","AK","m","18","0.0000646"
"OR","AK","m","19","0.0000646"
"OR","AK","m","20","0.001425237"
"OR","AK","m","21","0.001425237"
"OR","AK","m","22","0.001425237"
"OR","AK","m","23","0.001425237"
"OR","AK","m","24","0.001425237"
"OR","AK","m","25","0.000635294"
"OR","AK","m","26","0.000635294"
"OR","AK","m","27","0.000635294"
"OR","AK","m","28","0.000635294"
"OR","AK","m","29","0.000635294"
"OR","AK","m","30","0.00128317"
"OR","AK","m","31","0.00128317"
"OR","AK","m","32","0.00128317"
"OR","AK","m","33","0.00128317"
"OR","AK","m","34","0.00128317"
"OR","AK","m","35","0.000132271"
"OR","AK","m","36","0.000132271"
"OR","AK","m","37","0.000132271"
"OR","AK","m","38","0.000132271"
"OR","AK","m","39","0.000132271"
"OR","AK","m","40","0.000654606"
"OR","AK","m","41","0.000654606"
"OR","AK","m","42","0.000654606"
"OR","AK","m","43","0.000654606"
"OR","AK","m","44","0.000654606"
"OR","AK","m","45","0.000512588"
"OR","AK","m","46","0.000512588"
"OR","AK","m","47","0.000512588"
"OR","AK","m","48","0.000512588"
"OR","AK","m","49","0.000512588"
"OR","AK","m","50","0.000132141"
"OR","AK","m","51","0.000132141"
"OR","AK","m","52","0.000132141"
"OR","AK","m","53","0.000132141"
"OR","AK","m","54","0.000132141"
"OR","AK","m","55","0.000107997"
"OR","AK","m","56","0.000107997"
"OR","AK","m","57","0.000107997"
"OR","AK","m","58","0.000107997"
"OR","AK","m","59","0.000107997"
"OR","AK","m","60","0.0000891917"
"OR","AK","m","61","0.0000891917"
"OR","AK","m","62","0.0000891917"
"OR","AK","m","63","0.0000891917"
"OR","AK","m","64","0.0000891917"
"OR","AK","m","65","0.0000919866"
"OR","AK","m","66","0.0000919866"
"OR","AK","m","67","0.0000919866"
"OR","AK","m","68","0.0000919866"
"OR","AK","m","69","0.0000919866"
"OR","AK","m","70","0"
"OR","AK","m","71","0"
"OR","AK","m","72","0"
"OR","AK","m","73","0"
"OR","AK","m","74","0"
"OR","AK","m","75","0.0000829864"
"OR","AK","m","76","0.0000829864"
"OR","AK","m","77","0.0000829864"
"OR","AK","m","78","0.0000829864"
"OR","AK","m","79","0.0000829864"
"OR","AK","m","80","0"
"OR","AK","m","81","0"
"OR","AK","m","82","0"
"OR","AK","m","83","0"
"OR","AK","m","84","0"
"OR","AK","m","85","0"
"OR","AK","m","86","0"
"OR","AK","m","87","0"
"OR","AK","m","88","0"
"OR","AK","m","89","0"
"OR","AK","m","90","0"
"OR","AK","m","91","0"
"OR","AK","m","92","0"
"OR","AK","m","93","0"
"OR","AK","m","94","0"
"OR","AK","m","95","0"
"OR","AK","m","96","0"
"OR","AK","m","97","0"
"OR","AK","m","98","0"
"OR","AK","m","99","0"
"OR","AK","m","100","0"
"OR","AK","f","0","0.000279811"
"OR","AK","f","1","0.000279811"
"OR","AK","f","2","0.000279811"
"OR","AK","f","3","0.000279811"
"OR","AK","f","4","0.000279811"
"OR","AK","f","5","0.000127875"
"OR","AK","f","6","0.000127875"
"OR","AK","f","7","0.000127875"
"OR","AK","f","8","0.000127875"
"OR","AK","f","9","0.000127875"
"OR","AK","f","10","0.000186231"
"OR","AK","f","11","0.000186231"
"OR","AK","f","12","0.000186231"
"OR","AK","f","13","0.000186231"
"OR","AK","f","14","0.000186231"
"OR","AK","f","15","0.000165059"
"OR","AK","f","16","0.000165059"
"OR","AK","f","17","0.000165059"
"OR","AK","f","18","0.000165059"
"OR","AK","f","19","0.000165059"
"OR","AK","f","20","0.001383001"
"OR","AK","f","21","0.001383001"
"OR","AK","f","22","0.001383001"
"OR","AK","f","23","0.001383001"
"OR","AK","f","24","0.001383001"
"OR","AK","f","25","0.000568888"
"OR","AK","f","26","0.000568888"
"OR","AK","f","27","0.000568888"
"OR","AK","f","28","0.000568888"
"OR","AK","f","29","0.000568888"
"OR","AK","f","30","0.000142382"
"OR","AK","f","31","0.000142382"
"OR","AK","f","32","0.000142382"
"OR","AK","f","33","0.000142382"
"OR","AK","f","34","0.000142382"
"OR","AK","f","35","0.000388108"
"OR","AK","f","36","0.000388108"
"OR","AK","f","37","0.000388108"
"OR","AK","f","38","0.000388108"
"OR","AK","f","39","0.000388108"
"OR","AK","f","40","0.000250556"
"OR","AK","f","41","0.000250556"
"OR","AK","f","42","0.000250556"
"OR","AK","f","43","0.000250556"
"OR","AK","f","44","0.000250556"
"OR","AK","f","45","0.000125766"
"OR","AK","f","46","0.000125766"
"OR","AK","f","47","0.000125766"
"OR","AK","f","48","0.000125766"
"OR","AK","f","49","0.000125766"
"OR","AK","f","50","0.000125194"
"OR","AK","f","51","0.000125194"
"OR","AK","f","52","0.000125194"
"OR","AK","f","53","0.000125194"
"OR","AK","f","54","0.000125194"
"OR","AK","f","55","0.0000388"
"OR","AK","f","56","0.0000388"
"OR","AK","f","57","0.0000388"
"OR","AK","f","58","0.0000388"
"OR","AK","f","59","0.0000388"
"OR","AK","f","60","0.0004464"
"OR","AK","f","61","0.0004464"
"OR","AK","f","62","0.0004464"
"OR","AK","f","63","0.0004464"
"OR","AK","f","64","0.0004464"
"OR","AK","f","65","0.000343528"
"OR","AK","f","66","0.000343528"
"OR","AK","f","67","0.000343528"
"OR","AK","f","68","0.000343528"
"OR","AK","f","69","0.000343528"
"OR","AK","f","70","0.000120934"
"OR","AK","f","71","0.000120934"
"OR","AK","f","72","0.000120934"
"OR","AK","f","73","0.000120934"
"OR","AK","f","74","0.000120934"
"OR","AK","f","75","0"
"OR","AK","f","76","0"
"OR","AK","f","77","0"
"OR","AK","f","78","0"
"OR","AK","f","79","0"
"OR","AK","f","80","0.000199043"
"OR","AK","f","81","0.000199043"
"OR","AK","f","82","0.000199043"
"OR","AK","f","83","0.000199043"
"OR","AK","f","84","0.000199043"
"OR","AK","f","85","0"
"OR","AK","f","86","0"
