region,region_code,age,net_male,net_female,net_all
VA,840-51,0,0.002665246,0.005057849,NA
VA,840-51,1,0.002665246,0.005057849,NA
VA,840-51,2,0.002665246,0.005057849,NA
VA,840-51,3,0.002665246,0.005057849,NA
VA,840-51,4,0.002665246,0.005057849,NA
VA,840-51,5,0.003599541,0.000879277,NA
VA,840-51,6,0.003599541,0.000879277,NA
VA,840-51,7,0.003599541,0.000879277,NA
VA,840-51,8,0.003599541,0.000879277,NA
VA,840-51,9,0.003599541,0.000879277,NA
VA,840-51,10,0.00342421,0.001883035,NA
VA,840-51,11,0.00342421,0.001883035,NA
VA,840-51,12,0.00342421,0.001883035,NA
VA,840-51,13,0.00342421,0.001883035,NA
VA,840-51,14,0.00342421,0.001883035,NA
VA,840-51,15,0.012301414,0.00401155,NA
VA,840-51,16,0.012301414,0.00401155,NA
VA,840-51,17,0.012301414,0.00401155,NA
VA,840-51,18,0.012301414,0.00401155,NA
VA,840-51,19,0.012301414,0.00401155,NA
VA,840-51,20,0.017851376,0.00743974,NA
VA,840-51,21,0.017851376,0.00743974,NA
VA,840-51,22,0.017851376,0.00743974,NA
VA,840-51,23,0.017851376,0.00743974,NA
VA,840-51,24,0.017851376,0.00743974,NA
VA,840-51,25,0.00436672,0.006216928,NA
VA,840-51,26,0.00436672,0.006216928,NA
VA,840-51,27,0.00436672,0.006216928,NA
VA,840-51,28,0.00436672,0.006216928,NA
VA,840-51,29,0.00436672,0.006216928,NA
VA,840-51,30,0.00504253,0.004977629,NA
VA,840-51,31,0.00504253,0.004977629,NA
VA,840-51,32,0.00504253,0.004977629,NA
VA,840-51,33,0.00504253,0.004977629,NA
VA,840-51,34,0.00504253,0.004977629,NA
VA,840-51,35,0.003866611,0.000897222,NA
VA,840-51,36,0.003866611,0.000897222,NA
VA,840-51,37,0.003866611,0.000897222,NA
VA,840-51,38,0.003866611,0.000897222,NA
VA,840-51,39,0.003866611,0.000897222,NA
VA,840-51,40,0.000887383,-0.000586929,NA
VA,840-51,41,0.000887383,-0.000586929,NA
VA,840-51,42,0.000887383,-0.000586929,NA
VA,840-51,43,0.000887383,-0.000586929,NA
VA,840-51,44,0.000887383,-0.000586929,NA
VA,840-51,45,0.000870192,0.002857348,NA
VA,840-51,46,0.000870192,0.002857348,NA
VA,840-51,47,0.000870192,0.002857348,NA
VA,840-51,48,0.000870192,0.002857348,NA
VA,840-51,49,0.000870192,0.002857348,NA
VA,840-51,50,0.000158694,0.000395703,NA
VA,840-51,51,0.000158694,0.000395703,NA
VA,840-51,52,0.000158694,0.000395703,NA
VA,840-51,53,0.000158694,0.000395703,NA
VA,840-51,54,0.000158694,0.000395703,NA
VA,840-51,55,-0.000587902,-0.001550829,NA
VA,840-51,56,-0.000587902,-0.001550829,NA
VA,840-51,57,-0.000587902,-0.001550829,NA
VA,840-51,58,-0.000587902,-0.001550829,NA
VA,840-51,59,-0.000587902,-0.001550829,NA
VA,840-51,60,-0.001225615,-0.00162391,NA
VA,840-51,61,-0.001225615,-0.00162391,NA
VA,840-51,62,-0.001225615,-0.00162391,NA
VA,840-51,63,-0.001225615,-0.00162391,NA
VA,840-51,64,-0.001225615,-0.00162391,NA
VA,840-51,65,-0.004510081,-0.005089492,NA
VA,840-51,66,-0.004510081,-0.005089492,NA
VA,840-51,67,-0.004510081,-0.005089492,NA
VA,840-51,68,-0.004510081,-0.005089492,NA
VA,840-51,69,-0.004510081,-0.005089492,NA
VA,840-51,70,-0.005811804,-0.00112838,NA
VA,840-51,71,-0.005811804,-0.00112838,NA
VA,840-51,72,-0.005811804,-0.00112838,NA
VA,840-51,73,-0.005811804,-0.00112838,NA
VA,840-51,74,-0.005811804,-0.00112838,NA
VA,840-51,75,-0.002735237,-0.004111577,NA
VA,840-51,76,-0.002735237,-0.004111577,NA
VA,840-51,77,-0.002735237,-0.004111577,NA
VA,840-51,78,-0.002735237,-0.004111577,NA
VA,840-51,79,-0.002735237,-0.004111577,NA
VA,840-51,80,0.00118074,0.004326848,NA
VA,840-51,81,0.00118074,0.004326848,NA
VA,840-51,82,0.00118074,0.004326848,NA
VA,840-51,83,0.00118074,0.004326848,NA
VA,840-51,84,0.00118074,0.004326848,NA
VA,840-51,85,0.00418049,0.007338829,NA
VA,840-51,86,0.00418049,0.007338829,NA
VA,840-51,87,0.00418049,0.007338829,NA
VA,840-51,88,0.00418049,0.007338829,NA
VA,840-51,89,0.00418049,0.007338829,NA
VA,840-51,90,0.004772621,0.005716906,NA
VA,840-51,91,0.004772621,0.005716906,NA
VA,840-51,92,0.004772621,0.005716906,NA
VA,840-51,93,0.004772621,0.005716906,NA
VA,840-51,94,0.004772621,0.005716906,NA
VA,840-51,95,0,0,NA
VA,840-51,96,0,0,NA
VA,840-51,97,0,0,NA
VA,840-51,98,0,0,NA
VA,840-51,99,0,0,NA
VA,840-51,100,0,0,NA
