"from","to","gender","age","rate"
"AK","CA","m","0","0.005256127"
"AK","CA","m","1","0.005256127"
"AK","CA","m","2","0.005256127"
"AK","CA","m","3","0.005256127"
"AK","CA","m","4","0.005256127"
"AK","CA","m","5","0.005252507"
"AK","CA","m","6","0.005252507"
"AK","CA","m","7","0.005252507"
"AK","CA","m","8","0.005252507"
"AK","CA","m","9","0.005252507"
"AK","CA","m","10","0.004974771"
"AK","CA","m","11","0.004974771"
"AK","CA","m","12","0.004974771"
"AK","CA","m","13","0.004974771"
"AK","CA","m","14","0.004974771"
"AK","CA","m","15","0.006723152"
"AK","CA","m","16","0.006723152"
"AK","CA","m","17","0.006723152"
"AK","CA","m","18","0.006723152"
"AK","CA","m","19","0.006723152"
"AK","CA","m","20","0.009458142"
"AK","CA","m","21","0.009458142"
"AK","CA","m","22","0.009458142"
"AK","CA","m","23","0.009458142"
"AK","CA","m","24","0.009458142"
"AK","CA","m","25","0.012437017"
"AK","CA","m","26","0.012437017"
"AK","CA","m","27","0.012437017"
"AK","CA","m","28","0.012437017"
"AK","CA","m","29","0.012437017"
"AK","CA","m","30","0.00969168"
"AK","CA","m","31","0.00969168"
"AK","CA","m","32","0.00969168"
"AK","CA","m","33","0.00969168"
"AK","CA","m","34","0.00969168"
"AK","CA","m","35","0.010080058"
"AK","CA","m","36","0.010080058"
"AK","CA","m","37","0.010080058"
"AK","CA","m","38","0.010080058"
"AK","CA","m","39","0.010080058"
"AK","CA","m","40","0.007021535"
"AK","CA","m","41","0.007021535"
"AK","CA","m","42","0.007021535"
"AK","CA","m","43","0.007021535"
"AK","CA","m","44","0.007021535"
"AK","CA","m","45","0.002075486"
"AK","CA","m","46","0.002075486"
"AK","CA","m","47","0.002075486"
"AK","CA","m","48","0.002075486"
"AK","CA","m","49","0.002075486"
"AK","CA","m","50","0.00510099"
"AK","CA","m","51","0.00510099"
"AK","CA","m","52","0.00510099"
"AK","CA","m","53","0.00510099"
"AK","CA","m","54","0.00510099"
"AK","CA","m","55","0.003732222"
"AK","CA","m","56","0.003732222"
"AK","CA","m","57","0.003732222"
"AK","CA","m","58","0.003732222"
"AK","CA","m","59","0.003732222"
"AK","CA","m","60","0.002790391"
"AK","CA","m","61","0.002790391"
"AK","CA","m","62","0.002790391"
"AK","CA","m","63","0.002790391"
"AK","CA","m","64","0.002790391"
"AK","CA","m","65","0.002986"
"AK","CA","m","66","0.002986"
"AK","CA","m","67","0.002986"
"AK","CA","m","68","0.002986"
"AK","CA","m","69","0.002986"
"AK","CA","m","70","0.004306047"
"AK","CA","m","71","0.004306047"
"AK","CA","m","72","0.004306047"
"AK","CA","m","73","0.004306047"
"AK","CA","m","74","0.004306047"
"AK","CA","m","75","0"
"AK","CA","m","76","0"
"AK","CA","m","77","0"
"AK","CA","m","78","0"
"AK","CA","m","79","0"
"AK","CA","m","80","0"
"AK","CA","m","81","0"
"AK","CA","m","82","0"
"AK","CA","m","83","0"
"AK","CA","m","84","0"
"AK","CA","m","85","0.042847387"
"AK","CA","m","86","0.042847387"
"AK","CA","m","87","0.042847387"
"AK","CA","m","88","0.042847387"
"AK","CA","m","89","0.042847387"
"AK","CA","m","90","0"
"AK","CA","m","91","0"
"AK","CA","m","92","0"
"AK","CA","m","93","0"
"AK","CA","m","94","0"
"AK","CA","m","95","0"
"AK","CA","m","96","0"
"AK","CA","m","97","0"
"AK","CA","m","98","0"
"AK","CA","m","99","0"
"AK","CA","m","100","0"
"AK","CA","f","0","0.006343351"
"AK","CA","f","1","0.006343351"
"AK","CA","f","2","0.006343351"
"AK","CA","f","3","0.006343351"
"AK","CA","f","4","0.006343351"
"AK","CA","f","5","0.006418128"
"AK","CA","f","6","0.006418128"
"AK","CA","f","7","0.006418128"
"AK","CA","f","8","0.006418128"
"AK","CA","f","9","0.006418128"
"AK","CA","f","10","0.003095776"
"AK","CA","f","11","0.003095776"
"AK","CA","f","12","0.003095776"
"AK","CA","f","13","0.003095776"
"AK","CA","f","14","0.003095776"
"AK","CA","f","15","0.005417105"
"AK","CA","f","16","0.005417105"
"AK","CA","f","17","0.005417105"
"AK","CA","f","18","0.005417105"
"AK","CA","f","19","0.005417105"
"AK","CA","f","20","0.012585481"
"AK","CA","f","21","0.012585481"
"AK","CA","f","22","0.012585481"
"AK","CA","f","23","0.012585481"
"AK","CA","f","24","0.012585481"
"AK","CA","f","25","0.009881619"
"AK","CA","f","26","0.009881619"
"AK","CA","f","27","0.009881619"
"AK","CA","f","28","0.009881619"
"AK","CA","f","29","0.009881619"
"AK","CA","f","30","0.009283111"
"AK","CA","f","31","0.009283111"
"AK","CA","f","32","0.009283111"
"AK","CA","f","33","0.009283111"
"AK","CA","f","34","0.009283111"
"AK","CA","f","35","0.006498785"
"AK","CA","f","36","0.006498785"
"AK","CA","f","37","0.006498785"
"AK","CA","f","38","0.006498785"
"AK","CA","f","39","0.006498785"
"AK","CA","f","40","0.006085979"
"AK","CA","f","41","0.006085979"
"AK","CA","f","42","0.006085979"
"AK","CA","f","43","0.006085979"
"AK","CA","f","44","0.006085979"
"AK","CA","f","45","0.002154933"
"AK","CA","f","46","0.002154933"
"AK","CA","f","47","0.002154933"
"AK","CA","f","48","0.002154933"
"AK","CA","f","49","0.002154933"
"AK","CA","f","50","0.00444706"
"AK","CA","f","51","0.00444706"
"AK","CA","f","52","0.00444706"
"AK","CA","f","53","0.00444706"
"AK","CA","f","54","0.00444706"
