"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"IN",0,1,1,40490,41807.5995527213,42140.1563109398,42395.5904599805,42583.3050040744,42730.1634406573,42855.2559900954,42994.1567666313,43092.7738703869,43152.3033203919,43190.4596360246,43176.615162558,43114.3339802848,43019.5957345987,42893.8674515201,42746.1568813675,42600.8873328696,42442.7783180345,42267.2125101128,42076.8356848239,41889.9125398679,41690.9161982642,41497.9050910557,41354.9405338553,41235.0301116369,41143.589821759,41078.430090613,41012.6931411966,40953.0535984352,40918.2176993748,40901.1637113157,40894.0254488652,40893.7852278148,40902.1985493739,40911.9958979061,40912.9381805709,40904.5217144507,40886.9021812569,40860.6886030896,40819.8939851666,40760.5273352216,40684.8027262451,40597.4857289489,40500.342853409,40392.9963440522,40280.4949430054,40165.5733581906,40049.5702010672,39935.4370102107,39825.8244277534,39722.4713981903,39626.5871204481,39539.5455530688,39461.4787056611,39392.6307578607,39332.5542953728,39280.2079967767,39234.4320767329,39193.7788588971,39156.6404653753,39121.3859028922,39086.3226140402,39049.8693156181,39010.5743800836,38967.2930335292,38919.2326280832,38865.8514673738,38806.9014201474,38742.4061244031,38672.6716869376,38598.3205364514,38520.1852828849,38439.1866150316,38356.3596887326,38272.8155800833,38189.6015882712,38107.6675051158,38027.8667462544,37950.9042514646,37877.294259722,37807.3392182571,37741.1333965953,37678.5855344484,37619.4282984932,37563.2385408398,37509.4722168362,37457.506119269,37406.6712308442,37356.2856633479,37305.6941793005,37254.3019217852
"IN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",1,1,1,41940,40352.4155311295,41665.5378985052,41996.9646333858,42251.530820665,42438.6075132931,42584.9669269074,42709.6344135652,42848.0632071532,42946.3452113325,43005.6723810766,43043.6990420682,43029.901611934,42967.8320602704,42873.4157338536,42748.1146737696,42600.9060221239,42456.1300975744,42298.5583350196,42123.5890973234,41933.8591698956,41747.5711872419,41549.2510324983,41356.895774405,41214.4170088239,41094.9140405881,41003.7844635705,40938.8461443041,40873.332568147,40813.8956797401,40779.1781525906,40762.1821137507,40755.0681070189,40754.8287022364,40763.2134354433,40772.9774927185,40773.9165735196,40765.5287064368,40747.9690441769,40721.8445393915,40681.1885410249,40622.0236181483,40546.5563203624,40459.5360250345,40362.7232396634,40255.7414922843,40143.6223694669,40029.0912866331,39913.4823066586,39799.7369388311,39690.496818437,39587.4949810616,39491.93651679,39405.1907154719,39327.3891381491,39258.7751347382,39198.9028112521,39146.7343846661,39101.1140105755,39060.5989318206,39023.5867340545,38988.4519660948,38953.507821821,38917.1783912108,38878.0169793324,38834.8827022045,38786.985605362,38733.7858331101,38675.0360973417,38610.7599557345,38541.2624749384,38467.1639686495,38389.2942176111,38308.5707821286,38226.0253005978,38142.7650736925,38059.833841892,37978.1781696358,37898.6485726668,37821.9475953867,37748.5877293941,37678.8703942079,37612.889539027,37550.5542136644,37491.5979931917,37435.5991675699,37382.0155408034,37330.2260233284,37279.5638711626,37229.3495131388,37178.9299382655
"IN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",2,1,1,43510,41924.1694718541,40337.1842471567,41649.8109678801,41981.1126035653,42235.582703167,42422.5887824702,42568.8929517636,42693.5133818608,42831.8899245924,42930.1348315845,42989.4396078992,43027.4519154781,43013.6596932743,42951.6135701703,42857.2328818153,42731.9791174384,42584.826030664,42440.1047527371,42282.5924666778,42107.6892722683,41918.0309596463,41731.8132926138,41533.5679951137,41341.2853427744,41198.8603567382,41079.4024956817,40988.3073161208,40923.393508249,40857.9046606211,40798.4902070576,40763.7857842665,40746.796160693,40739.6848391897,40739.4455247721,40747.8270931064,40757.5874648742,40758.5261912131,40750.1414901857,40732.5884559355,40706.4738120158,40665.8331595225,40606.6905688343,40531.251756675,40444.2643077284,40347.4880649784,40240.5466985616,40128.4698958427,40013.9820435174,39898.4167009109,39784.7142670188,39675.5153800247,39572.5524213685,39477.0300262662,39390.3169677199,39312.5447571129,39243.9566525078,39184.1069282229,39131.9581929518,39086.3550385707,39045.8552524981,39008.8570252288,38973.7355191178,38938.8045647405,38902.4888469122,38863.3422167656,38820.2242209536,38772.3452031846,38719.1655115357,38660.4379512405,38596.1860710846,38526.7148225686,38452.644285247,38374.803926657,38294.1109607648,38211.5966365676,38128.3678367811,38045.4679079181,37963.8430571312,37884.3434791303,37807.6714531372,37734.3392773073,37664.6482573867,37598.6923071124,37536.3805106273,37477.4465435668,37421.4688550691,37367.9054537941,37316.1354846123,37265.4924552081,37215.2970509232
"IN",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",3,1,1,44550,43498.8364201085,41913.4127764901,40326.8347325866,41639.1246660596,41970.3412980152,42224.7461069415,42411.7042051528,42557.9708364485,42682.5592920541,42820.900330819,42919.1200306204,42978.4095908099,43016.4121453796,43002.6234619157,42940.593258298,42846.2367856718,42721.0151582842,42573.8998273186,42429.215681259,42271.7438089204,42096.8854903046,41907.2758392713,41721.1059510438,41522.9115183383,41330.6782009279,41188.2897575878,41068.8625464365,40977.7907396248,40912.8935870157,40847.4215421913,40788.0223328935,40753.3268143909,40736.3415499308,40729.2320530151,40728.9927999995,40737.3722178326,40747.1300853327,40748.0685708178,40739.6860210954,40722.1374905157,40696.0295469617,40655.3993218454,40596.2719056696,40520.8524492264,40433.8873190878,40337.1359067059,40230.2219787743,40118.1739321652,40003.715454565,39888.1797631406,39774.5065024547,39665.3356331692,39562.3990922381,39466.9012057979,39380.2103956578,39302.4581394587,39233.8876328491,39174.0532645094,39121.9179093021,39076.3264555521,39035.8370607136,38998.8483262658,38963.7358314566,38928.8138394903,38892.5074393686,38853.3708532701,38810.2639204595,38762.3971872513,38709.2311401838,38650.5186479146,38586.2832531873,38516.8298292595,38442.7782965888,38364.9579098917,38284.2856478003,38201.7924947189,38118.5850493649,38035.7063905543,37954.1024826665,37874.6233022728,37797.9709484078,37724.6575877836,37654.984448839,37589.0454212152,37526.7496123816,37467.830766306,37411.8674402858,37358.3177820425,37306.5610957425,37255.9310600755
"IN",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN",4,1,1,42320,44541.1406668004,43490.1861241345,41905.0777621395,40318.8152294266,41630.8441973828,41961.9949627052,42216.3491800048,42403.2700992243,42549.5076435431,42674.0713231522,42812.3848510449,42910.5850186118,42969.8627883194,43007.8577855985,42994.0718441895,42932.0539760654,42837.7162674219,42712.519541945,42565.433466731,42420.7780929511,42263.3375358939,42088.5139900752,41898.9420453287,41712.8091793474,41514.6541601216,41322.4590707473,41180.0989431572,41060.6954816233,40969.6417855968,40904.7575386106,40839.2985137337,40779.9111167229,40745.2224978648,40728.2406111401,40721.1325280382,40720.8933226012,40729.2710740806,40739.0270011048,40739.9652999602,40731.5844172142,40714.0393763827,40687.9366247248,40647.3144794446,40588.1988215063,40512.7943631797,40425.8465271616,40329.1143550266,40222.2216882871,40110.195923855,39995.7602077764,39880.2474920913,39766.5968367767,39657.4476775049,39554.531606812,39459.0527113391,39372.3791407675,39294.6423465918,39226.0854760981,39166.2630065824,39114.1380191525,39068.555631842,39028.0742888338,38991.0929100656,38955.9873978218,38921.072350537,38884.7731704041,38845.6443671127,38802.546006663,38754.6887923625,38701.5333180386,38642.832501494,38578.6098807906,38509.170268558,38435.1334619749,38357.32855085,38276.6723314622,38194.1955831918,38111.0046846949,38028.142507358,37946.5548274435,37867.0914524941,37790.4543419229,37717.1555605915,37647.4962770353,37581.5703622244,37519.2869417034,37460.3798123885,37404.4276153863,37350.8886061725,37299.1422123468
"IN",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
