"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"MO",0,1,1,36080,38066.0273833899,38256.4903258577,38386.9867229934,38465.9136986224,38485.803624429,38444.1349598879,38378.2861250349,38340.5553639065,38256.2731769721,38115.607537244,37986.7232617153,37828.8603133309,37615.6643621493,37397.0278081553,37226.2697139238,37087.9198744026,36942.9994313608,36808.8733164206,36682.3333898598,36522.3334983264,36377.2927480237,36279.1938631749,36199.8980068085,36159.1292205281,36144.6368804314,36117.8992019448,36073.0447874631,36039.3538161789,36012.362321061,35984.6051532365,35963.7597363747,35937.2679056872,35893.9437613783,35831.7060918151,35756.6558769142,35681.240499087,35600.6278894747,35506.3146800292,35406.8420662961,35296.5895509884,35180.7890451629,35064.2505570153,34946.6492257821,34833.2467608824,34726.0736470645,34623.2738477725,34525.5299894369,34433.7025316732,34348.9508761327,34271.5486173748,34200.8399595607,34136.6769630892,34077.330690319,34021.2121344653,33966.9858705001,33913.5946529954,33860.023073331,33805.2170634787,33748.4186226648,33688.7211816525,33625.0773353003,33557.0838153274,33484.8302278347,33408.5814801365,33328.8088257939,33246.0475042951,33160.822659581,33073.8076908284,32985.7544685175,32897.4615387287,32809.7938559438,32723.5325411296,32639.2351378597,32557.3055171767,32478.0218496329,32401.5339755572,32327.8758884027,32256.9239186216,32188.460429944,32122.1569032531,32057.5526608288,31994.1428010477,31931.4213527224,31868.8903435861,31806.0950516711,31742.6294493358,31678.1532997868,31612.4056811885,31545.2085930937,31476.4821953578
"MO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",1,1,1,37810,35953.2234172951,37932.2723703961,38122.0660711516,38252.103934826,38330.7535797384,38350.5736170521,38309.0513663385,38243.43390871,38205.8357245482,38121.8496852758,37981.6783113213,37853.24690464,37695.9386493025,37483.4918182466,37265.6235013693,37095.4654106759,36957.6016997543,36813.1904728581,36679.5356453488,36553.4403501478,36394.0026603739,36249.4715489481,36151.7173603683,36072.7001308781,36032.0745964659,36017.6331790231,35990.989450412,35946.2926437293,35912.7200545462,35885.8234011554,35858.1637654506,35837.3915944513,35810.9928497882,35767.820936271,35705.801955152,35631.0154489477,35555.8650629133,35475.5357069366,35381.5538917925,35282.4308012868,35172.5656872297,35057.1720769809,34941.0430775051,34823.8549695229,34710.8509740514,34604.054441196,34501.6158560741,34404.2154465284,34312.710648723,34228.256790446,34151.1265049104,34080.6663005886,34016.7287577044,33957.5910136942,33901.6696451669,33847.6339194621,33794.4303060623,33741.0469642527,33686.4335297507,33629.8346652181,33570.3469868879,33506.9267699522,33439.1721631198,33367.1724576368,33291.191629996,33211.6992778849,33129.2287600867,33044.3033753109,32957.5941565689,32869.8503324459,32781.8676431205,32694.5080038287,32608.5497908636,32524.5485887222,32442.90684934,32363.9017658438,32287.6826520589,32214.2833819936,32143.5807206456,32075.3577964672,32009.2872446803,31944.9100062771,31881.7229537392,31819.2218937421,31756.9106037757,31694.3359596578,31631.0933604318,31566.8437648159,31501.3271677921,31434.3661943646
"MO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",2,1,1,39050,37795.0475837103,35939.0052854915,37917.2716000365,38106.9902446051,38236.9766832526,38315.5952252231,38335.4074244662,38293.9015942228,38228.310085802,38190.7267702914,38106.7739443017,37966.6580027919,37838.2773858451,37681.0313399368,37468.6685235188,37250.8863652707,37080.7955656275,36942.9863745576,36798.6322568067,36665.0302846959,36538.9848553861,36379.6102171518,36235.136262281,36137.4207317632,36058.4347505805,36017.8252820213,36003.3895756097,35976.7563835794,35932.0772527829,35898.5179402814,35871.6319234936,35843.9832261222,35823.2192697261,35796.8309647621,35753.6761240939,35691.681669122,35616.9247381353,35541.804071219,35461.5064824459,35367.5618335337,35268.4779424385,35158.6562758535,35043.3082993867,34927.2252245114,34810.0834599667,34697.1241532755,34590.3698543852,34487.9717798258,34390.6098884359,34299.1412772962,34214.7208173066,34137.621033864,34067.1886938719,34003.2764358531,33944.1620785703,33888.2628248164,33834.2484681851,33781.0658947899,33727.7036640606,33673.1118270939,33616.5353452586,33557.0711920416,33493.6760553885,33425.9482429249,33353.9770105858,33278.0262304712,33198.5653145606,33116.1274107141,33031.2356106965,32944.5606821511,32856.8515573718,32768.9036618522,32681.5785699737,32595.6543502109,32511.6863673487,32430.0769141679,32351.1030741759,32274.9141021503,32201.5438587034,32130.8691575676,32062.6732129598,31996.6287895621,31932.2770099071,31869.1149454441,31806.638602238,31744.3519540158,31681.8020557886,31618.5844666042,31554.3602792585,31488.8695915559
"MO",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",3,1,1,39100,39039.4065234728,37784.7945504345,35929.2557590152,37906.9854098529,38096.652587584,38226.6037635352,38305.2009778827,38325.0078024762,38283.5132319265,38217.9395171575,38180.3663972416,38096.4363459584,37956.3584150745,37828.0126251968,37670.8092369658,37458.5040302919,37240.780951946,37070.7362945024,36932.9644882836,36788.6495308901,36655.0838022967,36529.0725665669,36369.7411634539,36225.3064014499,36127.6173791825,36048.6528253017,36008.0543732714,35993.6225829754,35966.9966159924,35922.329605742,35888.7793972043,35861.90067405,35834.259477212,35813.501153658,35787.1200073083,35743.976873677,35681.999236549,35607.2625856082,35532.1622974121,35451.8864917535,35357.9673281276,35258.9103164914,35149.1184423072,35033.8017574173,34917.7501735364,34800.6401871872,34687.7115240751,34580.9861854705,34478.6158894412,34381.2804103666,34289.8366128142,34205.4390543908,34128.3601865627,34057.9469534424,33994.0520335286,33934.9537127774,33879.0696233624,33825.0699197353,33771.9017736985,33718.554019065,33663.9769917614,33607.4158579832,33547.9678361903,33484.5898973578,33416.8804580822,33344.9287500852,33268.9985738837,33189.5592141151,33107.1436740074,33022.274903421,32935.6234880337,32847.938156969,32760.0141199376,32672.7127175933,32586.8118073365,32502.8666032926,32421.2792891086,32342.3268731249,32266.158569629,32192.8082300476,32122.1527015313,32053.9752571063,31987.9487502272,31923.6144279106,31860.4694980404,31798.0101034047,31735.7403522925,31673.2074225897,31610.0069830608,31545.8002184404
"MO",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",4,1,1,38970,39091.7836146668,39031.2028711154,37776.8545393919,35921.7056666865,37899.0197219002,38088.6470434007,38218.5709117065,38297.1516098136,38316.9542722459,38275.4684212711,38209.9084860139,38172.3432616282,38088.4308472157,37948.3823519905,37820.063532406,37662.8931785385,37450.6325851994,37232.9552586874,37062.9463340425,36925.2034788786,36780.918847503,36647.381186109,36521.3964300944,36362.0985085212,36217.6940977106,36120.0256035928,36041.0776431443,36000.4877223806,35986.0589647483,35959.4385928856,35914.7809688594,35881.2378104865,35854.3647355661,35826.7293471865,35805.9753857395,35779.5997830641,35736.4657154331,35674.5011021452,35599.7801561948,35524.6956494029,35444.4367127201,35350.5372850543,35251.5010890339,35141.7322862651,35026.4398337619,34910.4126366976,34793.3272595754,34680.4223270365,34573.7194154526,34471.3706312851,34374.0556060673,34282.6310243072,34198.2512009953,34121.1885303458,34050.7900937025,33986.9086005223,33927.8226985582,33871.950352499,33817.9619962473,33764.805022844,33711.4684785867,33656.9029199759,33600.3536718261,33540.9181423057,33477.5535215695,33409.8583106019,33337.9217223737,33262.0075019672,33182.5848354055,33100.1866139126,33015.3356774572,32928.7024708018,32841.0355657338,32753.1300048601,32665.8469478345,32579.9640886002,32496.0365246111,32414.4663550003,32335.5305298982,32259.3782322369,32186.0433063296,32115.4026252057,32047.2395074343,31981.2268752156,31916.9060719676,31853.7744112298,31791.3281416697,31729.0714757817,31666.551686607,31603.3645278751
"MO",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",5,1,1,37810,38962.9017409428,39084.6631731193,39024.0934641538,37769.9736079091,35915.1626445516,37892.1165384258,38081.7093199249,38211.6095230197,38290.1759079076,38309.9749633492,38268.4966688876,38202.9486751598,38165.3902931578,38081.4931631194,37941.4701772731,37813.1747305453,37656.0330047478,37443.811073987,37226.1733966938,37056.1954386229,36918.4776728732,36774.219322475,36640.7059845328,36514.7441762328,36355.4752702591,36211.0971622433,36113.4464581248,36034.5128777912,35993.9303503498,35979.5042208689,35952.8886978206,35908.2392080358,35874.7021594403,35847.8339793633,35820.20362468,35799.4534434998,35773.0826450548,35729.9564341543,35668.0031075197,35593.2957717471,35518.2249413545,35437.9806235766,35344.0982993869,35245.0801424883,35135.3313337507,35020.0598813937,34904.0538183069,34786.9897679062,34674.1054006344,34567.4219246396,34465.0917829711,34367.7944833694,34276.3865543002,34192.0221004994,34114.9734665652,34044.5878527688,33980.7179953953,33921.6428557366,33865.7806866439,33811.8021641961,33758.6548731631,33705.3280439842,33650.7724243128,33594.2334764252,33534.8087728936,33471.4556938175,33403.772813313,33331.8493281009,33255.9489352233,33176.5407352427,33094.1575223184,33009.3220411858,32922.7046144879,32835.0536776621,32747.1641285012,32659.8969698012,32574.029753851,32490.1174769954,32408.5621651263,32329.6407179287,32253.5022911613,32180.1807229728,32109.5529088198,32041.4022067392,31975.4015985072,31911.0925110849,31847.9723495742,31785.5374543995,31723.2921283612,31660.7837269632
"MO",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
