"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"NJ",0,1,1,50620,49991.7487742826,49945.9369238564,49937.7452500709,49932.5470792359,49957.128660724,49979.7250664349,49982.9978521512,49983.4735181948,50018.4728295469,50050.8543366716,50048.7708738509,50099.6049900315,50118.3908332298,50110.0091819312,50100.3002751835,50016.3058279038,49864.0008220865,49628.8909702919,49342.0153359767,49036.0098032166,48700.454522259,48349.4413547137,48011.6565673593,47678.7860715631,47340.8726626868,47025.4082972402,46729.7255554277,46449.9803364036,46191.5009255491,45951.1494809474,45727.7852086096,45515.4314413934,45322.6696608945,45158.494830116,45014.4137152261,44889.6651725856,44778.1212487095,44667.2902598297,44556.8365975171,44443.4152428458,44322.3571717853,44193.0946375038,44054.8449776606,43905.1794828912,43742.8013644864,43569.4642130095,43384.5993080224,43188.6978869673,42984.9476288899,42775.2151931129,42561.2457365235,42345.1847201265,42128.9880745519,41914.7168550547,41704.4114228469,41499.5600598195,41301.2369253907,41110.1451338603,40926.5188643497,40750.2983672563,40581.082975366,40418.1523368274,40260.6602011252,40107.5842561241,39957.8306843343,39810.4038013959,39664.3105273105,39518.6055035375,39372.4226876253,39224.9463373539,39075.5086923747,38923.6498314454,38769.1214718476,38611.8411485732,38451.903719212,38289.5765069403,38125.2193563475,37959.2863259208,37792.3151234362,37624.8705577498,37457.5217502628,37290.8280829404,37125.3059717313,36961.3895422429,36799.4240378221,36639.6666500819,36482.2741865658,36327.3109899799,36174.7557446498,36024.4995754479
"NJ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ",1,1,1,51850,50487.351737105,49860.7468257643,49815.0550239825,49806.884816244,49801.7002670671,49826.2174332236,49848.7546256993,49852.0188351743,49852.4932547485,49887.4008514058,49919.6975037167,49917.6195005508,49968.3204073832,49987.0570228165,49978.6973353955,49969.0138705604,49885.2395283286,49733.3336334249,49498.8398802758,49212.7159953592,48907.5123413497,48572.8363734131,48222.7430258388,47885.8433938632,47553.8451756853,47216.8172592368,46902.1795591414,46607.271645501,46328.2594908261,46070.4574178784,45830.7358073663,45607.9568547187,45396.1595544787,45203.9029007151,45040.1582853872,44896.45473094,44772.0330882892,44660.7814620768,44550.240902635,44440.0766809869,44326.9525437331,44206.211701887,44077.2878963813,43939.4005158195,43790.1272152006,43628.1746040131,43455.2916775863,43270.9112057979,43075.5231388163,42872.3068024654,42663.1239645406,42449.7152087953,42234.2203741151,42018.5902656697,41804.8805377777,41595.1262049429,41390.8116490561,41193.0082147314,41002.4171737779,40819.2720916572,40643.5133753387,40474.7414075453,40312.2377240872,40155.1582920243,40002.483478161,39853.122331325,39706.0817763188,39560.3713354817,39415.048127558,39269.248379536,39122.1584868245,38973.1124389218,38821.6515197963,38667.5280973473,38510.6599226637,38351.141604764,38189.2397663114,38025.3133089332,37859.8151012691,37693.2814420473,37526.2756600585,37359.3653853374,37193.1085340048,37028.0201687562,36864.5332775853,36702.9921991386,36543.653451066,36386.6734300011,36232.1163100418,36079.9608313709
"NJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ",2,1,1,53500,51836.8771539155,50474.5737670748,49848.1274447373,49802.4472072078,49794.2790672875,49789.0958302812,49813.6067913268,49836.1382798081,49839.4016631361,49839.8759626384,49874.7747244447,49907.0632027152,49904.9857254763,49955.6738002895,49974.405673626,49966.0481019792,49956.3670879564,49872.6139483822,49720.7464997212,49486.312095182,49200.2606260746,48895.1342168206,48560.5429528612,48210.5382112872,47873.7238460814,47541.8096541623,47204.8670369514,46890.3089692979,46595.4756946385,46316.5341558471,46058.7973306703,45819.1363918997,45596.413822934,45384.6701270021,45192.4621319555,45028.7589591615,44885.0917750061,44760.7016225397,44649.4781532795,44538.9655708241,44428.8292309142,44315.733724531,44195.0234412864,44066.1322654288,43928.2797831287,43779.0442624625,43617.1326402662,43444.2934692113,43259.9596627373,43064.6210470099,42861.4561431895,42652.3262478719,42438.971504282,42223.5312097281,42007.9556756457,41794.3000360829,41584.5987904963,41380.3359450911,41182.582573332,40992.0397695414,40808.9410400672,40633.2268069614,40464.4975540872,40302.0349990925,40144.9953226556,39992.3591496425,39843.0358049925,39696.0324648478,39550.3589022303,39405.0724745206,39259.3096273211,39112.2569619582,38963.2486364923,38811.8260509893,38657.7416360225,38500.9131634973,38341.4352184873,38179.5743561757,38015.6893873543,37850.2330660452,37683.7415552434,37516.7780411652,37349.9100101828,37183.6952372122,37018.6486545906,36855.2031407256,36693.7029471141,36534.4045264834,36377.4642358844,36222.9462331728
"NJ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ",3,1,1,55490,53490.8802881345,51828.0409411369,50465.9697751255,49839.6302380208,49793.9577872316,49785.791039668,49780.6086862061,49805.1154690666,49827.6431167875,49830.905943833,49831.3801624852,49866.2729753822,49898.5559496972,49896.4788265891,49947.1582610165,49965.8869412822,49957.5307942829,49947.8514305042,49864.1125676497,49712.2710066031,49477.8765641989,49191.8738559696,48886.7994591443,48552.2652302488,48202.3201511495,47865.5631999617,47533.7055867677,47196.8204054369,46882.3159579506,46587.5329411324,46308.6389512469,46050.9460603801,45811.3259746694,45588.6413714169,45376.9337697186,45184.7585388127,45021.0832711733,44877.4405767996,44753.0716281155,44641.8671182196,44531.3733739495,44421.2558080898,44308.1795801819,44187.489873442,44058.6206686196,43920.7916849162,43771.581603221,43609.697580788,43436.8878722274,43252.585487645,43057.2801697099,42854.1498977659,42645.0556511285,42431.7372763943,42216.3337062033,42000.7949195369,41787.1757001212,41577.5102006083,41373.2821742366,41175.5625118937,40985.0521883922,40801.9846702761,40626.3003897531,40457.5998987886,40295.1650374704,40138.1521303157,39985.5419759553,39836.2440852469,39689.2658035715,39543.6170727468,39398.3554108382,39252.6174106512,39105.5898121656,38956.6068869426,38805.2101132219,38651.1519637778,38494.3502245326,38334.8994644368,38173.0661932359,38009.2091605583,37843.7810432488,37677.3179129069,37510.3828597473,37343.5432734072,37177.3568337232,37012.3383852564,36848.9207326248,36687.4480686439,36528.1768023253,36371.263264067
"NJ",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ",4,1,1,54140,55482.7779372301,53483.9184122098,51821.2954849301,50459.4015934448,49833.1435748741,49787.4770683867,49779.3113837311,49774.1297047562,49798.6332980416,49821.1580137732,49824.4204161594,49824.8945730917,49859.7828446644,49892.0616173275,49889.9847645584,49940.6576030216,49959.3838457362,49951.0287862954,49941.3506822927,49857.6227181105,49705.8009193505,49471.4369835489,49185.4714987745,48880.4368075978,48545.946118569,48196.0465850693,47859.3334630371,47527.5190413462,47190.6777058603,46876.2141913503,46581.4695407505,46302.6118491151,46044.9524971604,45805.3635981734,45582.7079774796,45371.0279296755,45178.8777105119,45015.2237453244,44871.5997461491,44747.2469841717,44636.0569476214,44525.5775841903,44415.4743502097,44302.4128392529,44181.7388403638,44052.8864079596,43915.0753627959,43765.8847008985,43604.0217477856,43431.2345305308,43246.9561330342,43051.6762342245,42848.5723998291,42639.5053669558,42426.2147557592,42210.8392204952,41995.3284863544,41781.7370696313,41572.0988582315,41367.897412282,41170.2034832931,40979.7179548451,40796.674263096,40621.0128480064,40452.3343135302,40289.9205932241,40132.9281214104,39980.3378293696,39831.0593698873,39684.1002175393,39538.4704430001,39393.2276869995,39247.5086547164,39100.5001919768,38951.5366569869,38800.1595876634,38646.1214889965,38489.3401576087,38329.9101501421,38168.097941656,38004.2622350872,37838.8556483642,37672.4141833166,37505.5008568723,37338.6829848223,37172.5181744212,37007.5212032221,36844.1248195138,36682.6731713143,36523.4226342637
"NJ",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
