"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"TN",0,1,1,38130,39774.2259543506,39842.53167007,39861.0099684294,39852.0746983755,39837.8126961996,39804.5954033634,39725.1872968482,39607.5702041216,39497.4910512748,39394.8881023338,39260.1720327999,39083.1119241322,38896.0459794192,38743.2201156576,38634.4370649899,38550.0149335046,38456.6505610125,38329.1969306694,38172.6793967595,38015.1823108602,37874.3874522276,37746.4286278531,37623.4101743827,37505.1065994,37392.1665265782,37285.831776349,37191.6787061865,37105.3805678679,37011.8146298136,36919.5487113704,36841.9952987236,36765.0310684615,36679.3109859088,36585.7627520594,36485.6052629078,36386.3916287078,36290.2256396823,36191.6511186277,36086.9313337579,35979.4832038245,35868.9744800058,35755.3548096098,35643.0742857222,35529.0258372574,35414.3290145214,35299.523154963,35185.9193452096,35073.9087963003,34964.5454921452,34858.2920447962,34755.2766594836,34654.8081661028,34556.8655299554,34461.013398716,34366.6825939981,34273.6768245276,34181.9824721698,34091.258188529,34000.8465087322,33910.2103118537,33819.0675473989,33727.2512070518,33634.5997266391,33540.8903404704,33445.9476103279,33349.8029282761,33252.5901434276,33154.4428906228,33055.5623540658,32956.2144148674,32856.6628515098,32757.2074152884,32658.1484408209,32559.7031322567,32462.0581231082,32365.3788781201,32269.7804469077,32175.3333091886,32082.0651812679,31989.944360135,31898.8824968943,31808.7659517874,31719.4594212486,31630.813681618,31542.6662216475,31454.8453300145,31367.1875001073,31279.5463100075,31191.7982668228,31103.8450859935
"TN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN",1,1,1,39900,37983.1501534342,39621.0437099585,39689.0863602734,39707.4934932702,39698.5926355696,39684.3855605596,39651.2961972895,39572.1939147517,39455.0298000482,39345.3745944006,39243.1667995983,39108.9695612771,38932.591363173,38746.2458644417,38594.0085780376,38485.6444828983,38401.5474858755,38308.5426870466,38181.5799181265,38025.6651792819,37868.7746609908,37728.5220447758,37601.0560274753,37478.511354257,37360.6634011425,37248.1582937644,37142.2330699384,37048.4426109458,36962.4768321438,36869.271244041,36777.3606687913,36700.1059371501,36623.4381187791,36538.0481694802,36444.8602173982,36345.0884642002,36246.2569308908,36150.4613053779,36052.2664238012,35947.949945628,35840.9156300506,35730.8325078353,35617.6504202131,35505.8023216521,35392.1931073115,35277.9380157799,35163.5743073587,35050.4080192951,34938.8288559593,34829.8867420596,34724.0425079925,34621.4238652324,34521.3423055741,34423.77687533,34328.2938988444,34234.3263898044,34141.6788129113,34050.3376024779,33959.9627247414,33869.8992469196,33779.6121166973,33688.8203698396,33597.3576412285,33505.0629889219,33411.7145051654,33317.1374274056,33221.3630268069,33124.5246369897,33026.7553781271,32928.2556596036,32829.2903385439,32730.1221775415,32631.0497734614,32532.3723042445,32434.3061375229,32337.0371880284,32240.7302832526,32145.5000297207,32051.4166357121,31958.5077107884,31866.7416740365,31776.0305168185,31686.261037036,31597.2984522173,31508.9941134067,31421.1861352346,31333.7034676891,31246.3832338709,31159.0795757753,31071.6694761174
"TN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN",2,1,1,40550,39881.482724072,37965.5224724315,39602.6558954489,39670.6669677054,39689.0655580966,39680.1688312141,39665.9683495957,39632.8943428386,39553.8287710475,39436.7190312874,39327.1147157576,39224.9543547883,39090.8193963492,38914.5230539784,38728.2640367262,38576.0974024485,38467.7835982327,38383.7256299643,38290.7639939304,38163.860147432,38008.0177673904,37851.2000607539,37711.0125346741,37583.6056733488,37461.1178721488,37343.3246113417,37230.8717166983,37124.995651935,37031.2487203561,36945.3228375954,36852.1605054723,36760.2925851971,36683.0737068688,36606.4414694288,36521.0911489333,36427.9464446462,36328.2209947335,36229.4353283608,36133.6841608437,36035.5348507386,35931.2667850218,35824.2821432277,35714.2501097229,35601.1205490166,35489.3243582778,35375.7678690793,35261.5658024363,35147.255169312,35034.1414008318,34922.6140205075,34813.7224657853,34707.9273531941,34605.3563349384,34505.3212223441,34407.8010714481,34312.3624078604,34218.4385084017,34125.8339285197,34034.5351088231,33944.202173356,33854.1804932852,33763.9352646095,33673.1856534868,33581.7653720081,33489.5135529231,33396.2083914631,33301.6752061807,33205.9452537274,33109.1518058446,33011.4279209255,32912.9739153461,32814.0545233128,32714.9323854734,32615.9059601162,32517.274286336,32419.2536313504,32322.0298236098,32225.7676141104,32130.5815561895,32036.5418255435,31943.6760189205,31851.9525700639,31761.28351118,31671.5556927065,31582.6343947231,31494.371037261,31406.6038100804,31319.1617425524,31231.8820333673,31144.6188922122
"TN",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN",3,1,1,41630,40537.0501937727,39868.746411536,37953.3980295379,39590.0086273865,39657.9979800324,39676.3906947595,39667.4968090826,39653.3008624454,39620.2374180059,39541.1970961244,39424.1247558325,39314.5554428834,39212.4277072379,39078.3355853393,38902.0955439173,38715.8960092343,38563.7779699857,38455.4987562206,38371.4676322037,38278.5356838436,38151.6723646011,37995.8797534527,37839.112127184,37698.9693705567,37571.603197127,37449.1545129009,37331.3988698473,37218.9818874898,37113.1396346752,37019.4226415575,36933.5241995744,36840.3916192182,36748.5530373342,36671.3588191666,36594.751054541,36509.4279910149,36416.3130328653,36316.6194306777,36217.8653119064,36122.1447229112,36024.0267571846,35919.7919898956,35812.8415140788,35702.8446197482,35589.7511874239,35477.99069925,35364.4704747748,35250.3048790229,35136.0307514608,35022.9531063194,34911.4613427143,34802.6045629497,34696.8432364549,34594.304974668,34494.3018086908,34396.8128012488,34301.4046163836,34207.5107119014,34114.935705666,34023.666042616,33933.3619553366,33843.3690240529,33753.1526155552,33662.4319856873,33571.0408996446,33478.8185415505,33385.5431774706,33291.0401817426,33195.3408010362,33098.5782645318,33000.8855881298,32902.4630242346,32803.5752225087,32704.4847397242,32605.4899388557,32506.8897634988,32408.9004118051,32311.7076528801,32215.4761851059,32120.320525237,32026.3108265587,31933.474677006,31841.7805204032,31751.1404170492,31661.4412535169,31572.5483529091,31484.3131827066,31396.5739843443,31309.1598417936,31221.9080057361
"TN",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN",4,1,1,41710,41619.6126433406,40526.9355457236,39858.798516063,37943.9280443885,39580.1302814878,39648.1026696933,39666.4907951413,39657.5991286324,39643.4067241129,39610.3515295363,39531.3309294903,39414.2878006361,39304.7458269985,39202.6435738707,39068.58491012,38892.3888434318,38706.2357685368,38554.1556851932,38445.903488839,38361.8933319433,38268.9845716037,38142.1529068061,37986.3991684278,37829.6706582112,37689.5628694627,37562.2284759482,37439.8103446444,37322.0840835236,37209.695151017,37103.8793075521,37010.1856983362,36924.3086894002,36831.1993471254,36739.3836804494,36662.2087234846,36585.6200737323,36500.3182996872,36407.2265752219,36307.5578481965,36208.8283701712,36113.1316650073,36015.0381812962,35910.8294222633,35803.9056323158,35693.936183985,35580.8709702968,35469.1383681677,35355.6464688202,35241.5093592263,35127.2637449028,35014.2143144582,34902.7503698469,34793.9207516052,34688.1858142677,34585.6731374314,34485.6949238576,34388.2302414959,34292.8458625121,34198.975386074,34106.4234787962,34015.1765889997,33924.8950340471,33834.9245574517,33744.7306594035,33654.0326657964,33562.6643833042,33470.4650361764,33377.2129458047,33282.7335300988,33187.0580279319,33090.3196352415,32992.6513347385,32894.253328861,32795.390201237,32696.3244431267,32597.3543430582,32498.7787700359,32400.8138682664,32303.6453605028,32207.4379040325,32112.3059870359,32018.3197452942,31925.5067598587,31833.8354824273,31743.2179952415,31653.5412130977,31564.6704927028,31476.4573385988,31388.7400325821,31301.3477012703
"TN",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
