region,region_code,age,rural,urban,all
FL,840-12,0,,0,0
FL,840-12,1,,0,0
FL,840-12,2,,0,0
FL,840-12,3,,0,0
FL,840-12,4,,0,0
FL,840-12,5,,0,0
FL,840-12,6,,0,0
FL,840-12,7,,0,0
FL,840-12,8,,0,0
FL,840-12,9,,0,0
FL,840-12,10,,0,0
FL,840-12,11,,0,0
FL,840-12,12,,0,0
FL,840-12,13,,0,0
FL,840-12,14,,0,0
FL,840-12,15,,0.005138915,0.005138915
FL,840-12,16,,0.014898719,0.014898719
FL,840-12,17,,0.021553007,0.021553007
FL,840-12,18,,0.032429076,0.032429076
FL,840-12,19,,0.054778138,0.054778138
FL,840-12,20,,0.069269833,0.069269833
FL,840-12,21,,0.090578864,0.090578864
FL,840-12,22,,0.09050187,0.09050187
FL,840-12,23,,0.092206347,0.092206347
FL,840-12,24,,0.096546311,0.096546311
FL,840-12,25,,0.10549594,0.10549594
FL,840-12,26,,0.104977041,0.104977041
FL,840-12,27,,0.10597252,0.10597252
FL,840-12,28,,0.102646422,0.102646422
FL,840-12,29,,0.118589423,0.118589423
FL,840-12,30,,0.101162103,0.101162103
FL,840-12,31,,0.093624232,0.093624232
FL,840-12,32,,0.102816888,0.102816888
FL,840-12,33,,0.092837649,0.092837649
FL,840-12,34,,0.081872687,0.081872687
FL,840-12,35,,0.071506313,0.071506313
FL,840-12,36,,0.06395632,0.06395632
FL,840-12,37,,0.049809401,0.049809401
FL,840-12,38,,0.042182218,0.042182218
FL,840-12,39,,0.033006366,0.033006366
FL,840-12,40,,0.024938023,0.024938023
FL,840-12,41,,0.018091618,0.018091618
FL,840-12,42,,0.01421067,0.01421067
FL,840-12,43,,0.009781637,0.009781637
FL,840-12,44,,0.011843617,0.011843617
FL,840-12,45,,0.009336065,0.009336065
FL,840-12,46,,0.007540447,0.007540447
FL,840-12,47,,0.004984473,0.004984473
FL,840-12,48,,0.005609456,0.005609456
FL,840-12,49,,0.003485167,0.003485167
FL,840-12,50,,0.002946162,0.002946162
FL,840-12,51,,0,0
FL,840-12,52,,0,0
FL,840-12,53,,0,0
FL,840-12,54,,0,0
FL,840-12,55,,0,0
FL,840-12,56,,0,0
FL,840-12,57,,0,0
FL,840-12,58,,0,0
FL,840-12,59,,0,0
FL,840-12,60,,0,0
FL,840-12,61,,0,0
FL,840-12,62,,0,0
FL,840-12,63,,0,0
FL,840-12,64,,0,0
FL,840-12,65,,0,0
FL,840-12,66,,0,0
FL,840-12,67,,0,0
FL,840-12,68,,0,0
FL,840-12,69,,0,0
FL,840-12,70,,0,0
FL,840-12,71,,0,0
FL,840-12,72,,0,0
FL,840-12,73,,0,0
FL,840-12,74,,0,0
FL,840-12,75,,0,0
FL,840-12,76,,0,0
FL,840-12,77,,0,0
FL,840-12,78,,0,0
FL,840-12,79,,0,0
FL,840-12,80,,0,0
FL,840-12,81,,0,0
FL,840-12,82,,0,0
FL,840-12,83,,0,0
FL,840-12,84,,0,0
FL,840-12,85,,0,0
FL,840-12,86,,0,0
FL,840-12,87,,0,0
FL,840-12,88,,0,0
FL,840-12,89,,0,0
FL,840-12,90,,0,0
FL,840-12,91,,0,0
FL,840-12,92,,0,0
FL,840-12,93,,0,0
FL,840-12,94,,0,0
FL,840-12,95,,0,0
FL,840-12,96,,0,0
FL,840-12,97,,0,0
FL,840-12,98,,0,0
FL,840-12,99,,0,0
FL,840-12,100,,0,0
