region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
HI,840-15,0,,,,
HI,840-15,1,,,,
HI,840-15,2,,,,
HI,840-15,3,,,,
HI,840-15,4,,,,
HI,840-15,5,,,,
HI,840-15,6,,,,
HI,840-15,7,,,,
HI,840-15,8,,,,
HI,840-15,9,,,,
HI,840-15,10,,,,
HI,840-15,11,,,,
HI,840-15,12,,,,
HI,840-15,13,,,,
HI,840-15,14,,,,
HI,840-15,15,,,,
HI,840-15,16,,,,
HI,840-15,17,,,,
HI,840-15,18,,,,
HI,840-15,19,,,,
HI,840-15,20,,,,
HI,840-15,21,,,,
HI,840-15,22,,,,
HI,840-15,23,,,,
HI,840-15,24,,,,
HI,840-15,25,,,,
HI,840-15,26,,,,
HI,840-15,27,,,,
HI,840-15,28,,,,
HI,840-15,29,,,,
HI,840-15,30,,,,
HI,840-15,31,,,,
HI,840-15,32,,,,
HI,840-15,33,,,,
HI,840-15,34,,,,
HI,840-15,35,,,,
HI,840-15,36,,,,
HI,840-15,37,,,,
HI,840-15,38,,,,
HI,840-15,39,,,,
HI,840-15,40,,,,
HI,840-15,41,,,,
HI,840-15,42,,,,
HI,840-15,43,,,,
HI,840-15,44,,,,
HI,840-15,45,,,,
HI,840-15,46,,,,
HI,840-15,47,,,,
HI,840-15,48,,,,
HI,840-15,49,,,,
HI,840-15,50,,,,
HI,840-15,51,,,,
HI,840-15,52,,,,
HI,840-15,53,,,,
HI,840-15,54,,,,
HI,840-15,55,,,,
HI,840-15,56,,,,
HI,840-15,57,,,,
HI,840-15,58,,,,
HI,840-15,59,,,,
HI,840-15,60,,,,
HI,840-15,61,,,,
HI,840-15,62,,,,
HI,840-15,63,,,,
HI,840-15,64,,,,
HI,840-15,65,,,,
HI,840-15,66,,,,
HI,840-15,67,,,,
HI,840-15,68,,,,
HI,840-15,69,,,,
HI,840-15,70,,,,
HI,840-15,71,,,,
HI,840-15,72,,,,
HI,840-15,73,,,,
HI,840-15,74,,,,
HI,840-15,75,,,,
HI,840-15,76,,,,
HI,840-15,77,,,,
HI,840-15,78,,,,
HI,840-15,79,,,,
HI,840-15,80,,,,
HI,840-15,81,,,,
HI,840-15,82,,,,
HI,840-15,83,,,,
HI,840-15,84,,,,
HI,840-15,85,,,,
HI,840-15,86,,,,
HI,840-15,87,,,,
HI,840-15,88,,,,
HI,840-15,89,,,,
HI,840-15,90,,,,
HI,840-15,91,,,,
HI,840-15,92,,,,
HI,840-15,93,,,,
HI,840-15,94,,,,
HI,840-15,95,,,,
HI,840-15,96,,,,
HI,840-15,97,,,,
HI,840-15,98,,,,
HI,840-15,99,,,,
HI,840-15,100,,,,
