"from","to","gender","age","mrate"
"IA","AL","m","0","0.000134078"
"IA","AL","m","1","0.000134078"
"IA","AL","m","2","0.000134078"
"IA","AL","m","3","0.000134078"
"IA","AL","m","4","0.000134078"
"IA","AL","m","5","0.000155639"
"IA","AL","m","6","0.000155639"
"IA","AL","m","7","0.000155639"
"IA","AL","m","8","0.000155639"
"IA","AL","m","9","0.000155639"
"IA","AL","m","10","0.000282919"
"IA","AL","m","11","0.000282919"
"IA","AL","m","12","0.000282919"
"IA","AL","m","13","0.000282919"
"IA","AL","m","14","0.000282919"
"IA","AL","m","15","0.000484437"
"IA","AL","m","16","0.000484437"
"IA","AL","m","17","0.000484437"
"IA","AL","m","18","0.000484437"
"IA","AL","m","19","0.000484437"
"IA","AL","m","20","0.000418183"
"IA","AL","m","21","0.000418183"
"IA","AL","m","22","0.000418183"
"IA","AL","m","23","0.000418183"
"IA","AL","m","24","0.000418183"
"IA","AL","m","25","0.000262959"
"IA","AL","m","26","0.000262959"
"IA","AL","m","27","0.000262959"
"IA","AL","m","28","0.000262959"
"IA","AL","m","29","0.000262959"
"IA","AL","m","30","0"
"IA","AL","m","31","0"
"IA","AL","m","32","0"
"IA","AL","m","33","0"
"IA","AL","m","34","0"
"IA","AL","m","35","6.85818e-05"
"IA","AL","m","36","6.85818e-05"
"IA","AL","m","37","6.85818e-05"
"IA","AL","m","38","6.85818e-05"
"IA","AL","m","39","6.85818e-05"
"IA","AL","m","40","8.60398e-05"
"IA","AL","m","41","8.60398e-05"
"IA","AL","m","42","8.60398e-05"
"IA","AL","m","43","8.60398e-05"
"IA","AL","m","44","8.60398e-05"
"IA","AL","m","45","0.000128481"
"IA","AL","m","46","0.000128481"
"IA","AL","m","47","0.000128481"
"IA","AL","m","48","0.000128481"
"IA","AL","m","49","0.000128481"
"IA","AL","m","50","6.32387e-05"
"IA","AL","m","51","6.32387e-05"
"IA","AL","m","52","6.32387e-05"
"IA","AL","m","53","6.32387e-05"
"IA","AL","m","54","6.32387e-05"
"IA","AL","m","55","6.89737e-05"
"IA","AL","m","56","6.89737e-05"
"IA","AL","m","57","6.89737e-05"
"IA","AL","m","58","6.89737e-05"
"IA","AL","m","59","6.89737e-05"
"IA","AL","m","60","0.000137548"
"IA","AL","m","61","0.000137548"
"IA","AL","m","62","0.000137548"
"IA","AL","m","63","0.000137548"
"IA","AL","m","64","0.000137548"
"IA","AL","m","65","0.000134209"
"IA","AL","m","66","0.000134209"
"IA","AL","m","67","0.000134209"
"IA","AL","m","68","0.000134209"
"IA","AL","m","69","0.000134209"
"IA","AL","m","70","0.000111016"
"IA","AL","m","71","0.000111016"
"IA","AL","m","72","0.000111016"
"IA","AL","m","73","0.000111016"
"IA","AL","m","74","0.000111016"
"IA","AL","m","75","0"
"IA","AL","m","76","0"
"IA","AL","m","77","0"
"IA","AL","m","78","0"
"IA","AL","m","79","0"
"IA","AL","m","80","0"
"IA","AL","m","81","0"
"IA","AL","m","82","0"
"IA","AL","m","83","0"
"IA","AL","m","84","0"
"IA","AL","m","85","0"
"IA","AL","m","86","0"
"IA","AL","m","87","0"
"IA","AL","m","88","0"
"IA","AL","m","89","0"
"IA","AL","m","90","0"
"IA","AL","m","91","0"
"IA","AL","m","92","0"
"IA","AL","m","93","0"
"IA","AL","m","94","0"
"IA","AL","m","95","0"
"IA","AL","m","96","0"
"IA","AL","m","97","0"
"IA","AL","m","98","0"
"IA","AL","m","99","0"
"IA","AL","m","100","0"
"IA","AL","f","0","3.28603e-05"
"IA","AL","f","1","3.28603e-05"
"IA","AL","f","2","3.28603e-05"
"IA","AL","f","3","3.28603e-05"
"IA","AL","f","4","3.28603e-05"
"IA","AL","f","5","3.38069e-05"
"IA","AL","f","6","3.38069e-05"
"IA","AL","f","7","3.38069e-05"
"IA","AL","f","8","3.38069e-05"
"IA","AL","f","9","3.38069e-05"
"IA","AL","f","10","3.53841e-05"
"IA","AL","f","11","3.53841e-05"
"IA","AL","f","12","3.53841e-05"
"IA","AL","f","13","3.53841e-05"
"IA","AL","f","14","3.53841e-05"
"IA","AL","f","15","1.50438e-05"
"IA","AL","f","16","1.50438e-05"
"IA","AL","f","17","1.50438e-05"
"IA","AL","f","18","1.50438e-05"
"IA","AL","f","19","1.50438e-05"
"IA","AL","f","20","0.000109563"
"IA","AL","f","21","0.000109563"
"IA","AL","f","22","0.000109563"
"IA","AL","f","23","0.000109563"
"IA","AL","f","24","0.000109563"
"IA","AL","f","25","0.000107986"
"IA","AL","f","26","0.000107986"
"IA","AL","f","27","0.000107986"
"IA","AL","f","28","0.000107986"
"IA","AL","f","29","0.000107986"
"IA","AL","f","30","0.000184825"
"IA","AL","f","31","0.000184825"
"IA","AL","f","32","0.000184825"
"IA","AL","f","33","0.000184825"
"IA","AL","f","34","0.000184825"
"IA","AL","f","35","7.84055e-05"
"IA","AL","f","36","7.84055e-05"
"IA","AL","f","37","7.84055e-05"
"IA","AL","f","38","7.84055e-05"
"IA","AL","f","39","7.84055e-05"
"IA","AL","f","40","9.77093e-05"
"IA","AL","f","41","9.77093e-05"
"IA","AL","f","42","9.77093e-05"
"IA","AL","f","43","9.77093e-05"
"IA","AL","f","44","9.77093e-05"
"IA","AL","f","45","1.93038e-05"
"IA","AL","f","46","1.93038e-05"
"IA","AL","f","47","1.93038e-05"
"IA","AL","f","48","1.93038e-05"
"IA","AL","f","49","1.93038e-05"
"IA","AL","f","50","6.33806e-05"
"IA","AL","f","51","6.33806e-05"
"IA","AL","f","52","6.33806e-05"
"IA","AL","f","53","6.33806e-05"
"IA","AL","f","54","6.33806e-05"
"IA","AL","f","55","5.75275e-05"
"IA","AL","f","56","5.75275e-05"
"IA","AL","f","57","5.75275e-05"
"IA","AL","f","58","5.75275e-05"
"IA","AL","f","59","5.75275e-05"
"IA","AL","f","60","0.000198611"
"IA","AL","f","61","0.000198611"
"IA","AL","f","62","0.000198611"
"IA","AL","f","63","0.000198611"
"IA","AL","f","64","0.000198611"
"IA","AL","f","65","0.000154534"
"IA","AL","f","66","0.000154534"
"IA","AL","f","67","0.000154534"
"IA","AL","f","68","0.000154534"
"IA","AL","f","69","0.000154534"
"IA","AL","f","70","0.000141083"
"IA","AL","f","71","0.000141083"
"IA","AL","f","72","0.000141083"
"IA","AL","f","73","0.000141083"
"IA","AL","f","74","0.000141083"
"IA","AL","f","75","0"
