region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
KS,840-20,0,,,20260,20370,,
KS,840-20,1,,,19440,21140,,
KS,840-20,2,,,20900,21330,,
KS,840-20,3,,,19900,22080,,
KS,840-20,4,,,20360,20810,,
KS,840-20,5,,,19520,20910,,
KS,840-20,6,,,20450,20790,,
KS,840-20,7,,,19900,21070,,
KS,840-20,8,,,18840,20060,,
KS,840-20,9,,,20600,21160,,
KS,840-20,10,,,19780,20930,,
KS,840-20,11,,,19630,20590,,
KS,840-20,12,,,18890,20400,,
KS,840-20,13,,,18760,20250,,
KS,840-20,14,,,18960,20130,,
KS,840-20,15,,,18750,20150,,
KS,840-20,16,,,18210,20000,,
KS,840-20,17,,,19410,21260,,
KS,840-20,18,,,19980,20950,,
KS,840-20,19,,,20700,21470,,
KS,840-20,20,,,20100,21700,,
KS,840-20,21,,,18820,20430,,
KS,840-20,22,,,19510,20410,,
KS,840-20,23,,,19810,20970,,
KS,840-20,24,,,20070,20710,,
KS,840-20,25,,,19110,20410,,
KS,840-20,26,,,19340,20370,,
KS,840-20,27,,,19920,20240,,
KS,840-20,28,,,19730,19620,,
KS,840-20,29,,,20040,19710,,
KS,840-20,30,,,19400,20270,,
KS,840-20,31,,,17760,18150,,
KS,840-20,32,,,16930,18710,,
KS,840-20,33,,,17450,17630,,
KS,840-20,34,,,17020,17020,,
KS,840-20,35,,,17200,18330,,
KS,840-20,36,,,15520,17060,,
KS,840-20,37,,,16420,16840,,
KS,840-20,38,,,18090,17490,,
KS,840-20,39,,,18480,18530,,
KS,840-20,40,,,18020,17640,,
KS,840-20,41,,,17230,17220,,
KS,840-20,42,,,15710,17160,,
KS,840-20,43,,,16410,17080,,
KS,840-20,44,,,17590,17250,,
KS,840-20,45,,,18770,19040,,
KS,840-20,46,,,20930,20370,,
KS,840-20,47,,,19940,19510,,
KS,840-20,48,,,21130,20480,,
KS,840-20,49,,,21420,20310,,
KS,840-20,50,,,20970,19820,,
KS,840-20,51,,,20680,20310,,
KS,840-20,52,,,20750,20260,,
KS,840-20,53,,,20940,20280,,
KS,840-20,54,,,19630,20290,,
KS,840-20,55,,,19280,19670,,
KS,840-20,56,,,19390,18940,,
KS,840-20,57,,,18870,18410,,
KS,840-20,58,,,17800,17400,,
KS,840-20,59,,,16890,16490,,
KS,840-20,60,,,16270,17070,,
KS,840-20,61,,,15510,15090,,
KS,840-20,62,,,15830,14840,,
KS,840-20,63,,,16150,14740,,
KS,840-20,64,,,11480,10830,,
KS,840-20,65,,,11520,11650,,
KS,840-20,66,,,12040,11130,,
KS,840-20,67,,,12100,10520,,
KS,840-20,68,,,10960,9750,,
KS,840-20,69,,,9450,8790,,
KS,840-20,70,,,9360,8620,,
KS,840-20,71,,,8750,8530,,
KS,840-20,72,,,9090,7490,,
KS,840-20,73,,,8540,7260,,
KS,840-20,74,,,8240,7320,,
KS,840-20,75,,,8580,6920,,
KS,840-20,76,,,7830,6060,,
KS,840-20,77,,,7880,5940,,
KS,840-20,78,,,7490,6010,,
KS,840-20,79,,,7160,5670,,
KS,840-20,80,,,7660,5130,,
KS,840-20,81,,,6950,4850,,
KS,840-20,82,,,6520,4960,,
KS,840-20,83,,,6660,4190,,
KS,840-20,84,,,6070,4030,,
KS,840-20,85,,,5910,3600,,
KS,840-20,86,,,5180,3020,,
KS,840-20,87,,,4860,2820,,
KS,840-20,88,,,4530,2310,,
KS,840-20,89,,,3740,2120,,
KS,840-20,90,,,3509.914096,1492.757881,,
KS,840-20,91,,,2746.273791,1101.035359,,
KS,840-20,92,,,2348.564716,881.119664,,
KS,840-20,93,,,1816.837516,635.3812151,,
KS,840-20,94,,,1451.718171,462.6664743,,
KS,840-20,95,,,1135.997999,335.0412602,,
KS,840-20,96,,,859.2368505,232.5103578,,
KS,840-20,97,,,618.884721,155.9711236,,
KS,840-20,98,,,429.178178,100.3139039,,
KS,840-20,99,,,298.1560219,64.47242803,,
KS,840-20,100,,,515.2379395,98.73033354,,
