region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
KS,840-20,0,,,,
KS,840-20,1,,,,
KS,840-20,2,,,,
KS,840-20,3,,,,
KS,840-20,4,,,,
KS,840-20,5,,,,
KS,840-20,6,,,,
KS,840-20,7,,,,
KS,840-20,8,,,,
KS,840-20,9,,,,
KS,840-20,10,,,,
KS,840-20,11,,,,
KS,840-20,12,,,,
KS,840-20,13,,,,
KS,840-20,14,,,,
KS,840-20,15,,,,
KS,840-20,16,,,,
KS,840-20,17,,,,
KS,840-20,18,,,,
KS,840-20,19,,,,
KS,840-20,20,,,,
KS,840-20,21,,,,
KS,840-20,22,,,,
KS,840-20,23,,,,
KS,840-20,24,,,,
KS,840-20,25,,,,
KS,840-20,26,,,,
KS,840-20,27,,,,
KS,840-20,28,,,,
KS,840-20,29,,,,
KS,840-20,30,,,,
KS,840-20,31,,,,
KS,840-20,32,,,,
KS,840-20,33,,,,
KS,840-20,34,,,,
KS,840-20,35,,,,
KS,840-20,36,,,,
KS,840-20,37,,,,
KS,840-20,38,,,,
KS,840-20,39,,,,
KS,840-20,40,,,,
KS,840-20,41,,,,
KS,840-20,42,,,,
KS,840-20,43,,,,
KS,840-20,44,,,,
KS,840-20,45,,,,
KS,840-20,46,,,,
KS,840-20,47,,,,
KS,840-20,48,,,,
KS,840-20,49,,,,
KS,840-20,50,,,,
KS,840-20,51,,,,
KS,840-20,52,,,,
KS,840-20,53,,,,
KS,840-20,54,,,,
KS,840-20,55,,,,
KS,840-20,56,,,,
KS,840-20,57,,,,
KS,840-20,58,,,,
KS,840-20,59,,,,
KS,840-20,60,,,,
KS,840-20,61,,,,
KS,840-20,62,,,,
KS,840-20,63,,,,
KS,840-20,64,,,,
KS,840-20,65,,,,
KS,840-20,66,,,,
KS,840-20,67,,,,
KS,840-20,68,,,,
KS,840-20,69,,,,
KS,840-20,70,,,,
KS,840-20,71,,,,
KS,840-20,72,,,,
KS,840-20,73,,,,
KS,840-20,74,,,,
KS,840-20,75,,,,
KS,840-20,76,,,,
KS,840-20,77,,,,
KS,840-20,78,,,,
KS,840-20,79,,,,
KS,840-20,80,,,,
KS,840-20,81,,,,
KS,840-20,82,,,,
KS,840-20,83,,,,
KS,840-20,84,,,,
KS,840-20,85,,,,
KS,840-20,86,,,,
KS,840-20,87,,,,
KS,840-20,88,,,,
KS,840-20,89,,,,
KS,840-20,90,,,,
KS,840-20,91,,,,
KS,840-20,92,,,,
KS,840-20,93,,,,
KS,840-20,94,,,,
KS,840-20,95,,,,
KS,840-20,96,,,,
KS,840-20,97,,,,
KS,840-20,98,,,,
KS,840-20,99,,,,
KS,840-20,100,,,,
