year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2015,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2020,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2025,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2030,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2035,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2040,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2045,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2050,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2055,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2060,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2065,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2070,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2075,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2080,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2085,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2090,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2095,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
2100,1.85,1.85,1.85,72.5,78.2,72.5,78.2,72.5,78.2,0.732,105,105,105,6866.837969,6392.390482
