year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2015,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2020,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2025,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2030,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2035,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2040,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2045,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2050,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2055,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2060,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2065,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2070,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2075,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2080,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2085,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2090,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2095,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
2100,1.71,1.71,1.71,77.8,82.4,77.8,82.4,77.8,82.4,0.92,105,105,105,12055.68922,11222.73066
