region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
MN,840-27,0,,,32110,34310,,
MN,840-27,1,,,32980,36600,,
MN,840-27,2,,,35410,38380,,
MN,840-27,3,,,36640,37660,,
MN,840-27,4,,,36010,35230,,
MN,840-27,5,,,35970,36660,,
MN,840-27,6,,,35670,37830,,
MN,840-27,7,,,35690,36020,,
MN,840-27,8,,,34790,36070,,
MN,840-27,9,,,34830,36560,,
MN,840-27,10,,,34430,36800,,
MN,840-27,11,,,35390,36030,,
MN,840-27,12,,,34720,35180,,
MN,840-27,13,,,34290,36200,,
MN,840-27,14,,,33760,35880,,
MN,840-27,15,,,35170,35960,,
MN,840-27,16,,,36120,36330,,
MN,840-27,17,,,36150,38840,,
MN,840-27,18,,,36710,38430,,
MN,840-27,19,,,35210,36350,,
MN,840-27,20,,,35180,36670,,
MN,840-27,21,,,35700,35280,,
MN,840-27,22,,,34450,35680,,
MN,840-27,23,,,34720,34840,,
MN,840-27,24,,,33280,35700,,
MN,840-27,25,,,36290,37980,,
MN,840-27,26,,,36910,36820,,
MN,840-27,27,,,37360,38800,,
MN,840-27,28,,,37640,37890,,
MN,840-27,29,,,36970,37440,,
MN,840-27,30,,,36540,39480,,
MN,840-27,31,,,34460,35620,,
MN,840-27,32,,,34640,34200,,
MN,840-27,33,,,32580,33230,,
MN,840-27,34,,,31250,33380,,
MN,840-27,35,,,33170,34160,,
MN,840-27,36,,,30980,30490,,
MN,840-27,37,,,31200,31840,,
MN,840-27,38,,,32980,33520,,
MN,840-27,39,,,36390,37040,,
MN,840-27,40,,,36010,37140,,
MN,840-27,41,,,34210,35290,,
MN,840-27,42,,,34520,33740,,
MN,840-27,43,,,34940,34770,,
MN,840-27,44,,,36100,36300,,
MN,840-27,45,,,39040,38430,,
MN,840-27,46,,,39640,40160,,
MN,840-27,47,,,40330,40910,,
MN,840-27,48,,,41290,41940,,
MN,840-27,49,,,42000,42360,,
MN,840-27,50,,,42710,42210,,
MN,840-27,51,,,41200,39480,,
MN,840-27,52,,,40290,40160,,
MN,840-27,53,,,38100,38580,,
MN,840-27,54,,,38110,37810,,
MN,840-27,55,,,37710,37650,,
MN,840-27,56,,,35480,36020,,
MN,840-27,57,,,36000,36060,,
MN,840-27,58,,,34610,33720,,
MN,840-27,59,,,31650,32590,,
MN,840-27,60,,,31710,30840,,
MN,840-27,61,,,28620,28490,,
MN,840-27,62,,,30920,29290,,
MN,840-27,63,,,28860,26970,,
MN,840-27,64,,,21560,20790,,
MN,840-27,65,,,22320,21400,,
MN,840-27,66,,,22690,21510,,
MN,840-27,67,,,22320,20710,,
MN,840-27,68,,,19830,18400,,
MN,840-27,69,,,19380,16480,,
MN,840-27,70,,,17330,15690,,
MN,840-27,71,,,16530,15070,,
MN,840-27,72,,,15950,14070,,
MN,840-27,73,,,15910,12840,,
MN,840-27,74,,,14560,12690,,
MN,840-27,75,,,14730,12120,,
MN,840-27,76,,,12950,10810,,
MN,840-27,77,,,13430,10170,,
MN,840-27,78,,,13440,10570,,
MN,840-27,79,,,13790,10290,,
MN,840-27,80,,,12890,9400,,
MN,840-27,81,,,12480,8430,,
MN,840-27,82,,,12330,8570,,
MN,840-27,83,,,11010,7990,,
MN,840-27,84,,,10930,6600,,
MN,840-27,85,,,9560,6120,,
MN,840-27,86,,,9180,5010,,
MN,840-27,87,,,8420,4950,,
MN,840-27,88,,,8000,4190,,
MN,840-27,89,,,6900,3610,,
MN,840-27,90,,,6544.550568,2692.870781,,
MN,840-27,91,,,5120.674526,1986.220261,,
MN,840-27,92,,,4379.110179,1589.50184,,
MN,840-27,93,,,3387.656982,1146.200286,,
MN,840-27,94,,,2706.859121,834.6303483,,
MN,840-27,95,,,2118.170459,604.3999711,,
MN,840-27,96,,,1602.124401,419.438649,,
MN,840-27,97,,,1153.966234,281.3651744,,
MN,840-27,98,,,800.2413198,180.9619525,,
MN,840-27,99,,,555.9387236,116.3054772,,
MN,840-27,100,,,960.7074866,178.10526,,
