region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
MS,840-28,0,,,,
MS,840-28,1,,,,
MS,840-28,2,,,,
MS,840-28,3,,,,
MS,840-28,4,,,,
MS,840-28,5,,,,
MS,840-28,6,,,,
MS,840-28,7,,,,
MS,840-28,8,,,,
MS,840-28,9,,,,
MS,840-28,10,,,,
MS,840-28,11,,,,
MS,840-28,12,,,,
MS,840-28,13,,,,
MS,840-28,14,,,,
MS,840-28,15,,,,
MS,840-28,16,,,,
MS,840-28,17,,,,
MS,840-28,18,,,,
MS,840-28,19,,,,
MS,840-28,20,,,,
MS,840-28,21,,,,
MS,840-28,22,,,,
MS,840-28,23,,,,
MS,840-28,24,,,,
MS,840-28,25,,,,
MS,840-28,26,,,,
MS,840-28,27,,,,
MS,840-28,28,,,,
MS,840-28,29,,,,
MS,840-28,30,,,,
MS,840-28,31,,,,
MS,840-28,32,,,,
MS,840-28,33,,,,
MS,840-28,34,,,,
MS,840-28,35,,,,
MS,840-28,36,,,,
MS,840-28,37,,,,
MS,840-28,38,,,,
MS,840-28,39,,,,
MS,840-28,40,,,,
MS,840-28,41,,,,
MS,840-28,42,,,,
MS,840-28,43,,,,
MS,840-28,44,,,,
MS,840-28,45,,,,
MS,840-28,46,,,,
MS,840-28,47,,,,
MS,840-28,48,,,,
MS,840-28,49,,,,
MS,840-28,50,,,,
MS,840-28,51,,,,
MS,840-28,52,,,,
MS,840-28,53,,,,
MS,840-28,54,,,,
MS,840-28,55,,,,
MS,840-28,56,,,,
MS,840-28,57,,,,
MS,840-28,58,,,,
MS,840-28,59,,,,
MS,840-28,60,,,,
MS,840-28,61,,,,
MS,840-28,62,,,,
MS,840-28,63,,,,
MS,840-28,64,,,,
MS,840-28,65,,,,
MS,840-28,66,,,,
MS,840-28,67,,,,
MS,840-28,68,,,,
MS,840-28,69,,,,
MS,840-28,70,,,,
MS,840-28,71,,,,
MS,840-28,72,,,,
MS,840-28,73,,,,
MS,840-28,74,,,,
MS,840-28,75,,,,
MS,840-28,76,,,,
MS,840-28,77,,,,
MS,840-28,78,,,,
MS,840-28,79,,,,
MS,840-28,80,,,,
MS,840-28,81,,,,
MS,840-28,82,,,,
MS,840-28,83,,,,
MS,840-28,84,,,,
MS,840-28,85,,,,
MS,840-28,86,,,,
MS,840-28,87,,,,
MS,840-28,88,,,,
MS,840-28,89,,,,
MS,840-28,90,,,,
MS,840-28,91,,,,
MS,840-28,92,,,,
MS,840-28,93,,,,
MS,840-28,94,,,,
MS,840-28,95,,,,
MS,840-28,96,,,,
MS,840-28,97,,,,
MS,840-28,98,,,,
MS,840-28,99,,,,
MS,840-28,100,,,,
