region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
MO,840-29,0,,,36080,39120,,
MO,840-29,1,,,37810,39890,,
MO,840-29,2,,,39050,39970,,
MO,840-29,3,,,39100,40510,,
MO,840-29,4,,,38970,40500,,
MO,840-29,5,,,37810,40550,,
MO,840-29,6,,,36340,39850,,
MO,840-29,7,,,38510,40160,,
MO,840-29,8,,,38250,39970,,
MO,840-29,9,,,39890,40560,,
MO,840-29,10,,,38270,41640,,
MO,840-29,11,,,39060,41360,,
MO,840-29,12,,,39910,40180,,
MO,840-29,13,,,37880,39710,,
MO,840-29,14,,,38680,40180,,
MO,840-29,15,,,39880,41610,,
MO,840-29,16,,,40500,41990,,
MO,840-29,17,,,40820,44430,,
MO,840-29,18,,,41540,44900,,
MO,840-29,19,,,43520,46610,,
MO,840-29,20,,,42610,44190,,
MO,840-29,21,,,41890,41520,,
MO,840-29,22,,,40400,41290,,
MO,840-29,23,,,40210,40040,,
MO,840-29,24,,,40540,42210,,
MO,840-29,25,,,40450,40330,,
MO,840-29,26,,,39910,40100,,
MO,840-29,27,,,40890,41540,,
MO,840-29,28,,,39950,39430,,
MO,840-29,29,,,39990,39300,,
MO,840-29,30,,,40470,40490,,
MO,840-29,31,,,37530,37230,,
MO,840-29,32,,,36760,36500,,
MO,840-29,33,,,35840,36290,,
MO,840-29,34,,,35440,34380,,
MO,840-29,35,,,35280,35290,,
MO,840-29,36,,,33400,34580,,
MO,840-29,37,,,37500,36210,,
MO,840-29,38,,,38100,38410,,
MO,840-29,39,,,40360,38760,,
MO,840-29,40,,,40120,39160,,
MO,840-29,41,,,37140,36890,,
MO,840-29,42,,,37700,35840,,
MO,840-29,43,,,38280,37550,,
MO,840-29,44,,,39490,37750,,
MO,840-29,45,,,43190,42540,,
MO,840-29,46,,,43290,43120,,
MO,840-29,47,,,44210,43880,,
MO,840-29,48,,,45670,44830,,
MO,840-29,49,,,46350,45350,,
MO,840-29,50,,,47180,45000,,
MO,840-29,51,,,45470,44060,,
MO,840-29,52,,,45650,43300,,
MO,840-29,53,,,44800,42180,,
MO,840-29,54,,,43600,41650,,
MO,840-29,55,,,44070,41490,,
MO,840-29,56,,,41410,38670,,
MO,840-29,57,,,40840,39340,,
MO,840-29,58,,,40990,36860,,
MO,840-29,59,,,36930,34130,,
MO,840-29,60,,,36540,34270,,
MO,840-29,61,,,35580,33120,,
MO,840-29,62,,,36170,33510,,
MO,840-29,63,,,36340,33820,,
MO,840-29,64,,,27420,23890,,
MO,840-29,65,,,28440,25380,,
MO,840-29,66,,,29190,25770,,
MO,840-29,67,,,28790,25600,,
MO,840-29,68,,,26630,22920,,
MO,840-29,69,,,23570,21260,,
MO,840-29,70,,,22260,20460,,
MO,840-29,71,,,21840,18810,,
MO,840-29,72,,,20680,18060,,
MO,840-29,73,,,19680,16030,,
MO,840-29,74,,,19980,15920,,
MO,840-29,75,,,19520,15020,,
MO,840-29,76,,,17780,13900,,
MO,840-29,77,,,17480,13600,,
MO,840-29,78,,,16880,12460,,
MO,840-29,79,,,16340,11880,,
MO,840-29,80,,,15890,11140,,
MO,840-29,81,,,14670,10040,,
MO,840-29,82,,,14880,9340,,
MO,840-29,83,,,13430,8740,,
MO,840-29,84,,,13140,7450,,
MO,840-29,85,,,12280,6900,,
MO,840-29,86,,,10670,6060,,
MO,840-29,87,,,9680,5110,,
MO,840-29,88,,,8740,4490,,
MO,840-29,89,,,7910,3520,,
MO,840-29,90,,,6461.990605,2671.392251,,
MO,840-29,91,,,5056.076859,1970.378025,,
MO,840-29,92,,,4323.867398,1576.823859,,
MO,840-29,93,,,3344.921453,1137.05811,,
MO,840-29,94,,,2672.711904,827.9732768,,
MO,840-29,95,,,2091.449591,599.5792336,,
MO,840-29,96,,,1581.91349,416.0931762,,
MO,840-29,97,,,1139.40887,279.1209855,,
MO,840-29,98,,,790.1462196,179.518587,,
MO,840-29,99,,,548.9255177,115.3778163,,
MO,840-29,100,,,948.5880945,176.6846796,,
