region,region.code,age,rural_female,rural_male,urban_female,urban_male,all_female,all_male
MT,840-30,0,,,5940,5630,,
MT,840-30,1,,,5940,6510,,
MT,840-30,2,,,6090,6230,,
MT,840-30,3,,,6280,6400,,
MT,840-30,4,,,5840,6240,,
MT,840-30,5,,,6000,6130,,
MT,840-30,6,,,6140,5910,,
MT,840-30,7,,,5960,6120,,
MT,840-30,8,,,6250,6630,,
MT,840-30,9,,,5910,6220,,
MT,840-30,10,,,5680,6300,,
MT,840-30,11,,,6000,6470,,
MT,840-30,12,,,6280,6270,,
MT,840-30,13,,,5680,6560,,
MT,840-30,14,,,5990,6850,,
MT,840-30,15,,,6070,6290,,
MT,840-30,16,,,6650,6620,,
MT,840-30,17,,,6420,7140,,
MT,840-30,18,,,6210,6940,,
MT,840-30,19,,,6630,6840,,
MT,840-30,20,,,6680,7580,,
MT,840-30,21,,,6590,7250,,
MT,840-30,22,,,6510,7180,,
MT,840-30,23,,,6730,6770,,
MT,840-30,24,,,6280,6360,,
MT,840-30,25,,,6260,6860,,
MT,840-30,26,,,6160,7070,,
MT,840-30,27,,,6170,6590,,
MT,840-30,28,,,6500,6630,,
MT,840-30,29,,,5860,6150,,
MT,840-30,30,,,6140,6240,,
MT,840-30,31,,,5400,6070,,
MT,840-30,32,,,5760,6360,,
MT,840-30,33,,,5880,5810,,
MT,840-30,34,,,5560,5880,,
MT,840-30,35,,,5730,5780,,
MT,840-30,36,,,4660,5680,,
MT,840-30,37,,,5260,5490,,
MT,840-30,38,,,5220,5580,,
MT,840-30,39,,,5990,6700,,
MT,840-30,40,,,5700,6030,,
MT,840-30,41,,,5550,5530,,
MT,840-30,42,,,5470,5540,,
MT,840-30,43,,,5520,5670,,
MT,840-30,44,,,5830,5920,,
MT,840-30,45,,,6490,6520,,
MT,840-30,46,,,7250,7160,,
MT,840-30,47,,,7760,6850,,
MT,840-30,48,,,7430,7270,,
MT,840-30,49,,,8040,7750,,
MT,840-30,50,,,7650,8200,,
MT,840-30,51,,,7620,7540,,
MT,840-30,52,,,8190,7810,,
MT,840-30,53,,,7940,7790,,
MT,840-30,54,,,8340,7600,,
MT,840-30,55,,,8320,7660,,
MT,840-30,56,,,7640,7840,,
MT,840-30,57,,,7760,7790,,
MT,840-30,58,,,7240,7510,,
MT,840-30,59,,,7140,6820,,
MT,840-30,60,,,6410,6940,,
MT,840-30,61,,,6930,6780,,
MT,840-30,62,,,6230,6830,,
MT,840-30,63,,,6000,6660,,
MT,840-30,64,,,5030,4690,,
MT,840-30,65,,,4660,5170,,
MT,840-30,66,,,5010,5090,,
MT,840-30,67,,,5030,4770,,
MT,840-30,68,,,4480,4460,,
MT,840-30,69,,,3870,4170,,
MT,840-30,70,,,3800,3870,,
MT,840-30,71,,,3670,3580,,
MT,840-30,72,,,3600,3310,,
MT,840-30,73,,,2850,3520,,
MT,840-30,74,,,2920,2940,,
MT,840-30,75,,,2790,2460,,
MT,840-30,76,,,2610,2550,,
MT,840-30,77,,,2840,2240,,
MT,840-30,78,,,2720,2160,,
MT,840-30,79,,,2760,2200,,
MT,840-30,80,,,2580,2320,,
MT,840-30,81,,,2470,1780,,
MT,840-30,82,,,2220,1960,,
MT,840-30,83,,,2230,1550,,
MT,840-30,84,,,1940,1190,,
MT,840-30,85,,,1820,1240,,
MT,840-30,86,,,1740,1230,,
MT,840-30,87,,,1790,860,,
MT,840-30,88,,,1520,850,,
MT,840-30,89,,,1370,670,,
MT,840-30,90,,,1088.898969,638.9862871,,
MT,840-30,91,,,851.990852,471.3065025,,
MT,840-30,92,,,728.6074897,377.1699281,,
MT,840-30,93,,,563.6469851,271.9797288,,
MT,840-30,94,,,450.3741053,198.0478793,,
MT,840-30,95,,,352.4265885,143.4169423,,
MT,840-30,96,,,266.5655328,99.52781501,,
MT,840-30,97,,,191.9998372,66.76461765,,
MT,840-30,98,,,133.1461862,42.94012433,,
MT,840-30,99,,,92.49849884,27.59790984,,
MT,840-30,100,,,159.8449552,42.26226508,,
