region,region_code,age,rural,urban,all
NE,840-31,0,,0,0
NE,840-31,1,,0,0
NE,840-31,2,,0,0
NE,840-31,3,,0,0
NE,840-31,4,,0,0
NE,840-31,5,,0,0
NE,840-31,6,,0,0
NE,840-31,7,,0,0
NE,840-31,8,,0,0
NE,840-31,9,,0,0
NE,840-31,10,,0,0
NE,840-31,11,,0,0
NE,840-31,12,,0,0
NE,840-31,13,,0,0
NE,840-31,14,,0,0
NE,840-31,15,,0.002191736,0.002191736
NE,840-31,16,,0.008794491,0.008794491
NE,840-31,17,,0.021619135,0.021619135
NE,840-31,18,,0.019902021,0.019902021
NE,840-31,19,,0.042949066,0.042949066
NE,840-31,20,,0.063216319,0.063216319
NE,840-31,21,,0.118245535,0.118245535
NE,840-31,22,,0.127820723,0.127820723
NE,840-31,23,,0.107349512,0.107349512
NE,840-31,24,,0.113178792,0.113178792
NE,840-31,25,,0.150052297,0.150052297
NE,840-31,26,,0.152270851,0.152270851
NE,840-31,27,,0.153556584,0.153556584
NE,840-31,28,,0.116954474,0.116954474
NE,840-31,29,,0.157042441,0.157042441
NE,840-31,30,,0.113366149,0.113366149
NE,840-31,31,,0.167205361,0.167205361
NE,840-31,32,,0.128821581,0.128821581
NE,840-31,33,,0.128006873,0.128006873
NE,840-31,34,,0.11317054,0.11317054
NE,840-31,35,,0.089594499,0.089594499
NE,840-31,36,,0.089576695,0.089576695
NE,840-31,37,,0.038853763,0.038853763
NE,840-31,38,,0.045533981,0.045533981
NE,840-31,39,,0.020563528,0.020563528
NE,840-31,40,,0.026854519,0.026854519
NE,840-31,41,,0.023717647,0.023717647
NE,840-31,42,,0.017033585,0.017033585
NE,840-31,43,,0.011067411,0.011067411
NE,840-31,44,,0.010327795,0.010327795
NE,840-31,45,,0.002470392,0.002470392
NE,840-31,46,,0.004856512,0.004856512
NE,840-31,47,,0.00944,0.00944
NE,840-31,48,,0.004342334,0.004342334
NE,840-31,49,,0.00897493,0.00897493
NE,840-31,50,,0.001647323,0.001647323
NE,840-31,51,,0,0
NE,840-31,52,,0,0
NE,840-31,53,,0,0
NE,840-31,54,,0,0
NE,840-31,55,,0,0
NE,840-31,56,,0,0
NE,840-31,57,,0,0
NE,840-31,58,,0,0
NE,840-31,59,,0,0
NE,840-31,60,,0,0
NE,840-31,61,,0,0
NE,840-31,62,,0,0
NE,840-31,63,,0,0
NE,840-31,64,,0,0
NE,840-31,65,,0,0
NE,840-31,66,,0,0
NE,840-31,67,,0,0
NE,840-31,68,,0,0
NE,840-31,69,,0,0
NE,840-31,70,,0,0
NE,840-31,71,,0,0
NE,840-31,72,,0,0
NE,840-31,73,,0,0
NE,840-31,74,,0,0
NE,840-31,75,,0,0
NE,840-31,76,,0,0
NE,840-31,77,,0,0
NE,840-31,78,,0,0
NE,840-31,79,,0,0
NE,840-31,80,,0,0
NE,840-31,81,,0,0
NE,840-31,82,,0,0
NE,840-31,83,,0,0
NE,840-31,84,,0,0
NE,840-31,85,,0,0
NE,840-31,86,,0,0
NE,840-31,87,,0,0
NE,840-31,88,,0,0
NE,840-31,89,,0,0
NE,840-31,90,,0,0
NE,840-31,91,,0,0
NE,840-31,92,,0,0
NE,840-31,93,,0,0
NE,840-31,94,,0,0
NE,840-31,95,,0,0
NE,840-31,96,,0,0
NE,840-31,97,,0,0
NE,840-31,98,,0,0
NE,840-31,99,,0,0
NE,840-31,100,,0,0
