region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
NV,840-32,0,,,,
NV,840-32,1,,,,
NV,840-32,2,,,,
NV,840-32,3,,,,
NV,840-32,4,,,,
NV,840-32,5,,,,
NV,840-32,6,,,,
NV,840-32,7,,,,
NV,840-32,8,,,,
NV,840-32,9,,,,
NV,840-32,10,,,,
NV,840-32,11,,,,
NV,840-32,12,,,,
NV,840-32,13,,,,
NV,840-32,14,,,,
NV,840-32,15,,,,
NV,840-32,16,,,,
NV,840-32,17,,,,
NV,840-32,18,,,,
NV,840-32,19,,,,
NV,840-32,20,,,,
NV,840-32,21,,,,
NV,840-32,22,,,,
NV,840-32,23,,,,
NV,840-32,24,,,,
NV,840-32,25,,,,
NV,840-32,26,,,,
NV,840-32,27,,,,
NV,840-32,28,,,,
NV,840-32,29,,,,
NV,840-32,30,,,,
NV,840-32,31,,,,
NV,840-32,32,,,,
NV,840-32,33,,,,
NV,840-32,34,,,,
NV,840-32,35,,,,
NV,840-32,36,,,,
NV,840-32,37,,,,
NV,840-32,38,,,,
NV,840-32,39,,,,
NV,840-32,40,,,,
NV,840-32,41,,,,
NV,840-32,42,,,,
NV,840-32,43,,,,
NV,840-32,44,,,,
NV,840-32,45,,,,
NV,840-32,46,,,,
NV,840-32,47,,,,
NV,840-32,48,,,,
NV,840-32,49,,,,
NV,840-32,50,,,,
NV,840-32,51,,,,
NV,840-32,52,,,,
NV,840-32,53,,,,
NV,840-32,54,,,,
NV,840-32,55,,,,
NV,840-32,56,,,,
NV,840-32,57,,,,
NV,840-32,58,,,,
NV,840-32,59,,,,
NV,840-32,60,,,,
NV,840-32,61,,,,
NV,840-32,62,,,,
NV,840-32,63,,,,
NV,840-32,64,,,,
NV,840-32,65,,,,
NV,840-32,66,,,,
NV,840-32,67,,,,
NV,840-32,68,,,,
NV,840-32,69,,,,
NV,840-32,70,,,,
NV,840-32,71,,,,
NV,840-32,72,,,,
NV,840-32,73,,,,
NV,840-32,74,,,,
NV,840-32,75,,,,
NV,840-32,76,,,,
NV,840-32,77,,,,
NV,840-32,78,,,,
NV,840-32,79,,,,
NV,840-32,80,,,,
NV,840-32,81,,,,
NV,840-32,82,,,,
NV,840-32,83,,,,
NV,840-32,84,,,,
NV,840-32,85,,,,
NV,840-32,86,,,,
NV,840-32,87,,,,
NV,840-32,88,,,,
NV,840-32,89,,,,
NV,840-32,90,,,,
NV,840-32,91,,,,
NV,840-32,92,,,,
NV,840-32,93,,,,
NV,840-32,94,,,,
NV,840-32,95,,,,
NV,840-32,96,,,,
NV,840-32,97,,,,
NV,840-32,98,,,,
NV,840-32,99,,,,
NV,840-32,100,,,,
