"from","to","gender","age","mrate"
"AL","NH","m","0","1.47107e-05"
"AL","NH","m","1","1.47107e-05"
"AL","NH","m","2","1.47107e-05"
"AL","NH","m","3","1.47107e-05"
"AL","NH","m","4","1.47107e-05"
"AL","NH","m","5","1.08774e-05"
"AL","NH","m","6","1.08774e-05"
"AL","NH","m","7","1.08774e-05"
"AL","NH","m","8","1.08774e-05"
"AL","NH","m","9","1.08774e-05"
"AL","NH","m","10","1.73868e-05"
"AL","NH","m","11","1.73868e-05"
"AL","NH","m","12","1.73868e-05"
"AL","NH","m","13","1.73868e-05"
"AL","NH","m","14","1.73868e-05"
"AL","NH","m","15","2.31031e-05"
"AL","NH","m","16","2.31031e-05"
"AL","NH","m","17","2.31031e-05"
"AL","NH","m","18","2.31031e-05"
"AL","NH","m","19","2.31031e-05"
"AL","NH","m","20","3.23661e-05"
"AL","NH","m","21","3.23661e-05"
"AL","NH","m","22","3.23661e-05"
"AL","NH","m","23","3.23661e-05"
"AL","NH","m","24","3.23661e-05"
"AL","NH","m","25","3.38742e-05"
"AL","NH","m","26","3.38742e-05"
"AL","NH","m","27","3.38742e-05"
"AL","NH","m","28","3.38742e-05"
"AL","NH","m","29","3.38742e-05"
"AL","NH","m","30","3.06934e-05"
"AL","NH","m","31","3.06934e-05"
"AL","NH","m","32","3.06934e-05"
"AL","NH","m","33","3.06934e-05"
"AL","NH","m","34","3.06934e-05"
"AL","NH","m","35","2.54094e-05"
"AL","NH","m","36","2.54094e-05"
"AL","NH","m","37","2.54094e-05"
"AL","NH","m","38","2.54094e-05"
"AL","NH","m","39","2.54094e-05"
"AL","NH","m","40","1.9312e-05"
"AL","NH","m","41","1.9312e-05"
"AL","NH","m","42","1.9312e-05"
"AL","NH","m","43","1.9312e-05"
"AL","NH","m","44","1.9312e-05"
"AL","NH","m","45","1.36623e-05"
"AL","NH","m","46","1.36623e-05"
"AL","NH","m","47","1.36623e-05"
"AL","NH","m","48","1.36623e-05"
"AL","NH","m","49","1.36623e-05"
"AL","NH","m","50","1.36825e-05"
"AL","NH","m","51","1.36825e-05"
"AL","NH","m","52","1.36825e-05"
"AL","NH","m","53","1.36825e-05"
"AL","NH","m","54","1.36825e-05"
"AL","NH","m","55","8.05969e-06"
"AL","NH","m","56","8.05969e-06"
"AL","NH","m","57","8.05969e-06"
"AL","NH","m","58","8.05969e-06"
"AL","NH","m","59","8.05969e-06"
"AL","NH","m","60","7.45045e-06"
"AL","NH","m","61","7.45045e-06"
"AL","NH","m","62","7.45045e-06"
"AL","NH","m","63","7.45045e-06"
"AL","NH","m","64","7.45045e-06"
"AL","NH","m","65","3.81527e-06"
"AL","NH","m","66","3.81527e-06"
"AL","NH","m","67","3.81527e-06"
"AL","NH","m","68","3.81527e-06"
"AL","NH","m","69","3.81527e-06"
"AL","NH","m","70","3.81527e-06"
"AL","NH","m","71","3.81527e-06"
"AL","NH","m","72","3.81527e-06"
"AL","NH","m","73","3.81527e-06"
"AL","NH","m","74","3.81527e-06"
"AL","NH","m","75","1.43433e-06"
"AL","NH","m","76","1.43433e-06"
"AL","NH","m","77","1.43433e-06"
"AL","NH","m","78","1.43433e-06"
"AL","NH","m","79","1.43433e-06"
"AL","NH","m","80","1.10205e-05"
"AL","NH","m","81","1.10205e-05"
"AL","NH","m","82","1.10205e-05"
"AL","NH","m","83","1.10205e-05"
"AL","NH","m","84","1.10205e-05"
"AL","NH","m","85","1.10205e-05"
"AL","NH","m","86","1.10205e-05"
"AL","NH","m","87","1.10205e-05"
"AL","NH","m","88","1.10205e-05"
"AL","NH","m","89","1.10205e-05"
"AL","NH","m","90","1.10205e-05"
"AL","NH","m","91","1.10205e-05"
"AL","NH","m","92","1.10205e-05"
"AL","NH","m","93","1.10205e-05"
