region,region_code,age,net_male,net_female,net_all
NJ,840-34,0,-0.004746887,-0.001794831,NA
NJ,840-34,1,-0.004746887,-0.001794831,NA
NJ,840-34,2,-0.004746887,-0.001794831,NA
NJ,840-34,3,-0.004746887,-0.001794831,NA
NJ,840-34,4,-0.004746887,-0.001794831,NA
NJ,840-34,5,-0.00234275,-0.005517289,NA
NJ,840-34,6,-0.004746887,-0.001794831,NA
NJ,840-34,7,-0.004746887,-0.001794831,NA
NJ,840-34,8,-0.004746887,-0.001794831,NA
NJ,840-34,9,-0.004746887,-0.001794831,NA
NJ,840-34,10,-0.0054462,-0.003903459,NA
NJ,840-34,11,-0.004746887,-0.001794831,NA
NJ,840-34,12,-0.004746887,-0.001794831,NA
NJ,840-34,13,-0.004746887,-0.001794831,NA
NJ,840-34,14,-0.004746887,-0.001794831,NA
NJ,840-34,15,-0.042336381,-0.052532428,NA
NJ,840-34,16,-0.042336381,-0.052532428,NA
NJ,840-34,17,-0.042336381,-0.052532428,NA
NJ,840-34,18,-0.042336381,-0.052532428,NA
NJ,840-34,19,-0.042336381,-0.052532428,NA
NJ,840-34,20,-0.028165259,-0.027782568,NA
NJ,840-34,21,-0.028165259,-0.027782568,NA
NJ,840-34,22,-0.028165259,-0.027782568,NA
NJ,840-34,23,-0.028165259,-0.027782568,NA
NJ,840-34,24,-0.028165259,-0.027782568,NA
NJ,840-34,25,-0.008695869,-0.005780189,NA
NJ,840-34,26,-0.008695869,-0.005780189,NA
NJ,840-34,27,-0.008695869,-0.005780189,NA
NJ,840-34,28,-0.008695869,-0.005780189,NA
NJ,840-34,29,-0.008695869,-0.005780189,NA
NJ,840-34,30,-0.003145498,-0.005124788,NA
NJ,840-34,31,-0.003145498,-0.005124788,NA
NJ,840-34,32,-0.003145498,-0.005124788,NA
NJ,840-34,33,-0.003145498,-0.005124788,NA
NJ,840-34,34,-0.003145498,-0.005124788,NA
NJ,840-34,35,-0.002445756,-0.002038331,NA
NJ,840-34,36,-0.002445756,-0.002038331,NA
NJ,840-34,37,-0.002445756,-0.002038331,NA
NJ,840-34,38,-0.002445756,-0.002038331,NA
NJ,840-34,39,-0.002445756,-0.002038331,NA
NJ,840-34,40,-0.003835363,-0.004752076,NA
NJ,840-34,41,-0.003835363,-0.004752076,NA
NJ,840-34,42,-0.003835363,-0.004752076,NA
NJ,840-34,43,-0.003835363,-0.004752076,NA
NJ,840-34,44,-0.003835363,-0.004752076,NA
NJ,840-34,45,-0.002616414,-0.003473757,NA
NJ,840-34,46,-0.002616414,-0.003473757,NA
NJ,840-34,47,-0.002616414,-0.003473757,NA
NJ,840-34,48,-0.002616414,-0.003473757,NA
NJ,840-34,49,-0.002616414,-0.003473757,NA
NJ,840-34,50,-0.002186093,-0.006181421,NA
NJ,840-34,51,-0.002186093,-0.006181421,NA
NJ,840-34,52,-0.002186093,-0.006181421,NA
NJ,840-34,53,-0.002186093,-0.006181421,NA
NJ,840-34,54,-0.002186093,-0.006181421,NA
NJ,840-34,55,-0.006917216,-0.00692762,NA
NJ,840-34,56,-0.006917216,-0.00692762,NA
NJ,840-34,57,-0.006917216,-0.00692762,NA
NJ,840-34,58,-0.006917216,-0.00692762,NA
NJ,840-34,59,-0.006917216,-0.00692762,NA
NJ,840-34,60,-0.006825222,-0.006879048,NA
NJ,840-34,61,-0.006825222,-0.006879048,NA
NJ,840-34,62,-0.006825222,-0.006879048,NA
NJ,840-34,63,-0.006825222,-0.006879048,NA
NJ,840-34,64,-0.006825222,-0.006879048,NA
NJ,840-34,65,-0.009858074,-0.006978799,NA
NJ,840-34,66,-0.009858074,-0.006978799,NA
NJ,840-34,67,-0.009858074,-0.006978799,NA
NJ,840-34,68,-0.009858074,-0.006978799,NA
NJ,840-34,69,-0.009858074,-0.006978799,NA
NJ,840-34,70,-0.00623495,-0.005240802,NA
NJ,840-34,71,-0.00623495,-0.005240802,NA
NJ,840-34,72,-0.00623495,-0.005240802,NA
NJ,840-34,73,-0.00623495,-0.005240802,NA
NJ,840-34,74,-0.00623495,-0.005240802,NA
NJ,840-34,75,-0.003123953,-0.002804489,NA
NJ,840-34,76,-0.003123953,-0.002804489,NA
NJ,840-34,77,-0.003123953,-0.002804489,NA
NJ,840-34,78,-0.003123953,-0.002804489,NA
NJ,840-34,79,-0.003123953,-0.002804489,NA
NJ,840-34,80,-0.001416789,-0.002850376,NA
NJ,840-34,81,-0.001416789,-0.002850376,NA
NJ,840-34,82,-0.001416789,-0.002850376,NA
NJ,840-34,83,-0.001416789,-0.002850376,NA
NJ,840-34,84,-0.001416789,-0.002850376,NA
NJ,840-34,85,-0.003663739,-0.00833024,NA
NJ,840-34,86,-0.003663739,-0.00833024,NA
NJ,840-34,87,-0.003663739,-0.00833024,NA
NJ,840-34,88,-0.003663739,-0.00833024,NA
NJ,840-34,89,-0.003663739,-0.00833024,NA
NJ,840-34,90,-0.007936508,-0.004933329,NA
NJ,840-34,91,-0.007936508,-0.004933329,NA
NJ,840-34,92,-0.007936508,-0.004933329,NA
NJ,840-34,93,-0.007936508,-0.004933329,NA
NJ,840-34,94,-0.007936508,-0.004933329,NA
NJ,840-34,95,0,0,NA
NJ,840-34,96,0,0,NA
NJ,840-34,97,0,0,NA
NJ,840-34,98,0,0,NA
NJ,840-34,99,0,0,NA
NJ,840-34,100,0,0,NA
