"from","to","gender","age","mrate"
"AL","NM","m","0","3.88888e-05"
"AL","NM","m","1","3.88888e-05"
"AL","NM","m","2","3.88888e-05"
"AL","NM","m","3","3.88888e-05"
"AL","NM","m","4","3.88888e-05"
"AL","NM","m","5","5.04662e-05"
"AL","NM","m","6","5.04662e-05"
"AL","NM","m","7","5.04662e-05"
"AL","NM","m","8","5.04662e-05"
"AL","NM","m","9","5.04662e-05"
"AL","NM","m","10","3.8422e-05"
"AL","NM","m","11","3.8422e-05"
"AL","NM","m","12","3.8422e-05"
"AL","NM","m","13","3.8422e-05"
"AL","NM","m","14","3.8422e-05"
"AL","NM","m","15","0.000111247"
"AL","NM","m","16","0.000111247"
"AL","NM","m","17","0.000111247"
"AL","NM","m","18","0.000111247"
"AL","NM","m","19","0.000111247"
"AL","NM","m","20","0.000270985"
"AL","NM","m","21","0.000270985"
"AL","NM","m","22","0.000270985"
"AL","NM","m","23","0.000270985"
"AL","NM","m","24","0.000270985"
"AL","NM","m","25","0.000386747"
"AL","NM","m","26","0.000386747"
"AL","NM","m","27","0.000386747"
"AL","NM","m","28","0.000386747"
"AL","NM","m","29","0.000386747"
"AL","NM","m","30","0.00039831"
"AL","NM","m","31","0.00039831"
"AL","NM","m","32","0.00039831"
"AL","NM","m","33","0.00039831"
"AL","NM","m","34","0.00039831"
"AL","NM","m","35","0.000234227"
"AL","NM","m","36","0.000234227"
"AL","NM","m","37","0.000234227"
"AL","NM","m","38","0.000234227"
"AL","NM","m","39","0.000234227"
"AL","NM","m","40","0.000118464"
"AL","NM","m","41","0.000118464"
"AL","NM","m","42","0.000118464"
"AL","NM","m","43","0.000118464"
"AL","NM","m","44","0.000118464"
"AL","NM","m","45","6.33549e-05"
"AL","NM","m","46","6.33549e-05"
"AL","NM","m","47","6.33549e-05"
"AL","NM","m","48","6.33549e-05"
"AL","NM","m","49","6.33549e-05"
"AL","NM","m","50","4.31597e-05"
"AL","NM","m","51","4.31597e-05"
"AL","NM","m","52","4.31597e-05"
"AL","NM","m","53","4.31597e-05"
"AL","NM","m","54","4.31597e-05"
"AL","NM","m","55","7.10499e-05"
"AL","NM","m","56","7.10499e-05"
"AL","NM","m","57","7.10499e-05"
"AL","NM","m","58","7.10499e-05"
"AL","NM","m","59","7.10499e-05"
"AL","NM","m","60","2.78902e-05"
"AL","NM","m","61","2.78902e-05"
"AL","NM","m","62","2.78902e-05"
"AL","NM","m","63","2.78902e-05"
"AL","NM","m","64","2.78902e-05"
"AL","NM","m","65","2.78902e-05"
"AL","NM","m","66","2.78902e-05"
"AL","NM","m","67","2.78902e-05"
"AL","NM","m","68","2.78902e-05"
"AL","NM","m","69","2.78902e-05"
"AL","NM","m","70","0"
"AL","NM","m","71","0"
"AL","NM","m","72","0"
"AL","NM","m","73","0"
"AL","NM","m","74","0"
"AL","NM","m","75","0.000130088"
"AL","NM","m","76","0.000130088"
"AL","NM","m","77","0.000130088"
"AL","NM","m","78","0.000130088"
"AL","NM","m","79","0.000130088"
"AL","NM","m","80","0.000130088"
"AL","NM","m","81","0.000130088"
"AL","NM","m","82","0.000130088"
"AL","NM","m","83","0.000130088"
"AL","NM","m","84","0.000130088"
"AL","NM","m","85","0.000130088"
"AL","NM","m","86","0.000130088"
"AL","NM","m","87","0.000130088"
"AL","NM","m","88","0.000130088"
"AL","NM","m","89","0.000130088"
"AL","NM","m","90","0"
"AL","NM","m","91","0"
"AL","NM","m","92","0"
"AL","NM","m","93","0"
"AL","NM","m","94","0"
"AL","NM","m","95","0"
"AL","NM","m","96","0"
"AL","NM","m","97","0"
"AL","NM","m","98","0"
"AL","NM","m","99","0"
"AL","NM","m","100","0"
"AL","NM","f","0","0.000149224"
"AL","NM","f","1","0.000149224"
"AL","NM","f","2","0.000149224"
"AL","NM","f","3","0.000149224"
"AL","NM","f","4","0.000149224"
"AL","NM","f","5","0.000121914"
"AL","NM","f","6","0.000121914"
"AL","NM","f","7","0.000121914"
"AL","NM","f","8","0.000121914"
"AL","NM","f","9","0.000121914"
"AL","NM","f","10","7.77423e-05"
"AL","NM","f","11","7.77423e-05"
"AL","NM","f","12","7.77423e-05"
"AL","NM","f","13","7.77423e-05"
"AL","NM","f","14","7.77423e-05"
"AL","NM","f","15","0.000183566"
"AL","NM","f","16","0.000183566"
"AL","NM","f","17","0.000183566"
"AL","NM","f","18","0.000183566"
"AL","NM","f","19","0.000183566"
"AL","NM","f","20","0.00020555"
"AL","NM","f","21","0.00020555"
"AL","NM","f","22","0.00020555"
"AL","NM","f","23","0.00020555"
"AL","NM","f","24","0.00020555"
"AL","NM","f","25","0.000287494"
"AL","NM","f","26","0.000287494"
"AL","NM","f","27","0.000287494"
"AL","NM","f","28","0.000287494"
"AL","NM","f","29","0.000287494"
"AL","NM","f","30","0.000206102"
"AL","NM","f","31","0.000206102"
