"from","to","gender","age","mrate"
"NM","AL","m","0","0.000448889"
"NM","AL","m","1","0.000448889"
"NM","AL","m","2","0.000448889"
"NM","AL","m","3","0.000448889"
"NM","AL","m","4","0.000448889"
"NM","AL","m","5","0.000352475"
"NM","AL","m","6","0.000352475"
"NM","AL","m","7","0.000352475"
"NM","AL","m","8","0.000352475"
"NM","AL","m","9","0.000352475"
"NM","AL","m","10","0.000446637"
"NM","AL","m","11","0.000446637"
"NM","AL","m","12","0.000446637"
"NM","AL","m","13","0.000446637"
"NM","AL","m","14","0.000446637"
"NM","AL","m","15","0.00043512"
"NM","AL","m","16","0.00043512"
"NM","AL","m","17","0.00043512"
"NM","AL","m","18","0.00043512"
"NM","AL","m","19","0.00043512"
"NM","AL","m","20","0.000381905"
"NM","AL","m","21","0.000381905"
"NM","AL","m","22","0.000381905"
"NM","AL","m","23","0.000381905"
"NM","AL","m","24","0.000381905"
"NM","AL","m","25","0.000296354"
"NM","AL","m","26","0.000296354"
"NM","AL","m","27","0.000296354"
"NM","AL","m","28","0.000296354"
"NM","AL","m","29","0.000296354"
"NM","AL","m","30","0.000404667"
"NM","AL","m","31","0.000404667"
"NM","AL","m","32","0.000404667"
"NM","AL","m","33","0.000404667"
"NM","AL","m","34","0.000404667"
"NM","AL","m","35","0.000701063"
"NM","AL","m","36","0.000701063"
"NM","AL","m","37","0.000701063"
"NM","AL","m","38","0.000701063"
"NM","AL","m","39","0.000701063"
"NM","AL","m","40","0.000628847"
"NM","AL","m","41","0.000628847"
"NM","AL","m","42","0.000628847"
"NM","AL","m","43","0.000628847"
"NM","AL","m","44","0.000628847"
"NM","AL","m","45","0.000516123"
"NM","AL","m","46","0.000516123"
"NM","AL","m","47","0.000516123"
"NM","AL","m","48","0.000516123"
"NM","AL","m","49","0.000516123"
"NM","AL","m","50","0.000232673"
"NM","AL","m","51","0.000232673"
"NM","AL","m","52","0.000232673"
"NM","AL","m","53","0.000232673"
"NM","AL","m","54","0.000232673"
"NM","AL","m","55","0.00016651"
"NM","AL","m","56","0.00016651"
"NM","AL","m","57","0.00016651"
"NM","AL","m","58","0.00016651"
"NM","AL","m","59","0.00016651"
"NM","AL","m","60","0.000140146"
"NM","AL","m","61","0.000140146"
"NM","AL","m","62","0.000140146"
"NM","AL","m","63","0.000140146"
"NM","AL","m","64","0.000140146"
"NM","AL","m","65","0.000127199"
"NM","AL","m","66","0.000127199"
"NM","AL","m","67","0.000127199"
"NM","AL","m","68","0.000127199"
"NM","AL","m","69","0.000127199"
"NM","AL","m","70","0"
"NM","AL","m","71","0"
"NM","AL","m","72","0"
"NM","AL","m","73","0"
"NM","AL","m","74","0"
"NM","AL","m","75","0"
"NM","AL","m","76","0"
"NM","AL","m","77","0"
"NM","AL","m","78","0"
"NM","AL","m","79","0"
"NM","AL","m","80","0.00071009"
"NM","AL","m","81","0.00071009"
"NM","AL","m","82","0.00071009"
"NM","AL","m","83","0.00071009"
"NM","AL","m","84","0.00071009"
"NM","AL","m","85","0.00071009"
"NM","AL","m","86","0.00071009"
"NM","AL","m","87","0.00071009"
"NM","AL","m","88","0.00071009"
"NM","AL","m","89","0.00071009"
"NM","AL","m","90","0.00071009"
"NM","AL","m","91","0.00071009"
"NM","AL","m","92","0.00071009"
"NM","AL","m","93","0.00071009"
"NM","AL","m","94","0.00071009"
"NM","AL","m","95","0"
"NM","AL","m","96","0"
"NM","AL","m","97","0"
"NM","AL","m","98","0"
"NM","AL","m","99","0"
"NM","AL","m","100","0"
"NM","AL","f","0","0.000141536"
"NM","AL","f","1","0.000141536"
"NM","AL","f","2","0.000141536"
"NM","AL","f","3","0.000141536"
"NM","AL","f","4","0.000141536"
"NM","AL","f","5","0.000342868"
"NM","AL","f","6","0.000342868"
"NM","AL","f","7","0.000342868"
"NM","AL","f","8","0.000342868"
"NM","AL","f","9","0.000342868"
"NM","AL","f","10","0.000333799"
"NM","AL","f","11","0.000333799"
"NM","AL","f","12","0.000333799"
"NM","AL","f","13","0.000333799"
"NM","AL","f","14","0.000333799"
"NM","AL","f","15","0.0005806"
"NM","AL","f","16","0.0005806"
"NM","AL","f","17","0.0005806"
"NM","AL","f","18","0.0005806"
"NM","AL","f","19","0.0005806"
"NM","AL","f","20","0.00033209"
"NM","AL","f","21","0.00033209"
"NM","AL","f","22","0.00033209"
"NM","AL","f","23","0.00033209"
"NM","AL","f","24","0.00033209"
"NM","AL","f","25","0.000525879"
"NM","AL","f","26","0.000525879"
"NM","AL","f","27","0.000525879"
"NM","AL","f","28","0.000525879"
"NM","AL","f","29","0.000525879"
"NM","AL","f","30","0.000428672"
"NM","AL","f","31","0.000428672"
"NM","AL","f","32","0.000428672"
"NM","AL","f","33","0.000428672"
"NM","AL","f","34","0.000428672"
"NM","AL","f","35","0.000509258"
"NM","AL","f","36","0.000509258"
"NM","AL","f","37","0.000509258"
"NM","AL","f","38","0.000509258"
"NM","AL","f","39","0.000509258"
"NM","AL","f","40","0.000555733"
"NM","AL","f","41","0.000555733"
"NM","AL","f","42","0.000555733"
"NM","AL","f","43","0.000555733"
"NM","AL","f","44","0.000555733"
"NM","AL","f","45","0.000406141"
"NM","AL","f","46","0.000406141"
"NM","AL","f","47","0.000406141"
"NM","AL","f","48","0.000406141"
"NM","AL","f","49","0.000406141"
"NM","AL","f","50","0.000526306"
"NM","AL","f","51","0.000526306"
"NM","AL","f","52","0.000526306"
"NM","AL","f","53","0.000526306"
"NM","AL","f","54","0.000526306"
"NM","AL","f","55","0.000208787"
"NM","AL","f","56","0.000208787"
